player,plate_apps,pitches_per_pa,ba,obp,slg,ops,woba,xwoba,hard_hit_rate,barrel_rate,ev90,krate,bbrate,hr_rate,chase_rate,whiff_rate,bips
"Harper, Bryce",57,3.807,0.326,0.421,0.609,1.03,0.427,0.516,0.622,0.108,106.4,0.193,0.158,0.053,0.3,0.28,37
"Schwarber, Kyle",49,4.082,0.238,0.347,0.31,0.656,0.303,0.402,0.538,0.115,109.85,0.306,0.122,0.0,0.282,0.323,26
"Turner, Trea",46,3.674,0.386,0.413,0.568,0.981,0.421,0.405,0.371,0.086,103.24,0.196,0.043,0.043,0.405,0.255,35
"Realmuto, J.T.",40,3.075,0.3,0.3,0.5,0.8,0.338,0.351,0.29,0.065,104.6,0.2,0.0,0.05,0.439,0.23,31
"Bohm, Alec",37,3.541,0.371,0.405,0.486,0.891,0.388,0.421,0.5,0.0,105.02,0.135,0.054,0.0,0.237,0.143,30
"Stott, Bryson",36,3.778,0.242,0.25,0.303,0.553,0.236,0.303,0.406,0.062,104.82,0.083,0.028,0.0,0.277,0.119,32
"Marsh, Brandon",27,3.704,0.259,0.259,0.37,0.63,0.27,0.276,0.375,0.042,101.42,0.111,0.0,0.0,0.383,0.14,24
"Sosa, Edmundo",10,2.3,0.556,0.6,0.778,1.378,0.585,0.443,0.222,0.111,98.84,0.0,0.0,0.0,0.3,0.0,9
"Crawford, Justin",3,3.667,0.333,0.333,0.333,0.667,0.297,0.154,0.0,0.0,79.36,0.333,0.0,0.0,0.75,0.25,2
"Rincones Jr., Gabriel",3,2.333,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,83.2,0.0,0.0,0.0,0.6,0.2,3
"Hill, Derek",1,1.0,0.0,0.0,0.0,0.0,0.0,0.398,1.0,0.0,95.3,0.0,0.0,0.0,,0.0,1
