player,venue,plate_apps,pitches_per_pa,ba,obp,slg,ops,woba,xwoba,hard_hit_rate,barrel_rate,ev90,krate,bbrate,hr_rate,chase_rate,whiff_rate,bips
"Bohm, Alec",All other MLB parks,16,3.188,0.5,0.5,0.688,1.188,0.511,0.482,0.5,0.0,104.36,0.125,0.0,0.0,0.25,0.12,14
"Bohm, Alec",loanDepot park,21,3.81,0.263,0.333,0.316,0.649,0.294,0.373,0.5,0.0,101.85,0.143,0.095,0.0,0.229,0.158,16
"Crawford, Justin",All other MLB parks,3,3.667,0.333,0.333,0.333,0.667,0.297,0.154,0.0,0.0,79.36,0.333,0.0,0.0,0.75,0.25,2
"Harper, Bryce",All other MLB parks,30,3.7,0.32,0.4,0.56,0.96,0.402,0.465,0.6,0.05,106.4,0.2,0.133,0.033,0.317,0.302,20
"Harper, Bryce",loanDepot park,27,3.926,0.333,0.444,0.667,1.111,0.454,0.568,0.647,0.176,106.68,0.185,0.185,0.074,0.283,0.255,17
"Hill, Derek",loanDepot park,1,1.0,0.0,0.0,0.0,0.0,0.0,0.398,1.0,0.0,95.3,0.0,0.0,0.0,,0.0,1
"Marsh, Brandon",All other MLB parks,10,3.3,0.3,0.3,0.4,0.7,0.302,0.186,0.333,0.0,98.82,0.1,0.0,0.0,0.353,0.059,9
"Marsh, Brandon",loanDepot park,17,3.941,0.235,0.235,0.353,0.588,0.251,0.332,0.4,0.067,103.16,0.118,0.0,0.0,0.4,0.175,15
"Realmuto, J.T.",All other MLB parks,19,3.0,0.105,0.105,0.105,0.211,0.093,0.169,0.154,0.0,95.48,0.316,0.0,0.0,0.48,0.242,13
"Realmuto, J.T.",loanDepot park,21,3.143,0.476,0.476,0.857,1.333,0.561,0.475,0.389,0.111,105.02,0.095,0.0,0.095,0.406,0.22,18
"Rincones Jr., Gabriel",All other MLB parks,3,2.333,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,83.2,0.0,0.0,0.0,0.6,0.2,3
"Schwarber, Kyle",All other MLB parks,20,3.85,0.333,0.4,0.444,0.844,0.372,0.405,0.5,0.167,110.06,0.3,0.1,0.0,0.222,0.45,12
"Schwarber, Kyle",loanDepot park,29,4.241,0.167,0.31,0.208,0.519,0.255,0.4,0.571,0.071,107.47,0.31,0.138,0.0,0.311,0.232,14
"Sosa, Edmundo",All other MLB parks,7,2.0,0.5,0.571,0.833,1.405,0.584,0.444,0.333,0.167,100.1,0.0,0.0,0.0,0.286,0.0,6
"Sosa, Edmundo",loanDepot park,3,3.0,0.667,0.667,0.667,1.333,0.588,0.44,0.0,0.0,89.18,0.0,0.0,0.0,0.333,0.0,3
"Stott, Bryson",All other MLB parks,17,4.235,0.333,0.353,0.4,0.753,0.323,0.273,0.429,0.0,100.42,0.118,0.059,0.0,0.297,0.118,14
"Stott, Bryson",loanDepot park,19,3.368,0.167,0.158,0.222,0.38,0.159,0.326,0.389,0.111,105.96,0.053,0.0,0.0,0.25,0.121,18
"Turner, Trea",All other MLB parks,21,3.857,0.368,0.429,0.474,0.902,0.394,0.366,0.2,0.067,101.26,0.19,0.095,0.0,0.326,0.278,15
"Turner, Trea",loanDepot park,25,3.52,0.4,0.4,0.64,1.04,0.444,0.441,0.5,0.1,103.6,0.2,0.0,0.08,0.515,0.241,20
