player,plate_apps,pitches_per_pa,ba,obp,slg,ops,woba,xwoba,hard_hit_rate,barrel_rate,ev90,krate,bbrate,hr_rate,chase_rate,whiff_rate,bips
"Bohm, Alec",10,3.1,0.444,0.5,0.556,1.056,0.461,0.504,0.375,0.0,97.4,0.1,0.1,0.0,0.231,0.2,8
"Schwarber, Kyle",10,5.3,0.0,0.2,0.0,0.2,0.141,0.204,1.0,0.0,98.92,0.4,0.1,0.0,0.32,0.419,4
"Stott, Bryson",9,3.667,0.286,0.222,0.429,0.651,0.238,0.297,0.333,0.111,100.42,0.0,0.0,0.0,0.25,0.067,9
"Turner, Trea",9,4.778,0.5,0.556,0.875,1.431,0.599,0.489,0.333,0.167,102.3,0.222,0.111,0.111,0.375,0.318,6
"Harper, Bryce",8,4.875,0.429,0.5,1.286,1.786,0.708,0.69,0.6,0.4,106.32,0.25,0.125,0.25,0.368,0.217,5
"Marsh, Brandon",8,3.875,0.25,0.25,0.375,0.625,0.268,0.31,0.429,0.0,100.78,0.125,0.0,0.0,0.333,0.188,7
"Realmuto, J.T.",4,4.75,0.5,0.5,0.75,1.25,0.534,0.325,0.0,0.0,91.98,0.25,0.0,0.0,0.333,0.25,3
"Crawford, Justin",3,3.667,0.333,0.333,0.333,0.667,0.297,0.154,0.0,0.0,79.36,0.333,0.0,0.0,0.75,0.25,2
"Rincones Jr., Gabriel",3,2.333,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,83.2,0.0,0.0,0.0,0.6,0.2,3
"Sosa, Edmundo",3,3.0,0.667,0.667,0.667,1.333,0.588,0.44,0.0,0.0,89.18,0.0,0.0,0.0,0.333,0.0,3
"Hill, Derek",1,1.0,0.0,0.0,0.0,0.0,0.0,0.398,1.0,0.0,95.3,0.0,0.0,0.0,,0.0,1
