player,miami_home_club,plate_apps,pitches_per_pa,ba,obp,slg,ops,woba,xwoba,hard_hit_rate,barrel_rate,ev90,krate,bbrate,hr_rate,chase_rate,whiff_rate,bips
"Bohm, Alec",False,118,3.737,0.248,0.297,0.303,0.599,0.268,0.323,0.438,0.034,104.2,0.178,0.068,0.0,0.281,0.206,89
"Crawford, Justin",False,10,4.2,0.2,0.2,0.3,0.5,0.215,0.33,0.375,0.0,100.73,0.2,0.0,0.0,0.6,0.16,8
"Harper, Bryce",False,245,4.253,0.277,0.367,0.515,0.882,0.374,0.446,0.5,0.153,106.86,0.249,0.131,0.049,0.301,0.281,150
"Hill, Derek",False,1,1.0,0.0,0.0,0.0,0.0,0.0,0.398,1.0,0.0,95.3,0.0,0.0,0.0,,0.0,1
"Hill, Derek",True,80,3.7,0.203,0.25,0.257,0.507,0.228,0.287,0.255,0.059,99.8,0.3,0.038,0.0,0.371,0.361,51
"Marsh, Brandon",False,74,3.959,0.338,0.392,0.588,0.98,0.416,0.443,0.455,0.127,104.26,0.162,0.081,0.027,0.265,0.173,55
"Realmuto, J.T.",False,124,3.669,0.301,0.355,0.513,0.868,0.371,0.427,0.429,0.119,104.95,0.234,0.081,0.048,0.351,0.268,84
"Realmuto, J.T.",True,783,3.885,0.242,0.29,0.369,0.658,0.286,0.331,0.37,0.056,103.0,0.179,0.06,0.022,0.287,0.197,589
"Schwarber, Kyle",False,134,4.313,0.21,0.291,0.496,0.787,0.335,0.434,0.564,0.218,109.3,0.306,0.097,0.075,0.256,0.293,78
"Sosa, Edmundo",False,25,3.84,0.136,0.24,0.136,0.376,0.191,0.224,0.231,0.0,102.0,0.36,0.04,0.0,0.354,0.34,13
"Stott, Bryson",False,96,3.969,0.287,0.333,0.517,0.851,0.359,0.368,0.385,0.103,103.08,0.115,0.073,0.042,0.301,0.127,78
"Turner, Trea",False,211,3.791,0.233,0.294,0.399,0.693,0.3,0.345,0.407,0.068,103.27,0.152,0.066,0.043,0.291,0.206,162
