batter,src,pitches,games,player
547180,alcantara,178,16,"Harper, Bryce"
547180,allard,3,1,"Harper, Bryce"
547180,alvarado,6,1,"Harper, Bryce"
547180,anderson,20,3,"Harper, Bryce"
547180,banks,4,2,"Harper, Bryce"
547180,bowlan,7,1,"Harper, Bryce"
547180,buehler,41,3,"Harper, Bryce"
547180,carlos_hernandez,6,1,"Harper, Bryce"
547180,covey,5,1,"Harper, Bryce"
547180,de_geus,10,2,"Harper, Bryce"
547180,diekman,12,2,"Harper, Bryce"
547180,duran,8,2,"Harper, Bryce"
547180,eflin,10,1,"Harper, Bryce"
547180,enyel,2,1,"Harper, Bryce"
547180,estevez,13,5,"Harper, Bryce"
547180,ferrer,21,6,"Harper, Bryce"
547180,giants-of-rangers-of-24,14,9,"Harper, Bryce"
547180,gore,100,8,"Harper, Bryce"
547180,hamels,45,4,"Harper, Bryce"
547180,hand,78,15,"Harper, Bryce"
547180,harper,10288,580,"Harper, Bryce"
547180,hoffman,11,1,"Harper, Bryce"
547180,joe_ross,48,6,"Harper, Bryce"
547180,josh_walker,5,1,"Harper, Bryce"
547180,jruiz,14,3,"Harper, Bryce"
547180,keller,14,2,"Harper, Bryce"
547180,kelly,60,5,"Harper, Bryce"
547180,kimbrel,6,1,"Harper, Bryce"
547180,liberatore,31,5,"Harper, Bryce"
547180,luzardo,63,5,"Harper, Bryce"
547180,marlins-of-24-25,35,17,"Harper, Bryce"
547180,mayza,34,8,"Harper, Bryce"
547180,mikolas,99,8,"Harper, Bryce"
547180,moore,23,3,"Harper, Bryce"
547180,morton,114,12,"Harper, Bryce"
547180,nats-of-23,17,11,"Harper, Bryce"
547180,natsparker,13,1,"Harper, Bryce"
547180,nelson,10,2,"Harper, Bryce"
547180,pallante,7,2,"Harper, Bryce"
547180,pdodgers,129,8,"Harper, Bryce"
547180,phils_2019,2787,157,"Harper, Bryce"
547180,phils_2020,973,58,"Harper, Bryce"
547180,phils_2021,2401,141,"Harper, Bryce"
547180,phils_2022,1854,116,"Harper, Bryce"
547180,phils_2023,2250,139,"Harper, Bryce"
547180,phils_2024,2547,149,"Harper, Bryce"
547180,phils_2025,2241,136,"Harper, Bryce"
547180,phils_2026,1724,105,"Harper, Bryce"
547180,pop,11,3,"Harper, Bryce"
547180,price,21,3,"Harper, Bryce"
547180,quantrill,38,3,"Harper, Bryce"
547180,rea,28,5,"Harper, Bryce"
547180,rios,5,1,"Harper, Bryce"
547180,romano,12,3,"Harper, Bryce"
547180,sale,16,2,"Harper, Bryce"
547180,senzatela,62,5,"Harper, Bryce"
547180,smith_shawver,1,1,"Harper, Bryce"
547180,strahm,8,1,"Harper, Bryce"
547180,strider,124,10,"Harper, Bryce"
547180,taillon,48,6,"Harper, Bryce"
547180,trivino,7,2,"Harper, Bryce"
547180,turnbull,8,1,"Harper, Bryce"
547180,walker,93,10,"Harper, Bryce"
547180,wheeler,136,10,"Harper, Bryce"
547180,white-sox-of-25-26,9,3,"Harper, Bryce"
592663,alcantara,104,11,"Realmuto, J.T."
592663,allard,14,1,"Realmuto, J.T."
592663,alvarado,5,2,"Realmuto, J.T."
592663,anderson,37,4,"Realmuto, J.T."
592663,banks,8,2,"Realmuto, J.T."
592663,bowlan,1,1,"Realmuto, J.T."
592663,buehler,54,5,"Realmuto, J.T."
592663,covey,3,1,"Realmuto, J.T."
592663,diekman,10,3,"Realmuto, J.T."
592663,duran,5,1,"Realmuto, J.T."
592663,eflin,14,1,"Realmuto, J.T."
592663,enyel,5,2,"Realmuto, J.T."
592663,estevez,33,8,"Realmuto, J.T."
592663,ferrer,10,2,"Realmuto, J.T."
592663,giants-of-rangers-of-24,16,8,"Realmuto, J.T."
592663,giles,3,1,"Realmuto, J.T."
592663,gore,77,9,"Realmuto, J.T."
592663,hamels,33,3,"Realmuto, J.T."
592663,hand,50,11,"Realmuto, J.T."
592663,hoffman,15,2,"Realmuto, J.T."
592663,joe_ross,87,10,"Realmuto, J.T."
592663,josh_walker,3,1,"Realmuto, J.T."
592663,jruiz,6,3,"Realmuto, J.T."
592663,keller,25,4,"Realmuto, J.T."
592663,kelly,60,6,"Realmuto, J.T."
592663,kimbrel,27,6,"Realmuto, J.T."
592663,liberatore,18,4,"Realmuto, J.T."
592663,luzardo,75,7,"Realmuto, J.T."
592663,marlins-of-24-25,22,12,"Realmuto, J.T."
592663,mayza,8,2,"Realmuto, J.T."
592663,mikolas,62,6,"Realmuto, J.T."
592663,moore,34,4,"Realmuto, J.T."
592663,morton,119,13,"Realmuto, J.T."
592663,nats-of-23,15,9,"Realmuto, J.T."
592663,natsparker,7,1,"Realmuto, J.T."
592663,nelson,12,2,"Realmuto, J.T."
592663,neris,4,1,"Realmuto, J.T."
592663,pallante,11,2,"Realmuto, J.T."
592663,pdodgers,106,6,"Realmuto, J.T."
592663,phils_2019,2332,145,"Realmuto, J.T."
592663,phils_2020,742,47,"Realmuto, J.T."
592663,phils_2021,2096,132,"Realmuto, J.T."
592663,phils_2022,2476,156,"Realmuto, J.T."
592663,phils_2023,2297,148,"Realmuto, J.T."
592663,phils_2024,1655,103,"Realmuto, J.T."
592663,phils_2025,2259,138,"Realmuto, J.T."
592663,phils_2026,1169,83,"Realmuto, J.T."
592663,pop,21,6,"Realmuto, J.T."
592663,price,7,2,"Realmuto, J.T."
592663,quantrill,33,3,"Realmuto, J.T."
592663,rea,26,5,"Realmuto, J.T."
592663,realmuto,8078,525,"Realmuto, J.T."
592663,rios,4,1,"Realmuto, J.T."
592663,romano,6,2,"Realmuto, J.T."
592663,sale,32,3,"Realmuto, J.T."
592663,senzatela,53,4,"Realmuto, J.T."
592663,smith_shawver,11,1,"Realmuto, J.T."
592663,soto,4,1,"Realmuto, J.T."
592663,strahm,9,2,"Realmuto, J.T."
592663,strider,106,10,"Realmuto, J.T."
