player,pa_miami,pa_other,bip_miami,bip_other,d_ops,mia_ops,oth_ops,d_woba,mia_woba,oth_woba,d_xwoba,mia_xwoba,oth_xwoba,d_ba,mia_ba,oth_ba,d_obp,mia_obp,oth_obp,d_slg,mia_slg,oth_slg,d_iso,mia_iso,oth_iso,d_krate,mia_krate,oth_krate,d_bbrate,mia_bbrate,oth_bbrate,d_hard_hit_rate,mia_hard_hit_rate,oth_hard_hit_rate,d_barrel_rate,mia_barrel_rate,oth_barrel_rate,d_ev90,mia_ev90,oth_ev90,d_pitches_per_pa,mia_pitches_per_pa,oth_pitches_per_pa,d_chase_rate,mia_chase_rate,oth_chase_rate,process_composite,qualified,venue_signal_class
"Marsh, Brandon",74,1785,55,1100,0.1842,0.9801,0.7959,0.0716,0.4159,0.3442,0.0669,0.4433,0.3764,0.0604,0.3382,0.2778,0.049,0.3919,0.3429,0.1352,0.5882,0.4531,0.0748,0.25,0.1752,-0.1241,0.1622,0.2863,-0.0086,0.0811,0.0896,-0.02,0.4545,0.4745,0.0345,0.1273,0.0927,-0.14,104.26,104.4,-0.1111,3.9595,4.0706,-0.017,0.265,0.282,0.1992,True,Miami boost — results and process agree
"Stott, Bryson",96,1868,78,1403,0.1561,0.8506,0.6945,0.056,0.3593,0.3033,0.0514,0.3682,0.3169,0.0349,0.2874,0.2525,0.025,0.3333,0.3084,0.1311,0.5172,0.3861,0.0963,0.2299,0.1336,-0.0519,0.1146,0.1665,-0.001,0.0729,0.0739,0.0289,0.3846,0.3557,0.0534,0.1026,0.0492,0.7,103.08,102.38,-0.1865,3.9688,4.1552,0.014,0.301,0.287,0.7626,True,Miami boost — results and process agree
"Harper, Bryce",245,4070,150,2594,-0.0593,0.8819,0.9412,-0.0227,0.3738,0.3965,0.0019,0.4458,0.4439,-0.0069,0.2767,0.2836,-0.0167,0.3673,0.384,-0.0426,0.5146,0.5572,-0.0357,0.2379,0.2736,0.0419,0.249,0.2071,-0.0089,0.1306,0.1396,0.0285,0.5,0.4715,0.0188,0.1533,0.1345,-0.84,106.86,107.7,0.2314,4.2531,4.0216,0.011,0.301,0.29,0.2255,True,Process-only lift — under-rewarded in Miami
"Hill, Derek",81,370,52,218,-0.0726,0.5002,0.5728,-0.0285,0.225,0.2536,0.0196,0.2884,0.2688,-0.0101,0.2,0.2101,-0.0152,0.2469,0.2622,-0.0573,0.2533,0.3107,-0.0473,0.0533,0.1006,-0.0442,0.2963,0.3405,-0.0251,0.037,0.0622,-0.0656,0.2692,0.3349,-0.0157,0.0577,0.0734,-3.29,99.75,103.04,-0.1144,3.6667,3.7811,0.022,0.371,0.349,-0.9528,True,Miami drag — results and process agree
"Schwarber, Kyle",134,3820,78,2189,-0.0814,0.7868,0.8683,-0.0332,0.3345,0.3678,-0.0109,0.4337,0.4446,-0.0226,0.2101,0.2326,-0.0493,0.291,0.3403,-0.0322,0.4958,0.528,-0.0096,0.2857,0.2953,0.0238,0.306,0.2822,-0.0373,0.097,0.1343,0.0433,0.5641,0.5208,0.043,0.2179,0.175,0.2,109.3,109.1,0.0674,4.3134,4.2461,0.026,0.256,0.23,0.6767,True,Process-only lift — under-rewarded in Miami
"Bohm, Alec",118,2228,89,1654,-0.0875,0.5994,0.6869,-0.0339,0.2676,0.3014,-0.0254,0.3227,0.3481,-0.0136,0.2477,0.2613,-0.0158,0.2966,0.3124,-0.0718,0.3028,0.3745,-0.0582,0.055,0.1132,-0.0043,0.178,0.1822,0.0059,0.0678,0.0619,-0.0086,0.4382,0.4468,-0.0201,0.0337,0.0538,-0.5,104.2,104.7,0.0874,3.7373,3.6499,0.005,0.281,0.276,-0.3058,True,Miami drag — results and process agree
"Realmuto, J.T.",907,3294,673,2331,-0.1077,0.687,0.7947,-0.0436,0.2975,0.3411,-0.0239,0.3447,0.3686,-0.0302,0.25,0.2802,-0.0355,0.2988,0.3342,-0.0723,0.3882,0.4605,-0.0421,0.1382,0.1803,-0.0259,0.1863,0.2122,0.0009,0.0628,0.0619,-0.0366,0.3774,0.414,-0.0155,0.0639,0.0794,-2.1,103.2,105.3,0.0225,3.8556,3.833,-0.01,0.295,0.305,-0.6305,True,Miami drag — results and process agree
"Turner, Trea",211,4084,162,2985,-0.1129,0.6928,0.8057,-0.0458,0.3001,0.3459,-0.0041,0.3454,0.3495,-0.059,0.2332,0.2922,-0.0458,0.2938,0.3396,-0.0671,0.399,0.4661,-0.008,0.1658,0.1738,-0.0462,0.1517,0.1978,0.0044,0.0664,0.0619,-0.007,0.4074,0.4144,0.0009,0.0679,0.067,-1.33,103.27,104.6,-0.053,3.7915,3.8445,-0.01,0.291,0.301,-0.2076,True,Miami drag — results and process agree
"Crawford, Justin",10,240,8,177,-0.1864,0.5,0.6864,-0.0867,0.2152,0.3019,0.0568,0.3298,0.273,-0.0703,0.2,0.2703,-0.1125,0.2,0.3125,-0.0739,0.3,0.3739,-0.0036,0.1,0.1036,0.0,0.2,0.2,-0.0583,0.0,0.0583,0.0191,0.375,0.3559,-0.0113,0.0,0.0113,-0.81,100.73,101.54,0.525,4.2,3.675,0.229,0.6,0.371,-0.1097,False,Insufficient sample
"Sosa, Edmundo",25,858,13,615,-0.2791,0.3764,0.6555,-0.0935,0.1912,0.2848,-0.0931,0.2242,0.3174,-0.1073,0.1364,0.2437,-0.0455,0.24,0.2855,-0.2336,0.1364,0.3699,-0.1263,0.0,0.1263,0.1444,0.36,0.2156,0.0074,0.04,0.0326,-0.1107,0.2308,0.3415,-0.052,0.0,0.052,-2.0,102.0,104.0,0.2001,3.84,3.6399,-0.059,0.354,0.413,-1.3772,False,Insufficient sample
