player,venue,plate_apps,pitches_per_pa,ba,obp,slg,ops,woba,xwoba,hard_hit_rate,barrel_rate,ev90,krate,bbrate,hr_rate,chase_rate,whiff_rate,bips
"Bohm, Alec",All other MLB parks,2228,3.65,0.261,0.312,0.375,0.687,0.301,0.348,0.447,0.054,104.7,0.182,0.062,0.02,0.276,0.203,1654
"Bohm, Alec",loanDepot park,118,3.737,0.248,0.297,0.303,0.599,0.268,0.323,0.438,0.034,104.2,0.178,0.068,0.0,0.281,0.206,89
"Crawford, Justin",All other MLB parks,240,3.675,0.27,0.312,0.374,0.686,0.302,0.273,0.356,0.011,101.54,0.2,0.058,0.008,0.371,0.191,177
"Crawford, Justin",loanDepot park,10,4.2,0.2,0.2,0.3,0.5,0.215,0.33,0.375,0.0,100.73,0.2,0.0,0.0,0.6,0.16,8
"Harper, Bryce",All other MLB parks,4070,4.022,0.284,0.384,0.557,0.941,0.396,0.444,0.471,0.135,107.7,0.207,0.14,0.057,0.29,0.281,2594
"Harper, Bryce",loanDepot park,245,4.253,0.277,0.367,0.515,0.882,0.374,0.446,0.5,0.153,106.86,0.249,0.131,0.049,0.301,0.281,150
"Hill, Derek",All other MLB parks,370,3.781,0.21,0.262,0.311,0.573,0.254,0.269,0.335,0.073,103.04,0.341,0.062,0.027,0.349,0.326,218
"Hill, Derek",loanDepot park,1,1.0,0.0,0.0,0.0,0.0,0.0,0.398,1.0,0.0,95.3,0.0,0.0,0.0,,0.0,1
"Marsh, Brandon",All other MLB parks,1785,4.071,0.278,0.343,0.453,0.796,0.344,0.376,0.475,0.093,104.4,0.286,0.09,0.03,0.282,0.261,1100
"Marsh, Brandon",loanDepot park,74,3.959,0.338,0.392,0.588,0.98,0.416,0.443,0.455,0.127,104.26,0.162,0.081,0.027,0.265,0.173,55
"Realmuto, J.T.",All other MLB parks,3294,3.833,0.28,0.334,0.46,0.795,0.341,0.369,0.414,0.079,105.3,0.212,0.062,0.035,0.305,0.242,2331
"Realmuto, J.T.",loanDepot park,124,3.669,0.301,0.355,0.513,0.868,0.371,0.427,0.429,0.119,104.95,0.234,0.081,0.048,0.351,0.268,84
"Rincones Jr., Gabriel",All other MLB parks,74,3.905,0.171,0.203,0.314,0.517,0.224,0.219,0.367,0.102,106.3,0.297,0.027,0.027,0.43,0.283,49
"Schwarber, Kyle",All other MLB parks,3820,4.246,0.233,0.34,0.528,0.868,0.368,0.445,0.521,0.175,109.1,0.282,0.134,0.071,0.23,0.305,2189
"Schwarber, Kyle",loanDepot park,134,4.313,0.21,0.291,0.496,0.787,0.335,0.434,0.564,0.218,109.3,0.306,0.097,0.075,0.256,0.293,78
"Sosa, Edmundo",All other MLB parks,858,3.64,0.244,0.286,0.37,0.655,0.285,0.317,0.341,0.052,104.0,0.216,0.033,0.023,0.413,0.286,615
"Sosa, Edmundo",loanDepot park,25,3.84,0.136,0.24,0.136,0.376,0.191,0.224,0.231,0.0,102.0,0.36,0.04,0.0,0.354,0.34,13
"Stott, Bryson",All other MLB parks,1868,4.155,0.253,0.308,0.386,0.694,0.303,0.317,0.356,0.049,102.38,0.166,0.074,0.022,0.287,0.163,1403
"Stott, Bryson",loanDepot park,96,3.969,0.287,0.333,0.517,0.851,0.359,0.368,0.385,0.103,103.08,0.115,0.073,0.042,0.301,0.127,78
"Turner, Trea",All other MLB parks,4084,3.845,0.292,0.34,0.466,0.806,0.346,0.35,0.414,0.067,104.6,0.198,0.062,0.032,0.301,0.254,2985
"Turner, Trea",loanDepot park,211,3.791,0.233,0.294,0.399,0.693,0.3,0.345,0.407,0.068,103.27,0.152,0.066,0.043,0.291,0.206,162
