check,recomputed,reported,delta,status,note
pooled/Miami/plate_apps,1901.0,1901.0,0.0,PASS,
pooled/Miami/ba,0.25,0.25,0.0,PASS,
pooled/Miami/obp,0.308,0.308,0.0,PASS,
pooled/Miami/slg,0.411,0.411,0.0,PASS,
pooled/Miami/woba,0.311,0.311,0.0,PASS,
pooled/Miami/xwoba,0.362,0.362,0.0,PASS,
pooled/Miami/hard_hit_rate,0.407,0.407,0.0,PASS,
pooled/Miami/barrel_rate,0.085,0.085,0.0,PASS,
pooled/Miami/krate,0.201,0.201,0.0,PASS,
pooled/Miami/pitches_per_pa,3.928,3.928,0.0,PASS,
pooled/Miami/ev90,104.2,104.2,0.0,PASS,
pooled/Miami/bip,1358.0,1358.0,0.0,PASS,
pooled/Other/plate_apps,22691.0,22691.0,0.0,PASS,
pooled/Other/ba,0.268,0.268,0.0,PASS,
pooled/Other/obp,0.338,0.338,0.0,PASS,
pooled/Other/slg,0.466,0.466,0.0,PASS,
pooled/Other/woba,0.345,0.345,0.0,PASS,
pooled/Other/xwoba,0.376,0.376,0.0,PASS,
pooled/Other/hard_hit_rate,0.437,0.437,0.0,PASS,
pooled/Other/barrel_rate,0.094,0.094,0.0,PASS,
pooled/Other/krate,0.222,0.222,0.0,PASS,
pooled/Other/pitches_per_pa,3.956,3.956,0.0,PASS,
pooled/Other/ev90,105.7,105.7,0.0,PASS,
pooled/Other/bip,15315.0,15315.0,0.0,PASS,
visitors/Miami/plate_apps,1038.0,1038.0,0.0,PASS,
visitors/Miami/woba,0.337,0.337,0.0,PASS,
visitors/Miami/xwoba,0.391,0.391,0.0,PASS,
visitors/Miami/hard_hit_rate,0.448,0.448,0.0,PASS,
visitors/Miami/barrel_rate,0.11,0.11,0.0,PASS,
visitors/Miami/slg,0.457,0.457,0.0,PASS,
visitors/Miami/obp,0.327,0.327,0.0,PASS,
split/Turner/MIA/plate_apps,211.0,211.0,0.0,PASS,
split/Turner/MIA/woba,0.3,0.3,0.0,PASS,
split/Turner/MIA/xwoba,0.345,0.345,0.0,PASS,
split/Turner/MIA/slg,0.399,0.399,0.0,PASS,
split/Turner/MIA/hard_hit_rate,0.407,0.407,0.0,PASS,
split/Turner/MIA/barrel_rate,0.068,0.068,0.0,PASS,
split/Turner/OTH/plate_apps,4084.0,4084.0,0.0,PASS,
split/Turner/OTH/woba,0.346,0.346,0.0,PASS,
split/Turner/OTH/xwoba,0.35,0.35,0.0,PASS,
split/Turner/OTH/slg,0.466,0.466,0.0,PASS,
split/Turner/OTH/hard_hit_rate,0.414,0.414,0.0,PASS,
split/Turner/OTH/barrel_rate,0.067,0.067,0.0,PASS,
split/Schwarber/MIA/plate_apps,134.0,134.0,0.0,PASS,
split/Schwarber/MIA/woba,0.335,0.335,0.0,PASS,
split/Schwarber/MIA/xwoba,0.434,0.434,0.0,PASS,
split/Schwarber/MIA/slg,0.496,0.496,0.0,PASS,
split/Schwarber/MIA/hard_hit_rate,0.564,0.564,0.0,PASS,
split/Schwarber/MIA/barrel_rate,0.218,0.218,0.0,PASS,
split/Schwarber/OTH/plate_apps,3820.0,3820.0,0.0,PASS,
split/Schwarber/OTH/woba,0.368,0.368,0.0,PASS,
split/Schwarber/OTH/xwoba,0.445,0.445,0.0,PASS,
split/Schwarber/OTH/slg,0.528,0.528,0.0,PASS,
split/Schwarber/OTH/hard_hit_rate,0.521,0.521,0.0,PASS,
split/Schwarber/OTH/barrel_rate,0.175,0.175,0.0,PASS,
split/Harper/MIA/plate_apps,245.0,245.0,0.0,PASS,
split/Harper/MIA/woba,0.374,0.374,0.0,PASS,
split/Harper/MIA/xwoba,0.446,0.446,0.0,PASS,
split/Harper/MIA/slg,0.515,0.515,0.0,PASS,
split/Harper/MIA/hard_hit_rate,0.5,0.5,0.0,PASS,
split/Harper/MIA/barrel_rate,0.153,0.153,0.0,PASS,
split/Harper/OTH/plate_apps,4070.0,4070.0,0.0,PASS,
split/Harper/OTH/woba,0.396,0.396,0.0,PASS,
split/Harper/OTH/xwoba,0.444,0.444,0.0,PASS,
split/Harper/OTH/slg,0.557,0.557,0.0,PASS,
split/Harper/OTH/hard_hit_rate,0.471,0.471,0.0,PASS,
split/Harper/OTH/barrel_rate,0.135,0.135,0.0,PASS,
split/Marsh/MIA/plate_apps,74.0,74.0,0.0,PASS,
split/Marsh/MIA/woba,0.416,0.416,0.0,PASS,
split/Marsh/MIA/xwoba,0.443,0.443,0.0,PASS,
split/Marsh/MIA/slg,0.588,0.588,0.0,PASS,
split/Marsh/MIA/hard_hit_rate,0.455,0.455,0.0,PASS,
split/Marsh/MIA/barrel_rate,0.127,0.127,0.0,PASS,
split/Marsh/OTH/plate_apps,1785.0,1785.0,0.0,PASS,
split/Marsh/OTH/woba,0.344,0.344,0.0,PASS,
