game_year,game_date,gi,PA_c,ops_std,obp_std,slg_std,woba_std,HR_c
2019,2019-05-18,1,2,1.5,0.5,1.0,0.6085,0.0
2019,2019-05-19,2,6,1.4167,0.6667,0.75,0.5778,0.0
2019,2019-05-20,3,10,1.45,0.7,0.75,0.6077,0.0
2019,2019-05-21,4,14,1.5595,0.6429,0.9167,0.6348,1.0
2019,2019-05-23,5,19,1.2596,0.5263,0.7333,0.5041,1.0
2019,2019-05-24,6,20,1.2833,0.55,0.7333,0.5134,1.0
2019,2019-05-26,7,23,1.0894,0.4783,0.6111,0.4464,1.0
2019,2019-05-27,8,26,1.1,0.5,0.6,0.4549,1.0
2019,2019-05-30,9,30,1.05,0.4667,0.5833,0.4348,1.0
2019,2019-06-18,10,32,1.0457,0.4688,0.5769,0.4348,1.0
2019,2019-06-19,11,36,1.0714,0.5,0.5714,0.449,1.0
2019,2019-06-20,12,40,1.0062,0.475,0.5312,0.4258,1.0
2019,2019-06-22,13,44,0.9916,0.4773,0.5143,0.4226,1.0
2019,2019-06-23,14,48,1.1106,0.5208,0.5897,0.4671,1.0
2019,2019-06-26,15,52,1.1337,0.5385,0.5952,0.4779,1.0
2019,2019-06-27,16,59,1.0969,0.5254,0.5714,0.4654,1.0
2019,2019-06-28,17,63,1.0815,0.5238,0.5577,0.4607,1.0
2019,2019-06-30,18,67,1.0104,0.4925,0.5179,0.4331,1.0
2019,2019-07-02,19,71,1.0263,0.493,0.5333,0.4381,1.0
2019,2019-07-03,20,76,1.0385,0.5,0.5385,0.4437,1.0
2019,2019-07-04,21,81,0.9958,0.4815,0.5143,0.427,1.0
2019,2019-07-05,22,86,1.0234,0.4767,0.5467,0.4349,2.0
2019,2019-07-06,23,90,1.011,0.4667,0.5443,0.4291,2.0
2019,2019-07-07,24,95,0.9764,0.4526,0.5238,0.4156,2.0
2019,2019-07-12,25,99,0.9558,0.4444,0.5114,0.4076,2.0
2019,2019-07-13,26,104,0.9477,0.4423,0.5054,0.4048,2.0
2019,2019-07-14,27,108,0.9549,0.4444,0.5104,0.4074,2.0
2019,2019-07-16,28,109,0.96,0.4495,0.5104,0.41,2.0
2019,2019-07-17,29,113,0.9425,0.4425,0.5,0.4032,2.0
2019,2019-07-18,30,117,0.9628,0.453,0.5098,0.4116,2.0
2019,2019-07-19,31,121,0.9593,0.4545,0.5048,0.4111,2.0
2019,2019-07-20,32,124,0.9343,0.4435,0.4907,0.4012,2.0
2019,2019-07-21,33,129,0.9452,0.4496,0.4956,0.4059,2.0
2019,2019-07-22,34,133,0.9264,0.4436,0.4828,0.3989,2.0
2019,2019-07-23,35,139,0.9254,0.446,0.4793,0.3991,2.0
2019,2019-07-24,36,143,0.9384,0.4545,0.4839,0.405,2.0
2019,2019-07-25,37,147,0.9334,0.449,0.4844,0.4022,2.0
2019,2019-07-26,38,151,0.9312,0.4503,0.4809,0.4019,2.0
2019,2019-07-28,39,156,0.9129,0.4423,0.4706,0.3946,2.0
2019,2019-07-30,40,160,0.8884,0.4312,0.4571,0.3847,2.0
