name,batter,PA_total,PA_2k,two_strike_rate,K_in_2k,tssr,hits_2k,hit_rate_2k_per_pa,AB_2k,ba_2k,obp_2k,slg_2k,ops_2k,woba_2k,xwoba_2k,re24_per_pa_2k
Luis Arraez,650333,464.0,213.0,0.4591,21.0,0.9014,53.0,0.2488,201.0,0.2637,0.2958,0.3333,0.6291,0.278,0.2722,0.0078
Bryson Stott,681082,409.0,227.0,0.555,75.0,0.6696,47.0,0.207,214.0,0.2196,0.2599,0.2897,0.5496,0.2455,0.2477,-0.0246
Alec Bohm,664761,437.0,191.0,0.4371,66.0,0.6545,26.0,0.1361,175.0,0.1486,0.2147,0.1829,0.3975,0.1877,0.2,-0.0733
Edmundo Sosa,624641,188.0,110.0,0.5851,39.0,0.6455,18.0,0.1636,102.0,0.1765,0.2,0.2549,0.4549,0.1992,0.2225,-0.0068
Justin Crawford,702222,327.0,169.0,0.5168,63.0,0.6272,31.0,0.1834,156.0,0.1987,0.2604,0.2372,0.4975,0.2299,0.211,-0.0315
J.T. Realmuto,592663,307.0,170.0,0.5537,64.0,0.6235,26.0,0.1529,150.0,0.1733,0.2647,0.2467,0.5114,0.2392,0.2693,-0.0246
Bryce Harper,547180,472.0,244.0,0.5169,101.0,0.5861,37.0,0.1516,207.0,0.1787,0.291,0.2899,0.5808,0.2682,0.2895,-0.0079
Trea Turner,607208,482.0,253.0,0.5249,106.0,0.581,36.0,0.1423,234.0,0.1538,0.2095,0.188,0.3975,0.1855,0.2077,-0.0771
Adolis García,666969,259.0,164.0,0.6332,84.0,0.4878,24.0,0.1463,150.0,0.16,0.2195,0.2533,0.4728,0.2136,0.2249,-0.0628
Brandon Marsh,669016,420.0,215.0,0.5119,111.0,0.4837,30.0,0.1395,201.0,0.1493,0.2,0.2239,0.4239,0.1931,0.1867,-0.0476
Kyle Schwarber,656941,470.0,286.0,0.6085,163.0,0.4301,30.0,0.1049,250.0,0.12,0.2308,0.26,0.4908,0.2278,0.2264,-0.0553
