game_year,ctx,PA,AB,H,2B,3B,HR,BB,IBB,HBP,K,ba,obp,slg,ops,iso,woba,k_rate,bb_rate,xwoba,re24,re24_per_pa,runs_driven,risp_runners_faced,risp_runners_scored,spcr
2019,BASES_EMPTY,232.0,206.0,67.0,14.0,0.0,2.0,25.0,0.0,1.0,16.0,0.3252,0.4009,0.4223,0.8232,0.0971,0.3589,0.069,0.1078,0.3354,4.69,0.0202,2.0,0.0,0.0,
2019,MEN_ON_NO_RISP,71.0,65.0,24.0,5.0,0.0,2.0,6.0,0.0,0.0,7.0,0.3692,0.4225,0.5385,0.961,0.1692,0.407,0.0986,0.0845,0.3426,3.395,0.0478,5.0,0.0,0.0,
2019,RISP,63.0,55.0,18.0,1.0,1.0,0.0,4.0,1.0,0.0,6.0,0.3273,0.3651,0.3818,0.7469,0.0545,0.3083,0.0952,0.0794,0.3197,-0.148,-0.0023,21.0,71.0,21.0,0.2958
2020,BASES_EMPTY,75.0,71.0,17.0,4.0,0.0,0.0,4.0,0.0,0.0,9.0,0.2394,0.28,0.2958,0.5758,0.0563,0.2564,0.12,0.0533,0.3171,-4.458,-0.0594,0.0,0.0,0.0,
2020,MEN_ON_NO_RISP,24.0,22.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.3636,0.4167,0.3636,0.7803,0.0,0.3526,0.0417,0.0833,0.3573,0.471,0.0196,0.0,0.0,0.0,
2020,RISP,22.0,19.0,11.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.5789,0.5909,0.8421,1.433,0.2632,0.5857,0.0455,0.0909,0.4903,5.716,0.2598,14.0,25.0,14.0,0.56
2021,BASES_EMPTY,313.0,291.0,89.0,14.0,1.0,0.0,21.0,0.0,1.0,37.0,0.3058,0.3546,0.3608,0.7155,0.055,0.3171,0.1182,0.0671,0.3242,-3.061,-0.0098,0.0,0.0,0.0,
2021,MEN_ON_NO_RISP,66.0,56.0,15.0,0.0,4.0,1.0,10.0,0.0,0.0,2.0,0.2679,0.3788,0.4643,0.8431,0.1964,0.3635,0.0303,0.1515,0.3977,0.956,0.0145,6.0,0.0,0.0,
2021,RISP,100.0,82.0,22.0,3.0,1.0,1.0,10.0,2.0,1.0,9.0,0.2683,0.35,0.3659,0.7159,0.0976,0.2989,0.09,0.12,0.3517,-0.076,-0.0008,38.0,126.0,36.0,0.2857
2022,BASES_EMPTY,390.0,352.0,100.0,20.0,0.0,5.0,36.0,0.0,2.0,30.0,0.2841,0.3538,0.3835,0.7374,0.0994,0.3285,0.0769,0.0923,0.3406,2.251,0.0058,5.0,0.0,0.0,
