base_out,bases,outs,PA,AB,H,2B,3B,HR,BB,IBB,HBP,K,ba,obp,slg,ops,iso,woba,k_rate,bb_rate,xwoba,re24,re24_per_pa,runs_driven
000_0,000,0,120.0,116.0,29.0,6.0,1.0,1.0,4.0,0.0,0.0,9.0,0.25,0.275,0.3448,0.6198,0.0948,0.2722,0.075,0.0333,0.2887,-2.23,-0.0186,1.0
000_1,000,1,98.0,92.0,34.0,4.0,1.0,1.0,4.0,0.0,2.0,2.0,0.3696,0.4082,0.4674,0.8756,0.0978,0.3859,0.0204,0.0408,0.3324,5.235,0.0534,1.0
000_2,000,2,83.0,79.0,27.0,5.0,3.0,1.0,4.0,0.0,0.0,5.0,0.3418,0.3735,0.519,0.8925,0.1772,0.3845,0.0602,0.0482,0.3127,2.955,0.0356,1.0
100_1,100,1,27.0,25.0,10.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.4,0.4444,0.56,1.0044,0.16,0.4345,0.0,0.0741,0.3765,1.784,0.0661,1.0
100_0,100,0,24.0,19.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.3158,0.2917,0.4211,0.7127,0.1053,0.2822,0.125,0.0417,0.1855,0.827,0.0345,2.0
100_2,100,2,23.0,21.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.1905,0.2609,0.4286,0.6894,0.2381,0.2961,0.0435,0.087,0.214,0.405,0.0176,3.0
010_2,010,2,15.0,13.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3846,0.4667,0.5385,1.0051,0.1538,0.3923,0.0,0.1333,0.3448,2.337,0.1558,4.0
010_1,010,1,10.0,8.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.375,0.5,0.375,0.875,0.0,0.4063,0.0,0.2,0.4277,0.986,0.0986,1.0
010_0,010,0,9.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.625,0.6667,0.625,1.2917,0.0,0.5749,0.0,0.0,0.3576,2.237,0.2486,2.0
110_1,110,1,8.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1667,0.375,0.1667,0.5417,0.0,0.2895,0.0,0.125,0.4131,-0.189,-0.0236,2.0
101_1,101,1,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1429,0.25,0.3929,0.0,0.127,0.1429,0.0,0.1761,-0.603,-0.0861,4.0
111_2,111,2,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.1667,0.1667,0.3333,0.0,0.1482,0.0,0.0,0.2177,-0.004,-0.0007,3.0
001_2,001,2,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.4,0.25,0.65,0.0,0.1778,0.0,0.2,0.4312,-0.046,-0.0092,1.0
110_0,110,0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,1.3333,1.9333,0.3333,0.6076,0.0,0.0,0.5037,1.981,0.3962,3.0
110_2,110,2,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.2,0.252,0.0,0.0,0.1824,-0.074,-0.0148,2.0
