name,batter,PA,AB,ba,obp,slg,ops,woba,xwoba,K,k_rate,risp_runners_faced,risp_runners_scored,spcr,re24_per_pa,runs_driven
Luis Arraez,650333,89.0,68.0,0.3824,0.4045,0.4412,0.8457,0.3241,0.3135,1.0,0.0112,108.0,37.0,0.3426,0.077,38.0
Bryson Stott,681082,97.0,81.0,0.3333,0.4124,0.642,1.0543,0.4383,0.3995,12.0,0.1237,116.0,35.0,0.3017,0.1135,43.0
Alec Bohm,664761,113.0,97.0,0.3093,0.3717,0.4948,0.8665,0.3709,0.2992,15.0,0.1327,142.0,42.0,0.2958,0.0629,50.0
Edmundo Sosa,624641,50.0,44.0,0.2727,0.26,0.5227,0.7827,0.3115,0.3829,8.0,0.16,63.0,18.0,0.2857,0.0592,22.0
Brandon Marsh,669016,94.0,82.0,0.2561,0.3191,0.439,0.7582,0.3048,0.2813,26.0,0.2766,117.0,33.0,0.2821,0.0264,37.0
Justin Crawford,702222,81.0,70.0,0.3,0.3704,0.4,0.7704,0.3401,0.2892,13.0,0.1605,104.0,28.0,0.2692,0.068,29.0
Bryce Harper,547180,102.0,77.0,0.2857,0.3922,0.4416,0.8337,0.3381,0.352,20.0,0.1961,119.0,32.0,0.2689,0.0255,36.0
Trea Turner,607208,92.0,85.0,0.2353,0.2717,0.4,0.6717,0.2895,0.2886,20.0,0.2174,112.0,23.0,0.2054,-0.0039,28.0
J.T. Realmuto,592663,84.0,69.0,0.2319,0.3333,0.3768,0.7101,0.3152,0.3573,16.0,0.1905,103.0,21.0,0.2039,0.0033,26.0
Adolis García,666969,57.0,42.0,0.2143,0.3684,0.381,0.7494,0.3347,0.3639,16.0,0.2807,72.0,13.0,0.1806,0.0086,14.0
Kyle Schwarber,656941,87.0,63.0,0.2381,0.4138,0.5714,0.9852,0.3909,0.4174,29.0,0.3333,100.0,15.0,0.15,0.0422,26.0
