slot,batter,name,PA,AB,H,2B,3B,HR,BB,IBB,HBP,K,ba,obp,slg,ops,iso,woba,k_rate,bb_rate,xwoba,re24,re24_per_pa,runs_driven
1,607208,Trea Turner,399.0,370.0,96.0,16.0,1.0,14.0,25.0,0.0,2.0,86.0,0.2595,0.3083,0.4216,0.7299,0.1622,0.3185,0.2155,0.0627,0.3032,1.898,0.0048,38.0
1,656941,Kyle Schwarber,95.0,81.0,20.0,0.0,0.0,3.0,11.0,3.0,0.0,36.0,0.2469,0.3579,0.358,0.7159,0.1111,0.3045,0.3789,0.1474,0.3186,1.292,0.0136,5.0
2,656941,Kyle Schwarber,374.0,312.0,77.0,12.0,1.0,30.0,54.0,0.0,5.0,127.0,0.2468,0.3636,0.5801,0.9438,0.3333,0.4,0.3396,0.1444,0.3788,29.065,0.0777,59.0
2,607208,Trea Turner,82.0,78.0,16.0,3.0,0.0,2.0,3.0,0.0,1.0,20.0,0.2051,0.2439,0.3205,0.5644,0.1154,0.2496,0.2439,0.0366,0.2716,-1.284,-0.0157,5.0
2,547180,Bryce Harper,17.0,15.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0667,0.1765,0.1333,0.3098,0.0667,0.1562,0.3529,0.1176,0.2939,-2.065,-0.1215,0.0
2,669016,Brandon Marsh,10.0,10.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.6,0.6,1.0,1.6,0.4,0.686,0.2,0.0,0.4464,2.843,0.2843,2.0
3,547180,Bryce Harper,450.0,378.0,100.0,20.0,3.0,23.0,61.0,3.0,1.0,95.0,0.2646,0.3667,0.5159,0.8825,0.2513,0.374,0.2111,0.1422,0.3915,23.933,0.0532,66.0
4,664761,Alec Bohm,199.0,186.0,43.0,8.0,0.0,5.0,12.0,0.0,1.0,25.0,0.2312,0.2814,0.3548,0.6362,0.1237,0.2818,0.1256,0.0603,0.2967,-2.981,-0.015,28.0
4,669016,Brandon Marsh,149.0,139.0,33.0,2.0,0.0,6.0,7.0,1.0,2.0,47.0,0.2374,0.2886,0.3813,0.6699,0.1439,0.291,0.3154,0.0537,0.3261,-1.033,-0.0069,17.0
4,666969,Adolis García,98.0,87.0,20.0,4.0,1.0,1.0,10.0,0.0,0.0,25.0,0.2299,0.3061,0.3333,0.6395,0.1034,0.2868,0.2551,0.102,0.3259,-3.892,-0.0397,8.0
4,694025,Felix Reyes,15.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1333,0.1333,0.1333,0.2667,0.0,0.1185,0.1333,0.0,0.2653,-2.266,-0.1511,0.0
5,669016,Brandon Marsh,144.0,136.0,42.0,7.0,0.0,5.0,6.0,1.0,0.0,30.0,0.3088,0.3403,0.4706,0.8109,0.1618,0.3465,0.2083,0.0486,0.2958,5.338,0.0371,20.0
5,664761,Alec Bohm,131.0,120.0,28.0,4.0,0.0,5.0,6.0,0.0,5.0,25.0,0.2333,0.2977,0.3917,0.6894,0.1583,0.3052,0.1908,0.0458,0.3249,-1.36,-0.0104,21.0
5,681082,Bryson Stott,84.0,74.0,13.0,2.0,1.0,1.0,6.0,0.0,2.0,12.0,0.1757,0.25,0.2703,0.5203,0.0946,0.2358,0.1429,0.0714,0.3205,-4.583,-0.0546,7.0
5,624641,Edmundo Sosa,61.0,54.0,12.0,1.0,0.0,0.0,3.0,0.0,1.0,12.0,0.2222,0.2623,0.2407,0.503,0.0185,0.2272,0.1967,0.0492,0.2899,0.031,0.0005,9.0
5,666969,Adolis García,27.0,25.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.16,0.1481,0.2,0.3481,0.04,0.1454,0.2963,0.0,0.2416,-3.405,-0.1261,2.0
5,592663,J.T. Realmuto,14.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0714,0.0,0.0714,0.0,0.0499,0.1429,0.0714,0.2562,-2.897,-0.2069,0.0
6,681082,Bryson Stott,172.0,158.0,45.0,6.0,4.0,4.0,13.0,0.0,0.0,34.0,0.2848,0.3372,0.4494,0.7866,0.1646,0.3415,0.1977,0.0756,0.326,6.563,0.0382,22.0
6,592663,J.T. Realmuto,97.0,87.0,17.0,4.0,0.0,2.0,8.0,0.0,0.0,19.0,0.1954,0.2577,0.3103,0.5681,0.1149,0.2525,0.1959,0.0825,0.3017,-1.725,-0.0178,12.0
6,666969,Adolis García,61.0,52.0,11.0,1.0,0.0,2.0,5.0,0.0,4.0,19.0,0.2115,0.3279,0.3462,0.674,0.1346,0.3093,0.3115,0.082,0.3196,1.283,0.021,3.0
6,664761,Alec Bohm,32.0,27.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,0.1481,0.2188,0.1481,0.3669,0.0,0.1775,0.2188,0.0625,0.2432,-3.751,-0.1172,3.0
6,669016,Brandon Marsh,32.0,29.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,12.0,0.2069,0.25,0.3103,0.5603,0.1034,0.2246,0.375,0.0625,0.2099,-0.854,-0.0267,2.0
6,624641,Edmundo Sosa,31.0,29.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0,0.1724,0.2258,0.3448,0.5706,0.1724,0.2494,0.1935,0.0323,0.3248,-0.046,-0.0015,2.0
7,592663,J.T. Realmuto,121.0,106.0,24.0,6.0,0.0,3.0,8.0,0.0,6.0,29.0,0.2264,0.314,0.3679,0.682,0.1415,0.3057,0.2397,0.0661,0.3449,0.341,0.0028,12.0
7,681082,Bryson Stott,97.0,86.0,23.0,9.0,0.0,3.0,11.0,0.0,0.0,15.0,0.2674,0.3505,0.4767,0.8273,0.2093,0.3601,0.1546,0.1134,0.3427,2.879,0.0297,16.0
7,669016,Brandon Marsh,53.0,52.0,15.0,4.0,1.0,2.0,0.0,0.0,0.0,15.0,0.2885,0.283,0.5192,0.8022,0.2308,0.3365,0.283,0.0,0.3013,0.716,0.0135,9.0
7,664761,Alec Bohm,45.0,41.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0,7.0,0.1463,0.2,0.1951,0.3951,0.0488,0.1816,0.1556,0.0667,0.2765,-3.718,-0.0826,3.0
7,687282,Gabriel Rincones Jr.,41.0,39.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,10.0,0.1282,0.1463,0.2308,0.3771,0.1026,0.1634,0.2439,0.0,0.1845,-3.476,-0.0848,4.0
7,624641,Edmundo Sosa,22.0,21.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.1905,0.1818,0.381,0.5628,0.1905,0.231,0.2727,0.0,0.3897,0.439,0.02,3.0
7,702222,Justin Crawford,15.0,14.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.2857,0.3333,0.5714,0.9048,0.2857,0.3775,0.0667,0.0667,0.2634,0.453,0.0302,1.0
7,666969,Adolis García,14.0,13.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0769,0.1429,0.1538,0.2967,0.0769,0.1399,0.5714,0.0714,0.1246,-1.986,-0.1419,0.0
8,702222,Justin Crawford,101.0,95.0,26.0,3.0,0.0,1.0,4.0,0.0,1.0,15.0,0.2737,0.3069,0.3368,0.6438,0.0632,0.2862,0.1485,0.0396,0.3048,-0.09,-0.0009,13.0
8,592663,J.T. Realmuto,74.0,64.0,19.0,3.0,0.0,3.0,7.0,0.0,3.0,14.0,0.2969,0.3919,0.4844,0.8763,0.1875,0.3857,0.1892,0.0946,0.3377,4.225,0.0571,12.0
8,666969,Adolis García,43.0,40.0,7.0,1.0,0.0,3.0,3.0,0.0,0.0,17.0,0.175,0.2326,0.425,0.6576,0.25,0.2826,0.3953,0.0698,0.2997,-0.753,-0.0175,7.0
8,687282,Gabriel Rincones Jr.,41.0,38.0,8.0,2.0,0.0,1.0,2.0,0.0,1.0,17.0,0.2105,0.2683,0.3421,0.6104,0.1316,0.2716,0.4146,0.0488,0.2267,-1.18,-0.0288,3.0
8,656537,Derek Hill,33.0,28.0,9.0,1.0,0.0,3.0,4.0,0.0,0.0,11.0,0.3214,0.3939,0.6786,1.0725,0.3571,0.4433,0.3333,0.1212,0.4276,3.021,0.0915,5.0
8,624641,Edmundo Sosa,24.0,24.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.2083,0.2083,0.5417,0.75,0.3333,0.3124,0.125,0.0,0.4121,0.244,0.0102,8.0
8,681082,Bryson Stott,23.0,22.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,0.2273,0.2609,0.3182,0.5791,0.0909,0.2559,0.3043,0.0435,0.2666,-0.93,-0.0404,1.0
8,664761,Alec Bohm,21.0,19.0,6.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.3158,0.381,0.6842,1.0652,0.3684,0.4481,0.0476,0.0952,0.2761,2.372,0.113,5.0
8,665561,Rafael Marchán,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,0.0,0.0778,-4.148,-0.2183,0.0
8,669016,Brandon Marsh,14.0,12.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.4167,0.5,0.5,1.0,0.0833,0.4437,0.1429,0.1429,0.3563,1.517,0.1084,0.0
