hitter,ctx,PA_ctx,re24_per_pa,woba_ctx,obp_ctx
Luis Arraez,BASES_EMPTY,301,0.0198,0.3402,0.3455
Luis Arraez,MEN_ON_NO_RISP,74,0.0408,0.3421,0.3378
Luis Arraez,RISP,89,0.0807,0.3241,0.4045
Bryce Harper,BASES_EMPTY,275,0.0569,0.3774,0.3636
Bryce Harper,MEN_ON_NO_RISP,95,0.0342,0.3588,0.3158
Bryce Harper,RISP,102,0.0262,0.3381,0.3922
J.T. Realmuto,BASES_EMPTY,164,-0.0056,0.2766,0.2866
J.T. Realmuto,MEN_ON_NO_RISP,59,0.0214,0.3351,0.322
J.T. Realmuto,RISP,84,0.0033,0.3152,0.3333
Trea Turner,BASES_EMPTY,312,0.0015,0.3089,0.2981
Trea Turner,MEN_ON_NO_RISP,78,0.0073,0.3232,0.3333
Trea Turner,RISP,92,-0.0039,0.2895,0.2717
Edmundo Sosa,BASES_EMPTY,106,-0.0173,0.2209,0.2264
Edmundo Sosa,MEN_ON_NO_RISP,32,-0.0106,0.2424,0.25
Edmundo Sosa,RISP,50,0.0592,0.3115,0.26
Kyle Schwarber,BASES_EMPTY,298,0.0449,0.3385,0.3255
Kyle Schwarber,MEN_ON_NO_RISP,85,0.1606,0.5216,0.4471
Kyle Schwarber,RISP,87,0.0437,0.3909,0.4138
Alec Bohm,BASES_EMPTY,244,-0.0484,0.2541,0.2459
Alec Bohm,MEN_ON_NO_RISP,80,-0.0333,0.2624,0.275
Alec Bohm,RISP,113,0.0629,0.3709,0.3717
Adolis García,BASES_EMPTY,141,-0.0266,0.276,0.2553
Adolis García,MEN_ON_NO_RISP,61,-0.1021,0.1859,0.2131
Adolis García,RISP,57,0.0086,0.3347,0.3684
Brandon Marsh,BASES_EMPTY,237,0.0138,0.3295,0.3122
Brandon Marsh,MEN_ON_NO_RISP,89,0.0314,0.3509,0.3371
Brandon Marsh,RISP,94,0.0273,0.3048,0.3191
Bryson Stott,BASES_EMPTY,236,-0.0007,0.3051,0.3178
Bryson Stott,MEN_ON_NO_RISP,76,-0.0856,0.1923,0.1842
Bryson Stott,RISP,97,0.1135,0.4383,0.4124
Justin Crawford,BASES_EMPTY,194,-0.0157,0.2829,0.299
Justin Crawford,MEN_ON_NO_RISP,52,-0.0481,0.2269,0.2308
Justin Crawford,RISP,81,0.068,0.3401,0.3704
