slot,ctx,w
1,BASES_EMPTY,0.6758
1,MEN_ON_NO_RISP,0.1484
1,RISP,0.1758
2,BASES_EMPTY,0.6064
2,MEN_ON_NO_RISP,0.1908
2,RISP,0.2028
3,BASES_EMPTY,0.5851
3,MEN_ON_NO_RISP,0.1971
3,RISP,0.2178
4,BASES_EMPTY,0.522
4,MEN_ON_NO_RISP,0.2285
4,RISP,0.2495
5,BASES_EMPTY,0.5923
5,MEN_ON_NO_RISP,0.1652
5,RISP,0.2425
6,BASES_EMPTY,0.5676
6,MEN_ON_NO_RISP,0.2217
6,RISP,0.2106
7,BASES_EMPTY,0.5432
7,MEN_ON_NO_RISP,0.2
7,RISP,0.2568
8,BASES_EMPTY,0.5738
8,MEN_ON_NO_RISP,0.1616
8,RISP,0.2646
9,BASES_EMPTY,0.5687
9,MEN_ON_NO_RISP,0.1735
9,RISP,0.2578
