hitter,slot,pa_per_game,re24_per_pa_projected,risp_weight,men_on_weight,re24_per_game,re24_per_162
Adolis García,1,4.5714,-0.0316,0.1758,0.3242,-0.1446,-23.4307
Adolis García,2,4.4464,-0.0339,0.2028,0.3936,-0.1507,-24.4058
Adolis García,3,4.3036,-0.0338,0.2178,0.4149,-0.1456,-23.5859
Adolis García,4,4.2589,-0.0351,0.2495,0.478,-0.1494,-24.2088
Adolis García,5,4.1607,-0.0306,0.2425,0.4077,-0.1271,-20.5967
Adolis García,6,4.0268,-0.0359,0.2106,0.4324,-0.1447,-23.4474
Adolis García,7,3.9286,-0.0327,0.2568,0.4568,-0.1284,-20.7965
Adolis García,8,3.8125,-0.0295,0.2646,0.4262,-0.1125,-18.2213
Adolis García,9,3.7054,-0.0306,0.2578,0.4313,-0.1135,-18.3924
Alec Bohm,1,4.5714,-0.0266,0.1758,0.3242,-0.1217,-19.7218
Alec Bohm,2,4.4464,-0.023,0.2028,0.3936,-0.1022,-16.554
Alec Bohm,3,4.3036,-0.0212,0.2178,0.4149,-0.0913,-14.7889
Alec Bohm,4,4.2589,-0.0172,0.2495,0.478,-0.0733,-11.8782
Alec Bohm,5,4.1607,-0.019,0.2425,0.4077,-0.0789,-12.7737
Alec Bohm,6,4.0268,-0.0216,0.2106,0.4324,-0.0871,-14.1174
Alec Bohm,7,3.9286,-0.0168,0.2568,0.4568,-0.0661,-10.7112
Alec Bohm,8,3.8125,-0.0165,0.2646,0.4262,-0.0631,-10.2161
Alec Bohm,9,3.7054,-0.0171,0.2578,0.4313,-0.0634,-10.2757
Brandon Marsh,1,4.5714,0.0188,0.1758,0.3242,0.086,13.9268
Brandon Marsh,2,4.4464,0.0199,0.2028,0.3936,0.0885,14.3434
Brandon Marsh,3,4.3036,0.0202,0.2178,0.4149,0.087,14.1009
Brandon Marsh,4,4.2589,0.0212,0.2495,0.478,0.0903,14.6288
Brandon Marsh,5,4.1607,0.02,0.2425,0.4077,0.0832,13.4784
Brandon Marsh,6,4.0268,0.0206,0.2106,0.4324,0.0828,13.4135
Brandon Marsh,7,3.9286,0.0208,0.2568,0.4568,0.0817,13.2378
Brandon Marsh,8,3.8125,0.0202,0.2646,0.4262,0.0771,12.4945
Brandon Marsh,9,3.7054,0.0203,0.2578,0.4313,0.0754,12.2141
Bryce Harper,1,4.5714,0.0482,0.1758,0.3242,0.2202,35.6675
Bryce Harper,2,4.4464,0.0464,0.2028,0.3936,0.2062,33.4018
Bryce Harper,3,4.3036,0.0458,0.2178,0.4149,0.197,31.9066
Bryce Harper,4,4.2589,0.0441,0.2495,0.478,0.1877,30.4132
Bryce Harper,5,4.1607,0.0457,0.2425,0.4077,0.1903,30.8254
Bryce Harper,6,4.0268,0.0454,0.2106,0.4324,0.1829,29.6336
Bryce Harper,7,3.9286,0.0445,0.2568,0.4568,0.1748,28.3229
Bryce Harper,8,3.8125,0.0451,0.2646,0.4262,0.1721,27.8768
Bryce Harper,9,3.7054,0.0451,0.2578,0.4313,0.167,27.0565
Bryson Stott,1,4.5714,0.0068,0.1758,0.3242,0.0309,5.0014
Bryson Stott,2,4.4464,0.0062,0.2028,0.3936,0.0278,4.4991
Bryson Stott,3,4.3036,0.0074,0.2178,0.4149,0.032,5.1764
Bryson Stott,4,4.2589,0.0084,0.2495,0.478,0.0356,5.7746
Bryson Stott,5,4.1607,0.0129,0.2425,0.4077,0.0539,8.7258
Bryson Stott,6,4.0268,0.0045,0.2106,0.4324,0.0182,2.9423
Bryson Stott,7,3.9286,0.0116,0.2568,0.4568,0.0457,7.4014
Bryson Stott,8,3.8125,0.0158,0.2646,0.4262,0.0602,9.7489
Bryson Stott,9,3.7054,0.014,0.2578,0.4313,0.0519,8.4016
Edmundo Sosa,1,4.5714,-0.0028,0.1758,0.3242,-0.013,-2.1093
Edmundo Sosa,2,4.4464,-0.0005,0.2028,0.3936,-0.0022,-0.3584
Edmundo Sosa,3,4.3036,0.0007,0.2178,0.4149,0.003,0.4839
Edmundo Sosa,4,4.2589,0.0033,0.2495,0.478,0.0142,2.293
Edmundo Sosa,5,4.1607,0.0024,0.2425,0.4077,0.0098,1.5935
Edmundo Sosa,6,4.0268,0.0003,0.2106,0.4324,0.0012,0.2018
Edmundo Sosa,7,3.9286,0.0037,0.2568,0.4568,0.0145,2.3504
Edmundo Sosa,8,3.8125,0.004,0.2646,0.4262,0.0154,2.4906
Edmundo Sosa,9,3.7054,0.0036,0.2578,0.4313,0.0133,2.1564
J.T. Realmuto,1,4.5714,-0.0001,0.1758,0.3242,-0.0003,-0.0421
J.T. Realmuto,2,4.4464,0.0013,0.2028,0.3936,0.0059,0.9572
J.T. Realmuto,3,4.3036,0.0016,0.2178,0.4149,0.007,1.1394
J.T. Realmuto,4,4.2589,0.0028,0.2495,0.478,0.0118,1.9085
J.T. Realmuto,5,4.1607,0.001,0.2425,0.4077,0.0041,0.6696
J.T. Realmuto,6,4.0268,0.0022,0.2106,0.4324,0.009,1.4585
J.T. Realmuto,7,3.9286,0.0021,0.2568,0.4568,0.0081,1.3118
J.T. Realmuto,8,3.8125,0.0011,0.2646,0.4262,0.0042,0.675
J.T. Realmuto,9,3.7054,0.0014,0.2578,0.4313,0.005,0.8126
Justin Crawford,1,4.5714,-0.0058,0.1758,0.3242,-0.0264,-4.2718
Justin Crawford,2,4.4464,-0.0049,0.2028,0.3936,-0.0217,-3.5119
