slot,batter,name,PA,AB,H,2B,3B,HR,BB,IBB,HBP,K,ba,obp,slg,ops,iso,woba,k_rate,bb_rate,xwoba,re24,re24_per_pa,runs_driven
1,607208,Trea Turner,399.0,370.0,96.0,16.0,1.0,14.0,25.0,0.0,2.0,86.0,0.2595,0.3083,0.4216,0.7299,0.1622,0.3185,0.2155,0.0627,0.3032,1.898,0.0048,38.0
1,656941,Kyle Schwarber,95.0,81.0,20.0,0.0,0.0,3.0,11.0,3.0,0.0,36.0,0.2469,0.3579,0.358,0.7159,0.1111,0.3045,0.3789,0.1474,0.3186,1.292,0.0136,5.0
2,656941,Kyle Schwarber,374.0,312.0,77.0,12.0,1.0,30.0,54.0,0.0,5.0,127.0,0.2468,0.3636,0.5801,0.9438,0.3333,0.4,0.3396,0.1444,0.3788,29.065,0.0777,59.0
2,607208,Trea Turner,82.0,78.0,16.0,3.0,0.0,2.0,3.0,0.0,1.0,20.0,0.2051,0.2439,0.3205,0.5644,0.1154,0.2496,0.2439,0.0366,0.2716,-1.284,-0.0157,5.0
2,547180,Bryce Harper,17.0,15.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0667,0.1765,0.1333,0.3098,0.0667,0.1562,0.3529,0.1176,0.2939,-2.065,-0.1215,0.0
2,669016,Brandon Marsh,10.0,10.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.6,0.6,1.0,1.6,0.4,0.686,0.2,0.0,0.4464,2.843,0.2843,2.0
3,547180,Bryce Harper,450.0,378.0,100.0,20.0,3.0,23.0,61.0,3.0,1.0,95.0,0.2646,0.3667,0.5159,0.8825,0.2513,0.374,0.2111,0.1422,0.3915,23.933,0.0532,66.0
4,664761,Alec Bohm,199.0,186.0,43.0,8.0,0.0,5.0,12.0,0.0,1.0,25.0,0.2312,0.2814,0.3548,0.6362,0.1237,0.2818,0.1256,0.0603,0.2967,-2.981,-0.015,28.0
4,669016,Brandon Marsh,149.0,139.0,33.0,2.0,0.0,6.0,7.0,1.0,2.0,47.0,0.2374,0.2886,0.3813,0.6699,0.1439,0.291,0.3154,0.0537,0.3261,-1.033,-0.0069,17.0
4,666969,Adolis García,98.0,87.0,20.0,4.0,1.0,1.0,10.0,0.0,0.0,25.0,0.2299,0.3061,0.3333,0.6395,0.1034,0.2868,0.2551,0.102,0.3259,-3.892,-0.0397,8.0
4,694025,Felix Reyes,15.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1333,0.1333,0.1333,0.2667,0.0,0.1185,0.1333,0.0,0.2653,-2.266,-0.1511,0.0
