check_id,description,recomputed,published,result
V-001,Arraez rows are one batter id,1,1,PASS
V-002,Entity id is 650333,650333,650333,PASS
V-003,No duplicate pitch keys,0,0,PASS
V-004,Regular-season pitch count,15228,15228,PASS
V-005,2026 pitch count,1727,1727,PASS
V-006,Cache max date,2026-08-02,2026-08-02,PASS
V-007,All rows stand == L,0,0,PASS
V-008,PHI comparison rows are 2026 only,0,0,PASS
V-009a,2026 primary window has zero truncated_pa,0,0,PASS
V-009b,truncated_pa confined to shadow years only,"[2021, 2025]","[2021, 2025]",PASS
V-009-2019,2019 locked PA - strict PA == truncated_pa count,0,0,PASS
V-010-2019,2019 PA,366,366,PASS
V-011-2019,2019 AB,326,326,PASS
V-012-2019,2019 H,109,109,PASS
V-013-2019,2019 HR,4,4,PASS
V-014-2019,2019 BB,35,35,PASS
V-015-2019,2019 K,29,29,PASS
V-016-2019,2019 BA,0.3344,0.3344,PASS
V-017-2019,2019 SLG,0.4387,0.4387,PASS
V-018-2019,2019 OBP,0.3962,0.3962,PASS
V-019-2019,2019 K%,0.0792,0.0792,PASS
V-009-2020,2020 locked PA - strict PA == truncated_pa count,0,0,PASS
V-010-2020,2020 PA,121,121,PASS
V-011-2020,2020 AB,112,112,PASS
V-012-2020,2020 H,36,36,PASS
V-013-2020,2020 HR,0,0,PASS
V-014-2020,2020 BB,8,8,PASS
V-015-2020,2020 K,11,11,PASS
V-016-2020,2020 BA,0.3214,0.3214,PASS
V-017-2020,2020 SLG,0.4018,0.4018,PASS
V-018-2020,2020 OBP,0.3636,0.3636,PASS
V-019-2020,2020 K%,0.0909,0.0909,PASS
V-009-2021,2021 locked PA - strict PA == truncated_pa count,1,1,PASS
V-010-2021,2021 PA,480,480,PASS
V-011-2021,2021 AB,430,430,PASS
V-012-2021,2021 H,126,126,PASS
V-013-2021,2021 HR,2,2,PASS
V-014-2021,2021 BB,41,41,PASS
V-015-2021,2021 K,48,48,PASS
V-016-2021,2021 BA,0.293,0.293,PASS
V-017-2021,2021 SLG,0.3744,0.3744,PASS
V-018-2021,2021 OBP,0.3521,0.3521,PASS
V-019-2021,2021 K%,0.1,0.1,PASS
V-009-2022,2022 locked PA - strict PA == truncated_pa count,0,0,PASS
V-010-2022,2022 PA,603,603,PASS
V-011-2022,2022 AB,547,547,PASS
V-012-2022,2022 H,173,173,PASS
V-013-2022,2022 HR,8,8,PASS
V-014-2022,2022 BB,48,48,PASS
V-015-2022,2022 K,43,43,PASS
V-016-2022,2022 BA,0.3163,0.3163,PASS
V-017-2022,2022 SLG,0.4205,0.4205,PASS
V-018-2022,2022 OBP,0.3715,0.3715,PASS
V-019-2022,2022 K%,0.0713,0.0713,PASS
V-009-2023,2023 locked PA - strict PA == truncated_pa count,0,0,PASS
V-010-2023,2023 PA,617,617,PASS
V-011-2023,2023 AB,574,574,PASS
V-012-2023,2023 H,203,203,PASS
V-013-2023,2023 HR,10,10,PASS
V-014-2023,2023 BB,25,25,PASS
V-015-2023,2023 K,34,34,PASS
V-016-2023,2023 BA,0.3537,0.3537,PASS
V-017-2023,2023 SLG,0.4686,0.4686,PASS
V-018-2023,2023 OBP,0.376,0.376,PASS
V-019-2023,2023 K%,0.0551,0.0551,PASS
V-009-2024,2024 locked PA - strict PA == truncated_pa count,0,0,PASS
V-010-2024,2024 PA,672,672,PASS
V-011-2024,2024 AB,637,637,PASS
V-012-2024,2024 H,200,200,PASS
V-013-2024,2024 HR,4,4,PASS
V-014-2024,2024 BB,21,21,PASS
V-015-2024,2024 K,29,29,PASS
V-016-2024,2024 BA,0.314,0.314,PASS
V-017-2024,2024 SLG,0.3925,0.3925,PASS
V-018-2024,2024 OBP,0.3408,0.3408,PASS
V-019-2024,2024 K%,0.0432,0.0432,PASS
V-009-2025,2025 locked PA - strict PA == truncated_pa count,2,2,PASS
V-010-2025,2025 PA,677,677,PASS
V-011-2025,2025 AB,622,622,PASS
V-012-2025,2025 H,181,181,PASS
V-013-2025,2025 HR,8,8,PASS
V-014-2025,2025 BB,34,34,PASS
V-015-2025,2025 K,21,21,PASS
V-016-2025,2025 BA,0.291,0.291,PASS
V-017-2025,2025 SLG,0.3907,0.3907,PASS
V-018-2025,2025 OBP,0.3205,0.3205,PASS
V-019-2025,2025 K%,0.031,0.031,PASS
V-009-2026,2026 locked PA - strict PA == truncated_pa count,0,0,PASS
V-010-2026,2026 PA,464,464,PASS
V-011-2026,2026 AB,420,420,PASS
V-012-2026,2026 H,136,136,PASS
V-013-2026,2026 HR,4,4,PASS
V-014-2026,2026 BB,21,21,PASS
V-015-2026,2026 K,21,21,PASS
V-016-2026,2026 BA,0.3238,0.3238,PASS
V-017-2026,2026 SLG,0.4405,0.4405,PASS
V-018-2026,2026 OBP,0.347,0.347,PASS
V-019-2026,2026 K%,0.0453,0.0453,PASS
V-020-2025,2025 swing rate,0.4935,0.4935,PASS
V-021-2025,2025 whiff rate,0.0525,0.0525,PASS
V-022-2025,2025 chase rate,0.3415,0.3415,PASS
V-023-2025,2025 z-contact,0.9588,0.9588,PASS
V-024-2025,2025 BIP count,618,618,PASS
V-025-2025,2025 avg EV,84.7107,84.7107,PASS
V-026-2025,2025 hard-hit,0.1667,0.1667,PASS
V-027-2025,2025 barrel,0.0113,0.0113,PASS
V-028-2025,2025 xwOBAcon n (O4 guard),602,602,PASS
V-020-2026,2026 swing rate,0.4887,0.4887,PASS
V-021-2026,2026 whiff rate,0.0794,0.0794,PASS
V-022-2026,2026 chase rate,0.3213,0.3213,PASS
V-023-2026,2026 z-contact,0.934,0.934,PASS
V-024-2026,2026 BIP count,414,414,PASS
V-025-2026,2026 avg EV,86.0184,86.0184,PASS
V-026-2026,2026 hard-hit,0.2029,0.2029,PASS
V-027-2026,2026 barrel,0.0072,0.0072,PASS
V-028-2026,2026 xwOBAcon n (O4 guard),408,408,PASS
V-030-2024,2024 PA reaching 2K,291,291,PASS
V-031-2024,2024 K in 2K,29,29,PASS
V-032-2024,2024 TSSR,0.9003,0.9003,PASS
V-033-2024,2024 hits in 2K,74,74,PASS
V-034-2024,2024 BA in 2K,0.2691,0.2691,PASS
V-035-2024,2024 SLG in 2K,0.3418,0.3418,PASS
V-030-2025,2025 PA reaching 2K,285,285,PASS
V-031-2025,2025 K in 2K,21,21,PASS
V-032-2025,2025 TSSR,0.9263,0.9263,PASS
V-033-2025,2025 hits in 2K,78,78,PASS
V-034-2025,2025 BA in 2K,0.2868,0.2868,PASS
V-035-2025,2025 SLG in 2K,0.375,0.375,PASS
V-030-2026,2026 PA reaching 2K,213,213,PASS
V-031-2026,2026 K in 2K,21,21,PASS
V-032-2026,2026 TSSR,0.9014,0.9014,PASS
V-033-2026,2026 hits in 2K,53,53,PASS
V-034-2026,2026 BA in 2K,0.2637,0.2637,PASS
V-035-2026,2026 SLG in 2K,0.3333,0.3333,PASS
V-040-650333,Luis Arraez TSSR,0.9014,0.9014,PASS
V-041-650333,Luis Arraez 2K hits,53,53,PASS
V-040-681082,Bryson Stott TSSR,0.6696,0.6696,PASS
V-041-681082,Bryson Stott 2K hits,47,47,PASS
V-040-664761,Alec Bohm TSSR,0.6545,0.6545,PASS
V-041-664761,Alec Bohm 2K hits,26,26,PASS
V-040-624641,Edmundo Sosa TSSR,0.6455,0.6455,PASS
V-041-624641,Edmundo Sosa 2K hits,18,18,PASS
V-040-702222,Justin Crawford TSSR,0.6272,0.6272,PASS
V-041-702222,Justin Crawford 2K hits,31,31,PASS
V-040-592663,J.T. Realmuto TSSR,0.6235,0.6235,PASS
V-041-592663,J.T. Realmuto 2K hits,26,26,PASS
V-040-547180,Bryce Harper TSSR,0.5861,0.5861,PASS
V-041-547180,Bryce Harper 2K hits,37,37,PASS
V-040-607208,Trea Turner TSSR,0.581,0.581,PASS
V-041-607208,Trea Turner 2K hits,36,36,PASS
