game_year,pitches,plate_apps,at_bats,bip,hits,doubles,triples,hrs,walks,strikeouts,hbp,sf,singles,ba,obp,slg,ops,iso,krate,bbrate,hr_rate,xwobacon,xwobacon_n,xslgcon,bips,ev_mu,ev90,ev_max,la_mu,la_sd,dist_mu,sweet_spot_rate,ideal_contact_rate,barrels,barrel_rate,hard_hit_rate,swings,bt_swings,bat_speed_mu,bat_speed_p90,bat_speed_sd,swing_length_mu,fast_swing_rate,aa_swings,attack_angle_mu,attack_dir_mu,swing_path_tilt_mu,aa_fit_rate,bt_coverage,aa_coverage,sq_n,squared_up_rate,squared_up_pct_mu,blast_rate,contact_depth_mu,contact_depth_n,swings_wr,whiff_rate,chase_rate,in_zone_rate,whiff_rate_iz,team_context
2015,1163,273,232,156,57,6,1,16,36,77,4,1,34,0.246,0.355,0.487,0.842,0.241,0.282,0.132,0.059,0.463,154,,156,91.888,106.85,111.3,15.513,25.046,201.481,0.321,0.205,19,0.122,0.423,521,0,,,,,,0,,,,,0.0,0.0,0,,,,,0,521,0.3397312859884837,0.286,0.463,0.28654970760233917,pre-PHI (nphl)
2016,28,5,4,2,0,0,0,0,1,2,0,0,0,0.0,0.2,0.0,0.2,0.0,0.4,0.2,0.0,0.476,2,,2,101.6,106.88,108.2,3.0,2.828,75.0,0.0,0.0,0,0.0,1.0,11,0,,,,,,0,,,,,0.0,0.0,0,,,,,0,11,0.45454545454545453,0.294,0.393,0.3333333333333333,pre-PHI (nphl)
2017,2110,486,423,272,89,16,1,30,58,150,5,0,42,0.21,0.313,0.466,0.779,0.256,0.309,0.119,0.062,0.459,269,,272,89.4,107.4,116.1,18.353,29.087,195.639,0.324,0.213,41,0.151,0.415,941,0,,,,,,0,,,,,0.0,0.0,0,,,,,0,941,0.2975557917109458,0.265,0.462,0.23390894819466249,pre-PHI (nphl)
2018,2139,491,429,291,102,14,3,26,58,140,1,2,59,0.238,0.329,0.466,0.795,0.228,0.285,0.118,0.053,0.449,289,,291,90.312,108.02,117.1,11.841,26.047,177.071,0.351,0.216,37,0.127,0.45,892,0,,,,,,0,,,,,0.0,0.0,0,,,,,0,892,0.30269058295964124,0.219,0.461,0.2296875,pre-PHI (nphl)
2019,2539,606,530,379,132,29,3,38,65,156,5,6,62,0.249,0.333,0.53,0.863,0.281,0.257,0.107,0.063,0.47,376,,379,92.909,109.4,117.6,15.239,26.351,197.465,0.367,0.237,55,0.145,0.509,1100,0,,,,,,0,,,,,0.0,0.0,0,,,,,0,1100,0.28,0.239,0.472,0.2191958495460441,pre-PHI (nphl)
2020,955,223,191,125,36,6,0,11,29,66,3,0,19,0.188,0.305,0.393,0.698,0.205,0.296,0.13,0.049,0.429,122,,125,92.396,108.7,114.9,8.459,29.099,161.926,0.296,0.176,14,0.112,0.472,410,0,,,,,,0,,,,,0.0,0.0,0,,,,,0,410,0.2804878048780488,0.279,0.438,0.2153846153846154,pre-PHI (nphl)
2021,1986,472,401,274,106,19,0,32,63,127,6,2,55,0.264,0.371,0.551,0.922,0.287,0.269,0.133,0.068,0.51,273,,274,92.281,109.4,116.6,15.403,26.784,185.696,0.372,0.266,48,0.175,0.522,823,0,,,,,,0,,,,,0.0,0.0,0,,,,,0,823,0.28554070473876064,0.208,0.473,0.228099173553719,pre-PHI (nphl)
2022,2878,666,577,379,126,21,3,46,83,200,4,2,56,0.218,0.32,0.504,0.824,0.286,0.3,0.125,0.069,0.501,378,,379,92.949,109.6,114.8,18.939,29.228,199.876,0.359,0.277,76,0.201,0.544,1167,0,,,,,,0,,,,,0.0,0.0,0,,,,,0,1167,0.2930591259640103,0.217,0.485,0.22576832151300236,PHI (pos)
2023,3068,716,586,373,115,19,1,47,121,214,6,3,48,0.196,0.338,0.473,0.811,0.277,0.299,0.169,0.066,0.459,373,,373,92.246,108.06,115.2,18.689,29.815,190.846,0.354,0.236,61,0.164,0.488,1156,0,,,,,,0,,,,,0.0,0.0,0,,,,,0,1156,0.314878892733564,0.216,0.47,0.2248447204968944,PHI (pos)
2024,2852,689,574,384,142,22,0,38,102,197,5,8,82,0.247,0.361,0.484,0.845,0.237,0.286,0.148,0.055,0.489,384,,384,93.6,109.2,115.6,15.036,29.496,175.104,0.331,0.224,60,0.156,0.555,1139,1060,75.045,81.702,9.376,7.644,0.706,0,,,,,0.931,0.0,351,0.638,0.822,0.519,,0,1139,0.32045654082528535,0.209,0.479,0.23671497584541062,PHI (pos)
2025,3059,719,606,408,145,23,2,56,101,197,11,1,64,0.239,0.357,0.561,0.918,0.322,0.274,0.14,0.078,0.536,408,0.894,408,94.309,109.8,117.2,20.061,27.791,199.365,0.363,0.272,85,0.208,0.596,1279,1268,74.211,81.4,10.921,7.462,0.698,1268,14.506,-4.184,30.243,0.625,0.991,0.991,402,0.669,0.832,0.552,31.984,402,1279,0.3307271305707584,0.215,0.477,0.24171122994652405,PHI (pos)
2026,2114,494,413,242,100,13,1,33,72,172,6,3,53,0.242,0.36,0.518,0.878,0.276,0.348,0.146,0.067,0.519,241,0.833,242,93.247,108.9,113.2,21.456,26.924,205.975,0.421,0.269,41,0.169,0.521,931,913,74.246,81.0,10.057,7.44,0.674,913,14.864,-8.812,29.324,0.646,0.981,0.981,236,0.593,0.818,0.479,32.895,236,931,0.34908700322234154,0.255,0.458,0.23630672926447574,PHI (pos)
