bip_idx,game_date,window_n,barrel_rate,ideal_contact_rate,sweet_spot_rate,hard_hit_rate,ev_mu,ev90,la_mu,squared_up_rate,xwobacon
60,2026-04-26,60.0,0.2,0.2333,0.3333,0.5167,92.7033,107.17,21.5,,0.4854
61,2026-04-26,60.0,0.1833,0.2333,0.3333,0.5,92.5233,107.17,20.6,,0.4746
62,2026-04-26,60.0,0.2,0.2333,0.3333,0.5,92.6533,107.17,20.5,,0.4902
63,2026-04-28,60.0,0.2,0.2333,0.3333,0.5167,93.2417,107.26,21.6167,,0.4897
64,2026-04-28,60.0,0.2,0.2333,0.3333,0.5,92.9467,107.26,22.7,,0.4858
65,2026-04-28,60.0,0.1833,0.2167,0.3167,0.4833,92.6483,107.11,23.7,,0.4738
66,2026-04-30,60.0,0.2,0.2333,0.3167,0.5,93.2267,107.26,23.75,,0.4929
67,2026-04-30,60.0,0.2,0.2333,0.3333,0.5,92.9667,107.26,23.3167,,0.5041
68,2026-04-30,60.0,0.2,0.2333,0.3333,0.5167,93.1383,107.26,22.4333,,0.5104
69,2026-04-30,60.0,0.1833,0.2333,0.35,0.5,92.9283,107.26,22.2,,0.4988
70,2026-04-30,60.0,0.2,0.25,0.3667,0.5167,93.4717,107.85,21.8833,,0.5315
71,2026-04-30,60.0,0.2,0.2333,0.35,0.5,93.215,107.85,21.1167,,0.5197
72,2026-05-03,60.0,0.1833,0.2167,0.3333,0.4833,92.8167,107.85,21.5667,,0.4937
73,2026-05-03,60.0,0.1833,0.2333,0.35,0.4833,92.9833,107.85,21.9167,,0.5063
74,2026-05-03,60.0,0.1667,0.2167,0.35,0.4667,92.6817,107.53,21.65,,0.4875
75,2026-05-03,60.0,0.1667,0.2167,0.3333,0.4667,92.495,107.53,20.5833,,0.477
76,2026-05-04,60.0,0.1667,0.2167,0.3333,0.4667,92.3083,107.53,20.3667,,0.4769
77,2026-05-04,60.0,0.1667,0.2167,0.3333,0.4667,92.2483,107.53,20.95,,0.4767
78,2026-05-04,60.0,0.15,0.2,0.3167,0.45,91.79,107.23,20.4833,,0.4473
79,2026-05-05,60.0,0.15,0.2,0.3,0.45,91.84,107.23,20.7833,,0.4329
80,2026-05-05,60.0,0.15,0.2,0.3,0.4333,91.0667,107.23,20.1,,0.4346
81,2026-05-05,60.0,0.1667,0.2167,0.3167,0.4333,91.0667,107.23,19.9,,0.4448
82,2026-05-06,60.0,0.1833,0.2333,0.3167,0.45,91.4467,107.23,19.9833,,0.4488
83,2026-05-06,60.0,0.1833,0.2333,0.3,0.4667,91.615,107.23,20.1667,,0.4582
84,2026-05-07,60.0,0.1667,0.2333,0.3,0.4667,91.41,107.11,20.1,,0.4322
85,2026-05-07,60.0,0.1833,0.25,0.3167,0.4833,91.8783,107.23,19.2333,,0.4587
86,2026-05-07,60.0,0.1833,0.25,0.3333,0.4667,91.5517,107.23,19.7167,,0.4702
87,2026-05-07,60.0,0.1833,0.2333,0.3167,0.45,91.3717,107.23,20.55,,0.4621
88,2026-05-08,60.0,0.1833,0.2333,0.3167,0.45,91.0667,107.23,20.05,,0.4598
89,2026-05-08,60.0,0.1833,0.2167,0.3,0.45,91.1617,107.58,20.1833,,0.4622
90,2026-05-09,60.0,0.1833,0.2167,0.3,0.45,91.3183,108.35,20.2667,,0.4798
91,2026-05-09,60.0,0.1833,0.2167,0.3,0.45,91.1617,108.35,19.6333,0.5,0.48
92,2026-05-10,60.0,0.2,0.2333,0.3167,0.4667,91.445,108.35,20.4333,0.5167,0.512
93,2026-05-10,60.0,0.2167,0.25,0.3167,0.4833,91.925,108.83,20.4,0.5333,0.5169
94,2026-05-10,60.0,0.2167,0.25,0.3167,0.5,92.5483,109.11,20.85,0.55,0.5246
95,2026-05-10,60.0,0.2,0.25,0.3167,0.4833,92.3367,109.11,21.25,0.5333,0.505
96,2026-05-12,60.0,0.2167,0.2667,0.3333,0.4833,92.4083,109.11,21.85,0.5333,0.5228
97,2026-05-12,60.0,0.2167,0.2667,0.3333,0.4667,92.2583,109.11,22.5,0.5167,0.5152
98,2026-05-12,60.0,0.2333,0.2833,0.35,0.4833,93.43,109.22,23.9167,0.5333,0.5264
99,2026-05-13,60.0,0.2333,0.2833,0.3667,0.4667,92.7917,109.22,24.0667,0.5167,0.5208
100,2026-05-14,60.0,0.2167,0.2667,0.3667,0.45,92.5417,109.22,24.0667,0.5167,0.4918
101,2026-05-14,60.0,0.2333,0.2833,0.3833,0.4667,92.815,109.5,23.55,0.5167,0.5252
102,2026-05-15,60.0,0.2333,0.2833,0.3833,0.4667,92.8133,109.5,23.5833,0.5167,0.5208
103,2026-05-15,60.0,0.25,0.2667,0.3667,0.4667,92.925,109.59,23.95,0.5167,0.5372
104,2026-05-15,60.0,0.2667,0.2833,0.3833,0.4833,93.275,110.4,23.3167,0.5333,0.5656
105,2026-05-15,60.0,0.2833,0.2833,0.3833,0.4833,93.3767,110.4,23.4833,0.5333,0.5672
106,2026-05-16,60.0,0.2833,0.2833,0.3833,0.5,93.89,110.4,22.0667,0.55,0.5749
107,2026-05-16,60.0,0.2833,0.2833,0.3833,0.5,94.0667,110.4,21.9667,0.55,0.5748
108,2026-05-17,60.0,0.2833,0.2833,0.3833,0.5,94.0333,110.4,23.2167,0.55,0.5732
109,2026-05-23,60.0,0.2833,0.2833,0.3833,0.4833,93.9017,110.4,23.2667,0.5333,0.565
110,2026-05-24,60.0,0.2833,0.3,0.4,0.4833,93.9433,110.4,23.6667,0.5333,0.5742
111,2026-05-24,60.0,0.2833,0.3,0.4,0.4667,93.7383,110.4,24.6167,0.5167,0.5712
112,2026-05-24,60.0,0.2833,0.3,0.4167,0.4667,93.66,110.4,24.8667,0.5167,0.5821
113,2026-05-25,60.0,0.3,0.3167,0.4333,0.4833,93.9167,110.4,24.3333,0.5167,0.6
114,2026-05-25,60.0,0.2833,0.3333,0.45,0.4833,93.9083,110.4,23.8167,0.5167,0.6017
115,2026-05-25,60.0,0.2833,0.3333,0.45,0.4833,93.895,110.4,24.0833,0.5,0.603
116,2026-05-26,60.0,0.2833,0.3333,0.45,0.4833,93.825,110.4,24.8833,,0.6015
117,2026-05-26,60.0,0.2833,0.3333,0.4667,0.4833,94.1083,110.4,25.6167,,0.6032
118,2026-05-26,60.0,0.2833,0.35,0.4833,0.5,94.27,110.4,25.0667,,0.6135
119,2026-05-26,60.0,0.2833,0.3333,0.4667,0.5,94.0417,110.4,25.5333,,0.6016
120,2026-05-26,60.0,0.2833,0.3333,0.4833,0.5,94.18,110.4,26.2667,,0.616
121,2026-05-27,60.0,0.2833,0.3333,0.4833,0.5167,94.3717,110.4,26.7,,0.6239
122,2026-05-27,60.0,0.2667,0.3333,0.4833,0.5167,94.2833,110.4,26.0833,,0.6136
123,2026-05-27,60.0,0.2667,0.3333,0.4833,0.5,93.805,110.4,25.15,,0.6157
124,2026-05-29,60.0,0.2667,0.3333,0.4833,0.5,93.6833,110.4,23.8,,0.6161
125,2026-05-29,60.0,0.2833,0.35,0.5,0.5167,93.8933,110.4,22.9667,,0.6455
126,2026-05-30,60.0,0.2667,0.3333,0.4833,0.5,92.7567,109.59,22.1167,,0.6156
127,2026-05-30,60.0,0.2667,0.3333,0.4667,0.5,93.0233,109.59,21.75,,0.6127
128,2026-05-31,60.0,0.2667,0.3333,0.4667,0.4833,92.5067,109.59,20.95,,0.6092
129,2026-06-02,60.0,0.2667,0.3333,0.45,0.5,92.655,109.59,21.4,,0.602
130,2026-06-03,60.0,0.2667,0.3333,0.45,0.5,92.4633,109.41,21.4333,,0.5831
131,2026-06-04,60.0,0.2667,0.35,0.4667,0.5167,92.6917,109.41,22.2333,,0.5924
132,2026-06-04,60.0,0.2667,0.35,0.4667,0.5167,92.93,109.41,21.9667,,0.5927
133,2026-06-04,60.0,0.2667,0.3333,0.45,0.5167,92.9117,109.41,21.3833,,0.5788
134,2026-06-05,60.0,0.2667,0.35,0.45,0.5333,93.1933,109.5,21.3833,,0.578
135,2026-06-05,60.0,0.2667,0.35,0.4667,0.5333,93.5283,109.5,22.3333,,0.5895
136,2026-06-05,60.0,0.2667,0.35,0.4833,0.5333,93.7217,109.5,21.3833,,0.6023
137,2026-06-05,60.0,0.2667,0.3667,0.5,0.55,94.1083,109.5,20.4167,,0.6132
138,2026-06-06,60.0,0.2667,0.3667,0.5,0.55,93.99,109.5,21.6333,,0.6098
139,2026-06-07,60.0,0.2667,0.3667,0.5,0.55,94.21,109.5,21.0667,,0.6166
140,2026-06-07,60.0,0.2667,0.3667,0.5,0.5667,95.0933,109.5,20.8,,0.6189
141,2026-06-08,60.0,0.25,0.35,0.4833,0.55,,,,,
142,2026-06-08,60.0,0.2333,0.3333,0.4667,0.5333,,,,,
143,2026-06-08,60.0,0.2333,0.35,0.4833,0.5333,,,,,
144,2026-06-09,60.0,0.2333,0.3333,0.4667,0.5333,,,,,
145,2026-06-09,60.0,0.2167,0.3167,0.4667,0.5167,,,,,
146,2026-06-10,60.0,0.2167,0.3167,0.4667,0.5167,,,,,
147,2026-06-10,60.0,0.2333,0.3333,0.4833,0.5333,,,,,
148,2026-06-12,60.0,0.2333,0.35,0.5,0.55,,,,,
149,2026-06-13,60.0,0.2167,0.35,0.5167,0.5333,,,,,
150,2026-06-13,60.0,0.2,0.3333,0.5167,0.5167,,,,,
151,2026-06-13,60.0,0.2,0.3333,0.5167,0.5333,,,,,
152,2026-06-14,60.0,0.1833,0.3167,0.5,0.5333,,,,,
153,2026-06-14,60.0,0.1667,0.3,0.4833,0.5333,,,,,
154,2026-06-14,60.0,0.1667,0.3,0.5,0.5167,,,,,
155,2026-06-14,60.0,0.1667,0.3,0.5,0.5167,,,,,
156,2026-06-15,60.0,0.15,0.2833,0.5,0.5,,,,,
157,2026-06-15,60.0,0.1667,0.2833,0.5,0.5167,,,,,
158,2026-06-16,60.0,0.15,0.2833,0.5,0.5167,,,,,
159,2026-06-17,60.0,0.15,0.2833,0.4833,0.5333,,,,,
160,2026-06-18,60.0,0.15,0.3,0.4833,0.55,,,,,
161,2026-06-18,60.0,0.1333,0.2833,0.4667,0.5333,,,,,
162,2026-06-18,60.0,0.1333,0.2833,0.4667,0.5333,,,,,
163,2026-06-20,60.0,0.1167,0.2833,0.4667,0.5167,,,,,
164,2026-06-20,60.0,0.1167,0.2833,0.4667,0.5167,,,,,
165,2026-06-20,60.0,0.1167,0.2833,0.4667,0.5167,,,,,
166,2026-06-20,60.0,0.1167,0.3,0.4833,0.5167,,,,,
167,2026-06-20,60.0,0.1167,0.3,0.4833,0.5333,,,,,
168,2026-06-21,60.0,0.1333,0.3,0.4833,0.55,,,,,
169,2026-06-21,60.0,0.1333,0.3,0.4833,0.55,,,,,
170,2026-06-22,60.0,0.1333,0.3,0.4833,0.55,,,,,
171,2026-06-22,60.0,0.1333,0.3,0.4833,0.55,,,,,
172,2026-06-25,60.0,0.1333,0.3,0.4667,0.5667,,,,,
173,2026-06-25,60.0,0.1167,0.3,0.4667,0.5667,,,,,
174,2026-06-26,60.0,0.1167,0.2833,0.4667,0.55,,,,,
175,2026-06-26,60.0,0.1167,0.2833,0.4667,0.5667,,,,,
176,2026-06-26,60.0,0.1167,0.2833,0.4833,0.55,,,,,
177,2026-06-27,60.0,0.1167,0.2833,0.4667,0.5667,,,,,
178,2026-06-28,60.0,0.1167,0.2833,0.4667,0.5667,,,,,
179,2026-06-28,60.0,0.1333,0.2833,0.4667,0.5667,,,,,
180,2026-06-28,60.0,0.1333,0.2833,0.45,0.5833,,,,,
181,2026-06-29,60.0,0.1333,0.2833,0.45,0.5833,,,,,
182,2026-06-29,60.0,0.1333,0.2833,0.45,0.5667,,,,,
183,2026-06-29,60.0,0.1333,0.2833,0.45,0.5833,,,,,
184,2026-06-30,60.0,0.1333,0.2833,0.45,0.5833,,,,,
185,2026-06-30,60.0,0.1167,0.2667,0.45,0.5667,,,,,
186,2026-06-30,60.0,0.1167,0.2833,0.4667,0.5833,,,,,
187,2026-07-01,60.0,0.1167,0.2833,0.4667,0.5833,,,,,
188,2026-07-02,60.0,0.1167,0.2833,0.4667,0.6,,,,,
189,2026-07-04,60.0,0.1167,0.3,0.4833,0.6,,,,,
190,2026-07-04,60.0,0.1,0.3,0.4833,0.6,,,,,
191,2026-07-04,60.0,0.1,0.2833,0.4667,0.6,,,,,
192,2026-07-05,60.0,0.1,0.2833,0.4667,0.6167,,,,,
193,2026-07-05,60.0,0.1,0.2833,0.4667,0.6,,,,,
194,2026-07-07,60.0,0.1,0.2667,0.45,0.5833,,,,,
195,2026-07-07,60.0,0.1167,0.2833,0.45,0.6,,,,,
196,2026-07-07,60.0,0.1167,0.2833,0.4333,0.6167,,,,,
197,2026-07-08,60.0,0.1167,0.2667,0.4167,0.6,,,,,
198,2026-07-08,60.0,0.1333,0.2833,0.4333,0.6167,,,,,
199,2026-07-09,60.0,0.1333,0.2833,0.45,0.6167,,,,,
200,2026-07-10,60.0,0.1333,0.2833,0.45,0.6,,,,,
201,2026-07-10,60.0,0.1333,0.2833,0.45,0.6167,94.2033,108.92,20.5833,0.6667,0.5832
202,2026-07-10,60.0,0.1333,0.2833,0.45,0.6167,94.3567,108.92,20.25,0.6833,0.5865
203,2026-07-11,60.0,0.1333,0.2667,0.4333,0.6,94.1683,108.92,21.2,0.6667,0.5711
204,2026-07-11,60.0,0.1333,0.2667,0.4333,0.6,94.0933,108.92,21.4667,0.65,0.5694
205,2026-07-11,60.0,0.15,0.2833,0.4333,0.6167,94.425,108.92,21.3667,0.6667,0.5764
206,2026-07-12,60.0,0.15,0.2833,0.4333,0.6167,94.41,108.92,21.45,0.6667,0.5833
207,2026-07-12,60.0,0.1333,0.2667,0.4333,0.6,93.8933,108.92,21.3667,0.65,0.5671
208,2026-07-16,60.0,0.1333,0.25,0.4333,0.5833,93.6133,108.92,21.6167,0.6333,0.5535
209,2026-07-16,60.0,0.1333,0.2667,0.4333,0.6,93.775,108.92,21.8167,0.65,0.5544
210,2026-07-16,60.0,0.1333,0.2667,0.4167,0.6167,94.37,108.92,21.0833,0.6667,0.5417
211,2026-07-18,60.0,0.15,0.2667,0.4167,0.6167,94.45,108.92,21.6667,0.6667,0.5468
212,2026-07-18,60.0,0.15,0.2667,0.4167,0.6,94.2667,108.92,21.85,0.6667,0.5409
213,2026-07-18,60.0,0.15,0.2667,0.4167,0.5833,93.7783,108.83,23.1333,0.65,0.5304
214,2026-07-19,60.0,0.15,0.2833,0.4167,0.6,94.3783,108.83,23.1,0.6667,0.5306
215,2026-07-21,60.0,0.15,0.2833,0.4167,0.6,94.525,108.83,22.0167,0.6667,0.5309
216,2026-07-21,60.0,0.15,0.2833,0.4,0.6,94.3683,108.83,23.1333,0.6667,0.5214
217,2026-07-22,60.0,0.1333,0.2833,0.4167,0.5833,93.98,108.83,22.85,0.6667,0.5117
218,2026-07-22,60.0,0.1333,0.2667,0.4,0.5667,93.7767,108.83,23.5,0.65,0.5061
219,2026-07-24,60.0,0.1333,0.2667,0.4,0.5667,93.755,108.83,24.3333,0.65,0.4971
220,2026-07-24,60.0,0.1333,0.2667,0.4,0.5667,93.8933,109.12,24.3833,0.65,0.4999
221,2026-07-24,60.0,0.1333,0.2667,0.4,0.5667,94.1883,109.12,24.85,0.65,0.4981
