swing_idx,game_date,bat_speed_mu,bat_speed_p90,fast_swing_rate,swing_length_mu,attack_angle_mu,swing_path_tilt_mu,aa_fit_rate
150,2026-04-20,72.9353,80.1,0.62,7.3913,14.0448,28.8945,0.66
151,2026-04-20,72.922,79.92,0.62,7.3967,14.0526,28.9004,0.66
152,2026-04-20,72.8827,79.92,0.6133,7.4047,14.1806,28.9511,0.6533
153,2026-04-20,72.8987,79.92,0.6133,7.4053,14.155,28.9212,0.6533
154,2026-04-20,72.844,79.92,0.6133,7.412,14.2041,28.9635,0.6467
155,2026-04-20,72.86,79.92,0.62,7.41,14.2053,28.9667,0.6467
156,2026-04-20,72.882,79.92,0.62,7.4033,14.2168,28.903,0.6467
157,2026-04-21,72.87,79.92,0.6133,7.406,14.2304,28.8605,0.6467
158,2026-04-21,72.854,79.92,0.6133,7.402,14.1721,28.8694,0.6533
159,2026-04-21,72.8393,79.9,0.6133,7.3933,14.0861,28.8473,0.66
160,2026-04-21,72.8847,79.9,0.62,7.3833,14.0613,28.8322,0.6667
161,2026-04-22,72.8267,79.72,0.6133,7.3813,14.0248,28.8479,0.6667
162,2026-04-22,72.86,79.72,0.62,7.3727,13.9226,28.8638,0.6733
163,2026-04-22,72.85,79.72,0.62,7.368,13.9207,28.808,0.6733
164,2026-04-22,72.868,79.9,0.62,7.3667,13.8796,28.7784,0.6733
165,2026-04-22,72.9007,79.9,0.6267,7.376,13.9773,28.7884,0.6667
166,2026-04-22,72.92,79.9,0.6267,7.3747,14.0136,28.7054,0.6667
167,2026-04-23,72.9467,79.92,0.6267,7.3833,14.0648,28.7422,0.6667
168,2026-04-23,72.9713,79.92,0.6333,7.392,14.1398,28.7312,0.6667
169,2026-04-23,73.1107,79.92,0.64,7.3933,14.1479,28.7618,0.6667
170,2026-04-23,73.1427,80.1,0.64,7.4013,14.2178,28.7568,0.6667
171,2026-04-23,73.1553,80.1,0.6467,7.4053,14.1923,28.8186,0.6733
172,2026-04-23,73.404,80.11,0.6533,7.4207,14.253,28.8738,0.6733
173,2026-04-23,73.3973,80.11,0.6533,7.4173,14.2681,28.8207,0.6733
174,2026-04-23,73.4287,80.11,0.6533,7.426,14.239,28.881,0.6733
175,2026-04-23,73.4073,80.11,0.6533,7.4227,14.1706,28.8971,0.6733
176,2026-04-23,73.39,80.11,0.6533,7.424,14.2153,28.8965,0.6667
177,2026-04-23,73.3787,80.1,0.6533,7.4193,14.1194,28.8938,0.6733
178,2026-04-24,73.3747,80.1,0.6533,7.418,14.1461,28.8671,0.6733
179,2026-04-24,73.6447,80.1,0.66,7.424,14.1492,28.8625,0.6733
180,2026-04-24,73.6433,80.1,0.66,7.4327,14.2204,28.8617,0.6667
181,2026-04-24,73.6793,80.1,0.66,7.4453,14.2615,28.8784,0.6667
182,2026-04-24,73.6893,80.1,0.66,7.4413,14.2015,28.8851,0.6733
183,2026-04-24,73.9267,80.11,0.6667,7.4427,14.1458,28.8784,0.68
184,2026-04-24,73.8253,80.11,0.66,7.45,14.1487,28.8798,0.68
185,2026-04-24,73.82,80.11,0.66,7.448,14.0527,28.8994,0.6733
186,2026-04-24,73.69,80.11,0.6533,7.43,13.8917,28.9052,0.6667
187,2026-04-24,74.0313,80.22,0.66,7.4347,13.9316,28.9261,0.6667
188,2026-04-24,74.0987,80.4,0.6667,7.442,13.928,29.0039,0.6667
189,2026-04-24,74.198,80.4,0.6667,7.45,13.9667,28.9637,0.6667
190,2026-04-24,74.136,80.4,0.66,7.4593,14.0878,28.9052,0.6667
191,2026-04-24,74.1787,80.4,0.6667,7.456,14.0258,28.8691,0.6733
192,2026-04-24,74.144,80.4,0.66,7.458,14.0007,28.8156,0.6733
193,2026-04-24,74.1887,80.4,0.6667,7.4513,13.9913,28.8238,0.68
194,2026-04-24,74.414,80.4,0.6733,7.468,14.115,28.8731,0.6733
195,2026-04-25,74.412,80.4,0.6733,7.4713,14.1352,28.8645,0.6733
196,2026-04-25,74.4507,80.41,0.6733,7.466,14.0909,28.8583,0.68
197,2026-04-25,74.4727,80.41,0.68,7.4673,14.0922,28.8901,0.68
