metric,phase_a,phase_b,delta,pct_change,phase_a_label,phase_b_label,phase_a_bips,phase_b_bips,phase_a_pa,phase_b_pa
ev_mu,93.442,93.054,-0.388,-0.4,A: through May 27,B: since May 27,120,122,235,259
ev90,109.41,108.8,-0.61,-0.6,A: through May 27,B: since May 27,120,122,235,259
la_mu,23.883,19.05,-4.833,-20.2,A: through May 27,B: since May 27,120,122,235,259
sweet_spot_rate,0.408,0.434,0.026,6.4,A: through May 27,B: since May 27,120,122,235,259
ideal_contact_rate,0.283,0.254,-0.029,-10.2,A: through May 27,B: since May 27,120,122,235,259
barrel_rate,0.242,0.098,-0.144,-59.5,A: through May 27,B: since May 27,120,122,235,259
hard_hit_rate,0.508,0.533,0.025,4.9,A: through May 27,B: since May 27,120,122,235,259
xwobacon,0.551,0.487,-0.064,-11.6,A: through May 27,B: since May 27,120,122,235,259
squared_up_rate,0.56,0.625,0.065,11.6,A: through May 27,B: since May 27,120,122,235,259
blast_rate,0.509,0.45,-0.059,-11.6,A: through May 27,B: since May 27,120,122,235,259
bat_speed_mu,74.249,74.243,-0.006,-0.0,A: through May 27,B: since May 27,120,122,235,259
bat_speed_p90,81.07,81.0,-0.07,-0.1,A: through May 27,B: since May 27,120,122,235,259
fast_swing_rate,0.681,0.667,-0.014,-2.1,A: through May 27,B: since May 27,120,122,235,259
swing_length_mu,7.438,7.441,0.003,0.0,A: through May 27,B: since May 27,120,122,235,259
attack_angle_mu,14.488,15.175,0.687,4.7,A: through May 27,B: since May 27,120,122,235,259
swing_path_tilt_mu,29.15,29.469,0.319,1.1,A: through May 27,B: since May 27,120,122,235,259
aa_fit_rate,0.669,0.627,-0.042,-6.3,A: through May 27,B: since May 27,120,122,235,259
contact_depth_mu,33.788,32.032,-1.756,-5.2,A: through May 27,B: since May 27,120,122,235,259
chase_rate,0.241,0.267,0.026,10.8,A: through May 27,B: since May 27,120,122,235,259
whiff_rate,0.3286,0.3663,0.0377,11.5,A: through May 27,B: since May 27,120,122,235,259
whiff_rate_iz,0.2271,0.2442,0.0171,7.5,A: through May 27,B: since May 27,120,122,235,259
slg,0.603,0.439,-0.164,-27.2,A: through May 27,B: since May 27,120,122,235,259
iso,0.372,0.187,-0.185,-49.7,A: through May 27,B: since May 27,120,122,235,259
ops,0.952,0.81,-0.142,-14.9,A: through May 27,B: since May 27,120,122,235,259
