bb_type,bips,ev_mu,xwobacon,share,window
fly_ball,47,99.045,0.789,0.392,A: through May 27
ground_ball,32,87.238,0.219,0.267,A: through May 27
line_drive,28,95.143,0.783,0.233,A: through May 27
popup,13,84.792,0.006,0.108,A: through May 27
fly_ball,32,97.768,0.588,0.262,B: since May 27
ground_ball,36,88.133,0.263,0.295,B: since May 27
line_drive,44,96.823,0.709,0.361,B: since May 27
popup,10,79.57,0.007,0.082,B: since May 27
fly_ball,140,99.809,0.804,0.343,2025 full season
ground_ball,140,88.799,0.259,0.343,2025 full season
line_drive,92,98.912,0.756,0.226,2025 full season
popup,36,82.583,0.012,0.088,2025 full season
