game_year,aa_bucket,bips,ev_mu,la_mu,barrels,xwobacon,barrel_rate
2025,0-5,23,90.361,8.391,3,0.458,0.13
2025,10-15,132,96.748,20.955,29,0.539,0.22
2025,15-20,132,94.83,24.841,34,0.619,0.258
2025,20-25,48,93.694,22.833,9,0.484,0.188
2025,25+,3,68.2,-29.333,0,0.117,0.0
2025,5-10,59,91.144,14.475,10,0.473,0.169
2025,<0,5,93.46,3.8,0,0.538,0.0
2026,0-5,11,94.155,0.818,0,0.497,0.0
2026,10-15,81,95.604,18.975,15,0.545,0.185
2026,15-20,74,93.558,26.824,14,0.554,0.189
2026,20-25,13,83.777,20.385,1,0.391,0.077
2026,25+,3,85.367,9.333,1,0.359,0.333
2026,5-10,47,93.506,22.0,8,0.455,0.17
2026,<0,7,76.186,13.286,0,0.421,0.0
