player_name,game_year,pitches,plate_apps,at_bats,bip,hits,doubles,triples,hrs,walks,strikeouts,hbp,sf,singles,ba,obp,slg,ops,iso,krate,bbrate,hr_rate,xwobacon,xwobacon_n,xslgcon,bips,ev_mu,ev90,ev_max,la_mu,la_sd,dist_mu,sweet_spot_rate,ideal_contact_rate,barrels,barrel_rate,hard_hit_rate,swings,bt_swings,bat_speed_mu,bat_speed_p90,bat_speed_sd,swing_length_mu,fast_swing_rate,aa_swings,attack_angle_mu,attack_dir_mu,swing_path_tilt_mu,aa_fit_rate,bt_coverage,aa_coverage,sq_n,squared_up_rate,squared_up_pct_mu,blast_rate,contact_depth_mu,contact_depth_n,is_schwarber
"Asche, Cody",2015,1722,458,427,315,104,22,3,12,26,111,4,1,67,0.244,0.293,0.393,0.686,0.149,0.242,0.057,0.026,0.367,302.0,,315.0,87.006,102.49,109.0,14.858,26.423,190.605,0.346,0.187,18.0,0.057,0.33,835.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Asche, Cody",2016,914,219,198,144,42,15,0,4,18,54,2,1,23,0.212,0.283,0.348,0.631,0.136,0.247,0.082,0.018,0.349,144.0,,144.0,85.604,103.96,108.4,14.91,28.512,179.656,0.368,0.153,5.0,0.035,0.299,409.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Blanco, Andrés",2015,642,166,147,118,38,12,3,4,15,31,2,0,19,0.259,0.335,0.463,0.798,0.204,0.187,0.09,0.024,0.35,114.0,,118.0,85.934,101.37,106.6,11.289,28.97,158.616,0.314,0.161,7.0,0.059,0.271,295.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Blanco, Andrés",2016,624,167,152,121,40,12,1,4,8,31,7,0,23,0.263,0.329,0.434,0.763,0.171,0.186,0.048,0.024,0.328,119.0,,121.0,88.499,102.22,105.5,6.059,27.739,147.01,0.306,0.116,3.0,0.025,0.364,330.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Blanco, Andrés",2017,396,102,89,67,17,2,0,2,11,24,0,2,13,0.191,0.275,0.281,0.556,0.09,0.235,0.108,0.02,0.3,66.0,,67.0,85.408,101.5,106.4,11.545,26.044,177.893,0.343,0.119,2.0,0.03,0.239,209.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Brown, Domonic",2015,773,205,190,153,43,6,1,5,14,36,1,0,31,0.226,0.283,0.347,0.63,0.121,0.176,0.068,0.024,0.296,150.0,,153.0,87.023,102.54,110.6,12.413,27.745,173.947,0.288,0.118,7.0,0.046,0.281,389.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Bruce, Jay",2019,512,150,146,117,32,6,0,12,3,29,0,1,14,0.219,0.233,0.507,0.74,0.288,0.193,0.02,0.08,0.412,117.0,,117.0,90.243,104.38,108.4,19.504,26.828,212.224,0.333,0.179,11.0,0.094,0.427,309.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Bruce, Jay",2020,413,102,96,72,19,4,2,6,6,24,0,0,7,0.198,0.245,0.469,0.714,0.271,0.235,0.059,0.059,0.4,72.0,,72.0,88.981,104.37,109.2,15.347,29.835,185.014,0.333,0.139,7.0,0.097,0.389,222.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Cabrera, Asdrúbal",2018,504,142,131,99,30,10,0,5,9,31,2,0,15,0.229,0.289,0.42,0.709,0.191,0.218,0.063,0.035,0.367,98.0,,99.0,89.114,101.1,104.6,19.796,26.683,195.172,0.354,0.202,8.0,0.081,0.343,258.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Cave, Jake",2023,813,204,185,132,39,8,1,5,15,55,1,2,25,0.211,0.271,0.346,0.617,0.135,0.27,0.074,0.025,0.339,132.0,,132.0,88.693,102.99,107.0,15.068,26.513,181.109,0.303,0.182,10.0,0.076,0.348,397.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
