player_name,game_year,plate_apps,walks,strikeouts,bbrate,krate,k_free,bb_per_k,bb_minus_k,obp,ops,woba,obp_per_k
"Alfaro, Jorge",2017,113,2,33,0.017699115044247787,0.2920353982300885,False,0.06060606060606061,-0.2743362831858407,0.35398230088495575,0.8680009924737407,0.3693893805309734,1.2121212121212122
"Alfaro, Jorge",2018,371,12,138,0.03234501347708895,0.3719676549865229,False,0.08695652173913043,-0.33962264150943394,0.31266846361185985,0.7196452077979063,0.31357951482479784,0.8405797101449276
"Altherr, Aaron",2015,161,16,41,0.09937888198757763,0.2546583850931677,False,0.3902439024390244,-0.15527950310559005,0.3375,0.826551094890511,0.35344999999999993,1.3253048780487806
"Altherr, Aaron",2016,227,21,69,0.09251101321585903,0.3039647577092511,False,0.30434782608695654,-0.21145374449339205,0.29955947136563876,0.5874382592444267,0.26582666666666666,0.9855072463768116
"Altherr, Aaron",2017,410,30,104,0.07317073170731707,0.25365853658536586,False,0.28846153846153844,-0.18048780487804877,0.33658536585365856,0.8527143981117231,0.35921951219512194,1.326923076923077
"Altherr, Aaron",2018,285,36,91,0.12631578947368421,0.3192982456140351,False,0.3956043956043956,-0.19298245614035087,0.29473684210526313,0.6280701754385964,0.2820456140350877,0.923076923076923
"Arrieta, Jake",2018,50,3,27,0.06,0.54,False,0.1111111111111111,-0.48000000000000004,0.1875,0.3875,0.1771041666666667,0.3472222222222222
"Arrieta, Jake",2019,50,1,19,0.02,0.38,False,0.05263157894736842,-0.36,0.17391304347826086,0.3516908212560387,0.15493478260869567,0.45766590389016015
"Asche, Cody",2015,457,23,111,0.05032822757111598,0.24288840262582057,False,0.2072072072072072,-0.19256017505470457,0.29321663019693656,0.6875828273800351,0.29712334801762114,1.2072072072072073
"Asche, Cody",2016,218,18,54,0.08256880733944955,0.24770642201834864,False,0.3333333333333333,-0.1651376146788991,0.28440366972477066,0.6346574768313696,0.2787339449541284,1.1481481481481481
"Bader, Harrison",2025,198,12,56,0.06060606060606061,0.2828282828282828,False,0.21428571428571427,-0.2222222222222222,0.36363636363636365,0.8273235144743525,0.3583787878787879,1.2857142857142858
"Bautista, José",2018,57,11,15,0.19298245614035087,0.2631578947368421,False,0.7333333333333333,-0.07017543859649122,0.40350877192982454,0.8701754385964913,0.3817543859649123,1.5333333333333334
"Blanco, Andrés",2015,261,21,44,0.08045977011494253,0.1685823754789272,False,0.4772727272727273,-0.08812260536398468,0.36046511627906974,0.8626110390258509,0.3716434108527132,2.1382135306553907
"Blanco, Andrés",2016,209,11,41,0.05263157894736842,0.19617224880382775,False,0.2682926829268293,-0.14354066985645933,0.3157894736842105,0.7210526315789474,0.31335406698564594,1.6097560975609755
"Blanco, Andrés",2017,144,12,34,0.08333333333333333,0.2361111111111111,False,0.35294117647058826,-0.1527777777777778,0.2569444444444444,0.5492521367521368,0.24284722222222221,1.088235294117647
"Bogusevic, Brian",2015,61,3,21,0.04918032786885246,0.3442622950819672,False,0.14285714285714285,-0.29508196721311475,0.29508196721311475,0.7088750706613907,0.3076885245901639,0.8571428571428571
