player_name,game_year,plate_apps,mean_la,gb_rate,ba,iso,woba
"Haseley, Adam",2020,91,-0.6363636363636364,0.5606060606060606,0.27848101265822783,0.06329113924050633,0.305125
"Kendrick, Howie",2017,156,1.1454545454545455,0.5714285714285714,0.3404255319148936,0.11347517730496454,0.36928846153846157
"Williams, Luke",2021,108,1.32,0.6,0.24489795918367346,0.07142857142857145,0.2832962962962963
"Jankowski, Travis",2021,153,2.0096153846153846,0.5384615384615384,0.25190839694656486,0.09923664122137404,0.31246
"Crawford, Justin",2026,362,2.2565055762081783,0.5645756457564576,0.26426426426426425,0.08708708708708712,0.29461838440111415
"Ramos, Wilson",2018,100,2.7971014492753623,0.625,0.33707865168539325,0.1460674157303371,0.37395
"Rojas, Johan",2024,369,2.811387900355872,0.5907473309608541,0.24198250728862974,0.07871720116618075,0.2654404432132964
"Herrera, Odúbel",2022,197,3.0709219858156027,0.5763888888888888,0.23783783783783785,0.14054054054054055,0.28692893401015224
"Revere, Ben",2015,388,3.091482649842271,0.5963855421686747,0.2978142076502732,0.07650273224043719,0.3112357512953368
"Rojas, Johan",2025,172,3.697478991596639,0.5546218487394958,0.2236842105263158,0.06578947368421054,0.2538095238095238
