metric,column,crawford,pool_median,pool_n,percentile
Swing Rate,swing_rate,0.5374149659863946,0.48641304347826086,217,82.48847926267281
Chase Rate,chase_rate,0.37709923664122136,0.30103806228373703,217,84.33179723502305
Whiff Rate,whiff_rate,0.18565400843881857,0.26229508196721313,217,12.442396313364055
Ground-Ball Rate,gb_rate,0.5645756457564576,0.4450402144772118,217,89.40092165898618
Mean Launch Angle,mean_la,2.2565055762081783,12.505777796453483,186,2.1505376344086025
BA,ba,0.26426426426426425,0.24489795918367346,217,74.65437788018433
OBP,obp,0.31197771587743733,0.30652503793626706,217,54.377880184331794
wOBA,woba,0.29461838440111415,0.30770400000000003,217,39.1705069124424
ISO,iso,0.08708708708708712,0.1498771498771499,217,16.129032258064516
K%,krate,0.1850828729281768,0.2361111111111111,217,21.19815668202765
BB%,bbrate,0.058011049723756904,0.07038123167155426,217,32.25806451612903
BABIP,babip,0.3233082706766917,0.2962962962962963,217,73.73271889400922
