pitcher,pitches,plate_apps,rank_by_pa,pitcher_name,name_source
645261,208,54,1,"Alcantara, Sandy",local cache
571578,184,47,2,,
608331,161,44,3,,
453286,151,36,4,"Scherzer, Max",manual carry-in (DPO intake prose) — verify
669022,141,34,5,,
656849,117,33,6,,
450203,134,32,7,,
607200,104,29,8,,
668678,112,28,9,,
669432,120,27,10,,
640455,114,25,11,,
500779,106,25,12,,
675911,126,25,13,,
571945,87,23,14,,
607536,92,23,15,,
621345,86,22,16,,
543243,84,22,17,,
506433,78,21,18,,
571927,70,21,19,,
592836,79,21,20,,
434671,79,20,21,,
608566,79,20,22,,
621242,87,19,23,,
518876,80,19,24,,
573186,66,18,25,,
