game_year,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,swings,whiffs,whiff_rate,chases,ooz,chase_rate,bips,hard_hits,hard_hit_rate,bips_barrel,barrels,barrel_rate,runs_created,rc_per_pa,entity
2015,27,100,25,3,2,2,0,6,0,3,0,0,0,19,0.12,0.18518518518518517,0.12,0.30518518518518517,0.0,0.2222222222222222,0.07407407407407407,0.15789473684210525,0.14877777777777776,41,9,0.21951219512195122,10,46,0.21739130434782608,19,3,0.15789473684210525,19,0,0.0,0,0.0,Noles
2016,45,161,42,8,2,1,0,10,0,6,2,0,0,33,0.19047619047619047,0.22727272727272727,0.23809523809523808,0.4653679653679653,0.047619047619047616,0.2222222222222222,0.044444444444444446,0.25,0.19634883720930232,69,15,0.21739130434782608,23,80,0.2875,33,13,0.3939393939393939,33,1,0.030303030303030304,3,0.06666666666666667,Noles
2017,97,375,91,28,6,6,0,29,0,15,4,3,6,62,0.3076923076923077,0.35051546391752575,0.6153846153846154,0.9659000793021412,0.3076923076923077,0.29896907216494845,0.061855670103092786,0.39285714285714285,0.3997628865979381,175,41,0.2342857142857143,58,187,0.31016042780748665,62,23,0.3709677419354839,62,4,0.06451612903225806,18,0.18556701030927836,Noles
2018,77,285,73,15,4,4,0,14,0,14,0,0,1,59,0.2054794520547945,0.24675324675324675,0.2465753424657534,0.49332858921900014,0.0410958904109589,0.18181818181818182,0.05194805194805195,0.2413793103448276,0.22222077922077924,136,29,0.21323529411764705,41,133,0.3082706766917293,59,17,0.288135593220339,59,2,0.03389830508474576,4,0.05194805194805195,Noles
2019,84,307,78,18,3,3,2,21,0,14,3,0,1,58,0.23076923076923078,0.27710843373493976,0.3076923076923077,0.5848007414272475,0.07692307692307693,0.25,0.03571428571428571,0.30357142857142855,0.2563734939759036,154,43,0.2792207792207792,60,155,0.3870967741935484,58,25,0.43103448275862066,58,1,0.017241379310344827,6,0.07142857142857142,Noles
2020,46,186,42,8,1,1,2,17,1,6,1,0,1,26,0.19047619047619047,0.2391304347826087,0.2857142857142857,0.5248447204968945,0.09523809523809523,0.3695652173913043,0.021739130434782608,0.28,0.2319565217391304,90,26,0.28888888888888886,34,92,0.3695652173913043,26,12,0.46153846153846156,26,1,0.038461538461538464,3,0.06521739130434782,Noles
2021,48,195,44,11,3,3,1,17,0,9,0,0,2,27,0.25,0.3125,0.38636363636363635,0.6988636363636364,0.13636363636363635,0.3541666666666667,0.0625,0.36,0.30672916666666666,94,24,0.2553191489361702,33,94,0.35106382978723405,27,11,0.4074074074074074,27,2,0.07407407407407407,6,0.125,Noles
2022,81,312,78,14,3,3,0,26,0,10,4,0,0,52,0.1794871794871795,0.20987654320987653,0.23076923076923078,0.4406457739791073,0.051282051282051294,0.32098765432098764,0.037037037037037035,0.2692307692307692,0.19692592592592592,158,50,0.31645569620253167,61,160,0.38125,52,18,0.34615384615384615,52,5,0.09615384615384616,3,0.037037037037037035,Noles
2023,94,363,92,27,1,1,1,20,0,13,8,1,5,72,0.29347826086956524,0.30851063829787234,0.5652173913043478,0.8737280296022201,0.27173913043478254,0.2127659574468085,0.010638297872340425,0.3283582089552239,0.36640425531914894,174,36,0.20689655172413793,66,180,0.36666666666666664,72,32,0.4444444444444444,72,10,0.1388888888888889,12,0.1276595744680851,Noles
2024,52,201,50,15,2,2,0,14,0,9,3,0,3,36,0.3,0.3269230769230769,0.54,0.8669230769230769,0.24000000000000005,0.2692307692307692,0.038461538461538464,0.36363636363636365,0.36976923076923074,96,29,0.3020833333333333,32,103,0.3106796116504854,36,15,0.4166666666666667,36,2,0.05555555555555555,7,0.1346153846153846,Noles
2026,45,187,42,10,3,3,0,9,0,9,0,0,1,32,0.23809523809523808,0.28888888888888886,0.30952380952380953,0.5984126984126984,0.07142857142857145,0.2,0.06666666666666667,0.28125,0.2697555555555555,83,17,0.20481927710843373,25,103,0.24271844660194175,32,14,0.4375,32,2,0.0625,1,0.022222222222222223,Noles
