player_name,batter,game_year,stand,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,swings,whiffs,whiff_rate,chases,ooz,chase_rate,bips,hard_hits,hard_hit_rate,bips_barrel,barrels,barrel_rate,runs_created,rc_per_pa,floor,in_population
"Alfaro, Jorge",595751,2016,R,17,65,16,2,1,0,0,8,0,2,0,0,0,8,0.125,0.17647058823529413,0.125,0.30147058823529416,0.0,0.47058823529411764,0.058823529411764705,0.25,0.10975,27.0,14.0,0.5185185185185185,14.0,44.0,0.3181818181818182,8.0,1.0,0.125,8.0,0.0,0.0,0,0.0,12,True
"Alfaro, Jorge",595751,2017,R,113,391,107,34,2,2,4,33,0,23,6,0,5,74,0.3177570093457944,0.35398230088495575,0.514018691588785,0.8680009924737407,0.19626168224299062,0.2920353982300885,0.017699115044247787,0.42028985507246375,0.3693893805309734,242.0,90.0,0.371900826446281,84.0,199.0,0.4221105527638191,74.0,27.0,0.36486486486486486,74.0,7.0,0.0945945945945946,14,0.12389380530973451,12,True
"Alfaro, Jorge",595751,2018,R,371,1334,344,90,12,12,14,138,1,62,16,2,10,207,0.2616279069767442,0.31266846361185985,0.4069767441860465,0.7196452077979063,0.1453488372093023,0.3719676549865229,0.03234501347708895,0.40609137055837563,0.31357951482479784,815.0,345.0,0.4233128834355828,285.0,658.0,0.4331306990881459,207.0,91.0,0.4396135265700483,207.0,22.0,0.10628019323671498,40,0.1078167115902965,12,True
"Altherr, Aaron",571437,2015,R,161,638,137,33,16,16,5,41,2,13,11,4,5,99,0.24087591240875914,0.3375,0.48905109489051096,0.826551094890511,0.24817518248175183,0.2546583850931677,0.09937888198757763,0.3010752688172043,0.35344999999999993,263.0,67.0,0.25475285171102663,71.0,331.0,0.21450151057401812,99.0,43.0,0.43434343434343436,99.0,3.0,0.030303030303030304,24,0.14906832298136646,12,True
"Altherr, Aaron",571437,2016,R,227,929,198,39,23,21,6,69,0,29,6,0,4,129,0.19696969696969696,0.29955947136563876,0.2878787878787879,0.5874382592444267,0.09090909090909094,0.3039647577092511,0.1013215859030837,0.28,0.26582666666666666,402.0,116.0,0.2885572139303483,136.0,489.0,0.278118609406953,129.0,45.0,0.3488372093023256,129.0,4.0,0.031007751937984496,24,0.10572687224669604,12,True
"Altherr, Aaron",571437,2017,R,410,1593,372,101,30,30,7,104,1,53,24,5,19,269,0.271505376344086,0.33658536585365856,0.5161290322580645,0.8527143981117231,0.2446236559139785,0.25365853658536586,0.07317073170731707,0.328,0.35921951219512194,708.0,212.0,0.2994350282485876,207.0,811.0,0.25524044389642414,269.0,116.0,0.4312267657992565,269.0,28.0,0.10408921933085502,68,0.16585365853658537,12,True
"Altherr, Aaron",571437,2018,R,285,1155,243,44,36,36,4,91,2,24,11,1,8,154,0.18106995884773663,0.29473684210526313,0.3333333333333333,0.6280701754385964,0.15226337448559668,0.3192982456140351,0.12631578947368421,0.2465753424657534,0.2820456140350877,518.0,170.0,0.3281853281853282,132.0,581.0,0.22719449225473323,154.0,70.0,0.45454545454545453,154.0,15.0,0.09740259740259741,41,0.14385964912280702,12,True
"Altherr, Aaron",571437,2019,R,30,122,29,1,1,1,0,9,0,0,1,0,0,20,0.034482758620689655,0.06666666666666667,0.06896551724137931,0.135632183908046,0.034482758620689655,0.3,0.03333333333333333,0.05,0.06356666666666667,66.0,19.0,0.2878787878787879,18.0,56.0,0.32142857142857145,20.0,5.0,0.25,20.0,1.0,0.05,1,0.03333333333333333,12,True
"Alvarado, José",621237,2022,L,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,2.0,0.0,,,,,,,0,0.0,11,False
"Alvarez III, Henderson",506693,2017,R,6,17,6,0,0,0,0,2,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,13.0,5.0,0.38461538461538464,8.0,10.0,0.8,4.0,2.0,0.5,4.0,0.0,0.0,1,0.16666666666666666,12,False
"Anderson, Chase",502624,2021,R,14,43,11,0,0,0,0,6,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,24.0,12.0,0.5,9.0,19.0,0.47368421052631576,8.0,1.0,0.125,8.0,0.0,0.0,2,0.14285714285714285,12,True
"Anderson, Drew",623454,2018,R,4,12,3,0,0,0,0,1,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,8.0,3.0,0.375,3.0,5.0,0.6,3.0,1.0,0.3333333333333333,3.0,0.0,0.0,0,0.0,12,False
