pitcher,pitches,first_year,last_year,plate_apps,rank,pitcher_name,name_source
453286,3137,2015,2026,778,1,"Scherzer, Max",manual carry-in (DPO intake prose) — verify
645261,2278,2018,2026,612,2,"Alcantara, Sandy",local cache
571578,2019,2017,2026,533,3,,
608331,1900,2017,2024,471,4,,
594798,1793,2015,2025,458,5,"deGrom, Jacob",manual carry-in (DPO intake prose) — verify
527054,1760,2015,2023,461,6,,
543699,1653,2015,2019,402,7,,
544931,1604,2015,2019,399,8,,
450203,1506,2017,2025,387,9,,
461829,1478,2015,2019,367,10,,
500779,1347,2017,2025,339,11,,
570632,1337,2015,2023,338,12,,
592314,1314,2015,2019,328,13,,
675911,1263,2022,2025,307,14,,
656849,1225,2020,2026,312,15,,
607200,1209,2018,2025,295,16,,
592789,1207,2015,2019,305,17,,
571927,1145,2017,2025,277,18,,
592662,1138,2016,2026,272,19,,
607625,1136,2016,2024,282,20,,
669022,1123,2022,2026,278,21,,
112526,1064,2015,2017,297,22,,
571945,1063,2018,2026,273,23,,
669432,1057,2020,2025,270,24,,
506433,1050,2017,2025,272,25,,
