game_year,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,swings,whiffs,whiff_rate,chases,ooz,chase_rate,bips,hard_hits,hard_hit_rate,bips_barrel,barrels,barrel_rate,runs_created,rc_per_pa,entity
2017,19,80,18,6,1,1,0,4,0,4,0,1,1,14,0.3333333333333333,0.3684210526315789,0.6111111111111112,0.9795321637426901,0.27777777777777785,0.21052631578947367,0.05263157894736842,0.38461538461538464,0.40700000000000003,38,7,0.18421052631578946,9,39,0.23076923076923078,14,6,0.42857142857142855,14,2,0.14285714285714285,5,0.2631578947368421,Wheeler vs MIA
2018,104,386,99,17,2,2,0,31,0,13,2,0,2,71,0.1717171717171717,0.18811881188118812,0.25252525252525254,0.44064406440644066,0.08080808080808083,0.2980769230769231,0.019230769230769232,0.22727272727272727,0.19184158415841585,197,52,0.2639593908629442,60,184,0.32608695652173914,71,19,0.2676056338028169,71,2,0.028169014084507043,6,0.057692307692307696,Wheeler vs MIA
2019,92,321,89,22,2,2,0,26,1,15,5,0,2,64,0.24719101123595505,0.2608695652173913,0.3707865168539326,0.631656082071324,0.12359550561797755,0.2826086956521739,0.021739130434782608,0.3225806451612903,0.26516304347826086,166,40,0.24096385542168675,55,146,0.3767123287671233,64,24,0.375,64,2,0.03125,5,0.05434782608695652,Wheeler vs MIA
2020,24,87,22,5,2,2,0,4,0,5,0,0,0,18,0.22727272727272727,0.2916666666666667,0.22727272727272727,0.5189393939393939,0.0,0.16666666666666666,0.08333333333333333,0.2777777777777778,0.24220833333333333,44,13,0.29545454545454547,15,43,0.3488372093023256,18,3,0.16666666666666666,18,0,0.0,1,0.041666666666666664,Wheeler vs MIA
2021,52,193,48,12,2,2,0,17,2,9,2,0,1,33,0.25,0.2692307692307692,0.3541666666666667,0.6233974358974359,0.10416666666666669,0.3269230769230769,0.038461538461538464,0.34375,0.2651153846153846,102,29,0.28431372549019607,29,90,0.32222222222222224,33,9,0.2727272727272727,33,2,0.06060606060606061,5,0.09615384615384616,Wheeler vs MIA
2022,47,175,40,13,6,6,1,11,0,8,2,2,1,29,0.325,0.425531914893617,0.55,0.975531914893617,0.22500000000000003,0.23404255319148937,0.1276595744680851,0.42857142857142855,0.41961702127659567,84,26,0.30952380952380953,24,90,0.26666666666666666,29,9,0.3103448275862069,29,3,0.10344827586206896,6,0.1276595744680851,Wheeler vs MIA
2023,98,394,93,20,4,4,1,25,0,12,5,0,3,68,0.21505376344086022,0.25510204081632654,0.3655913978494624,0.620693438665789,0.15053763440860216,0.25510204081632654,0.04081632653061224,0.26153846153846155,0.2687551020408163,197,60,0.30456852791878175,67,209,0.32057416267942584,68,28,0.4117647058823529,68,4,0.058823529411764705,7,0.07142857142857142,Wheeler vs MIA
2024,69,279,60,15,6,6,2,14,0,10,3,1,1,47,0.25,0.3382352941176471,0.38333333333333336,0.7215686274509805,0.13333333333333336,0.2028985507246377,0.08695652173913043,0.3111111111111111,0.3205294117647059,155,38,0.24516129032258063,62,162,0.38271604938271603,47,14,0.2978723404255319,47,4,0.0851063829787234,7,0.10144927536231885,Wheeler vs MIA
2025,26,96,26,5,0,0,0,13,0,4,0,0,1,13,0.19230769230769232,0.19230769230769232,0.3076923076923077,0.5,0.11538461538461539,0.5,0.0,0.3333333333333333,0.2140384615384615,51,20,0.39215686274509803,14,45,0.3111111111111111,13,3,0.23076923076923078,13,1,0.07692307692307693,2,0.07692307692307693,Wheeler vs MIA
2026,62,259,56,11,6,6,0,23,0,4,4,1,2,33,0.19642857142857142,0.27419354838709675,0.4107142857142857,0.6849078341013825,0.21428571428571427,0.3709677419354839,0.0967741935483871,0.2903225806451613,0.29782258064516126,119,40,0.33613445378151263,53,156,0.33974358974358976,33,12,0.36363636363636365,33,2,0.06060606060606061,6,0.0967741935483871,Wheeler vs MIA
