window,hit_direction,is_air,bips,hits,hrs,mean_ev,xwobacon,window_bips,share_of_bip
post_break,Oppo,False,13,3,0,86.56923076923077,0.28,113,0.11504424778761062
post_break,Oppo,True,29,9,0,91.15517241379311,0.41744827586206895,113,0.25663716814159293
post_break,Pull,False,29,4,0,90.0448275862069,0.16465517241379313,113,0.25663716814159293
post_break,Pull,True,12,9,3,97.69166666666666,0.7964166666666667,113,0.10619469026548672
post_break,Straightaway,False,10,5,0,93.64,0.25949999999999995,113,0.08849557522123894
post_break,Straightaway,True,20,12,0,93.885,0.6496500000000001,113,0.17699115044247787
pre_break,Oppo,False,24,4,0,85.66250000000001,0.2000833333333333,287,0.08362369337979095
pre_break,Oppo,True,73,22,1,87.12054794520549,0.331054794520548,287,0.25435540069686413
pre_break,Pull,False,78,9,0,90.25064935064935,0.19363636363636363,287,0.27177700348432055
pre_break,Pull,True,31,14,5,93.69354838709677,0.4329677419354839,287,0.10801393728222997
pre_break,Straightaway,False,35,8,0,90.96857142857144,0.22642857142857142,287,0.12195121951219512
pre_break,Straightaway,True,46,16,5,93.79130434782608,0.5293260869565217,287,0.1602787456445993
