player_name,game_year,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,swings,swing_rate,whiff_rate,chase_rate,bips,tracked_bips,gb_rate,fb_rate,ld_rate,mean_la,mean_ev,hard_hit_rate,barrel_rate,pull_air_rate,swing_rate_in_zone,whiff_rate_in_zone
"Alfaro, Jorge",2017,113,391,107,34,2,2,4,33,0,23,6,0,5,74,0.3177570093457944,0.35398230088495575,0.514018691588785,0.8680009924737407,0.19626168224299062,0.2920353982300885,0.017699115044247787,0.42028985507246375,0.3693893805309734,242,0.618925831202046,0.371900826446281,0.4221105527638191,74,74,0.527027027027027,0.21621621621621623,0.22972972972972974,8.216216216216216,88.08243243243244,0.36486486486486486,0.0945945945945946,0.10810810810810811,0.8229166666666666,0.23417721518987342
"Alfaro, Jorge",2018,371,1334,344,90,12,12,14,138,1,62,16,2,10,207,0.2616279069767442,0.31266846361185985,0.4069767441860465,0.7196452077979063,0.1453488372093023,0.3719676549865229,0.03234501347708895,0.40609137055837563,0.31357951482479784,815,0.610944527736132,0.4233128834355828,0.4331306990881459,207,206,0.48792270531400966,0.2318840579710145,0.25120772946859904,8.412621359223301,91.72864077669902,0.4396135265700483,0.10628019323671498,0.0821256038647343,0.7833827893175074,0.3087121212121212
"Altherr, Aaron",2015,161,638,137,33,16,16,5,41,2,13,11,4,5,99,0.24087591240875914,0.3375,0.48905109489051096,0.826551094890511,0.24817518248175183,0.2546583850931677,0.09937888198757763,0.3010752688172043,0.35344999999999993,263,0.4122257053291536,0.25475285171102663,0.21450151057401812,99,97,0.42424242424242425,0.20202020202020202,0.29292929292929293,11.587628865979381,90.90721649484536,0.43434343434343436,0.030303030303030304,0.1717171717171717,0.6254071661237784,0.15104166666666666
"Altherr, Aaron",2016,227,929,198,39,23,21,6,69,0,29,6,0,4,129,0.19696969696969696,0.29955947136563876,0.2878787878787879,0.5874382592444267,0.09090909090909094,0.3039647577092511,0.1013215859030837,0.28,0.26582666666666666,402,0.4327233584499462,0.2885572139303483,0.278118609406953,129,128,0.5271317829457365,0.12403100775193798,0.29457364341085274,5.5,88.246875,0.3488372093023256,0.031007751937984496,0.14728682170542637,0.6045454545454545,0.19172932330827067
"Altherr, Aaron",2017,410,1593,372,101,30,30,7,104,1,53,24,5,19,269,0.271505376344086,0.33658536585365856,0.5161290322580645,0.8527143981117231,0.2446236559139785,0.25365853658536586,0.07317073170731707,0.328,0.35921951219512194,708,0.4444444444444444,0.2994350282485876,0.25524044389642414,269,269,0.4349442379182156,0.2342007434944238,0.24907063197026022,11.211895910780669,89.25427509293681,0.4312267657992565,0.10408921933085502,0.1821561338289963,0.6410256410256411,0.212
"Altherr, Aaron",2018,285,1155,243,44,36,36,4,91,2,24,11,1,8,154,0.18106995884773663,0.29473684210526313,0.3333333333333333,0.6280701754385964,0.15226337448559668,0.3192982456140351,0.12631578947368421,0.2465753424657534,0.2820456140350877,518,0.4484848484848485,0.3281853281853282,0.22719449225473323,154,153,0.487012987012987,0.22727272727272727,0.2077922077922078,10.235294117647058,90.43725490196078,0.45454545454545453,0.09740259740259741,0.14935064935064934,0.6790780141843972,0.2245430809399478
"Arraez, Luis",2026,77,297,74,23,2,2,0,3,1,16,5,0,2,71,0.3108108108108108,0.3246753246753247,0.4594594594594595,0.7841347841347841,0.14864864864864868,0.03896103896103896,0.025974025974025976,0.3,0.3377662337662338,146,0.49158249158249157,0.0821917808219178,0.35443037974683544,71,71,0.2676056338028169,0.4225352112676056,0.2676056338028169,20.95774647887324,85.19014084507042,0.18309859154929578,0.04225352112676056,0.19718309859154928,0.6474820143884892,0.06666666666666667
"Arrieta, Jake",2018,50,206,45,6,3,3,0,27,0,5,0,0,1,20,0.13333333333333333,0.1875,0.2,0.3875,0.06666666666666668,0.54,0.06,0.29411764705882354,0.1771041666666667,81,0.3932038834951456,0.4567901234567901,0.2376237623762376,20,18,0.45,0.25,0.2,,,0.25,0.0,0.1,0.5428571428571428,0.3508771929824561
"Arrieta, Jake",2019,50,186,45,7,1,1,0,19,0,6,1,0,0,30,0.15555555555555556,0.17391304347826086,0.17777777777777778,0.3516908212560387,0.022222222222222227,0.38,0.02,0.2692307692307692,0.15493478260869567,82,0.44086021505376344,0.35365853658536583,0.32558139534883723,30,28,0.43333333333333335,0.13333333333333333,0.3,,,0.26666666666666666,0.0,0.23333333333333334,0.5353535353535354,0.20754716981132076
"Asche, Cody",2015,457,1722,426,104,26,23,4,111,1,67,22,3,12,315,0.24413145539906103,0.29321663019693656,0.39436619718309857,0.6875828273800351,0.15023474178403753,0.24288840262582057,0.05689277899343545,0.3026315789473684,0.29712334801762114,835,0.4849012775842044,0.24790419161676647,0.301218161683278,315,302,0.3968253968253968,0.21587301587301588,0.30158730158730157,14.857615894039736,87.00562913907285,0.33015873015873015,0.05714285714285714,0.2761904761904762,0.687041564792176,0.13701067615658363
"Asche, Cody",2016,218,914,197,42,18,18,2,54,1,23,15,0,4,144,0.2131979695431472,0.28440366972477066,0.350253807106599,0.6346574768313696,0.13705583756345177,0.24770642201834864,0.08256880733944955,0.2714285714285714,0.2787339449541284,409,0.4474835886214442,0.1980440097799511,0.25925925925925924,144,144,0.3958333333333333,0.2361111111111111,0.2708333333333333,14.909722222222221,85.60416666666667,0.2986111111111111,0.034722222222222224,0.2222222222222222,0.6612149532710281,0.11307420494699646
