metric,column,bohm_2026,bohm_pre,bohm_post,pool_median,pool_n,pct_2026,pct_post_window
SLG,slg,0.3875802997858672,0.3508771929824561,0.488,0.39794487555098057,218,43.11926605504588,85.77981651376146
wOBA,woba,0.3028199608610567,0.27750663129973474,0.37403731343283586,0.3080181807580175,218,44.4954128440367,93.11926605504587
ISO,iso,0.14132762312633831,0.13742690058479531,0.15199999999999997,0.14874292897548713,218,45.87155963302752,51.8348623853211
Hard-Hit%,hard_hit_rate,0.425,0.4076655052264808,0.4690265486725664,0.3638757314015046,218,73.39449541284404,90.36697247706422
Barrel%,barrel_rate,0.0575,0.05226480836236934,0.07079646017699115,0.06070843570843571,218,46.788990825688074,62.38532110091744
Pull-Air%,pull_air_rate,0.1075,0.10801393728222997,0.10619469026548672,0.18318333007239287,218,14.220183486238533,13.761467889908257
Mean EV,mean_ev,90.5624060150376,90.0972027972028,91.73982300884956,88.47614461401689,188,82.4468085106383,93.61702127659575
Mean LA,mean_la,9.132832080200501,9.356643356643357,8.56637168141593,12.46796088463443,188,22.340425531914892,20.212765957446805
Whiff%,whiff_rate,0.15953757225433526,0.17274167987321712,0.12393162393162394,0.26205663189269746,218,5.963302752293578,1.3761467889908259
Z-Whiff%,whiff_rate_in_zone,0.10509554140127389,0.1197339246119734,0.06779661016949153,0.1751497920533847,218,8.256880733944955,2.293577981651376
Chase%,chase_rate,0.2562162162162162,0.25677603423680456,0.2544642857142857,0.30112811198350753,218,27.522935779816514,25.688073394495415
Z-Swing%,swing_rate_in_zone,0.6716577540106952,0.6661742983751846,0.686046511627907,0.6782486845115534,218,45.87155963302752,55.5045871559633
K%,krate,0.134765625,0.14854111405835543,0.0962962962962963,0.2360778841041999,218,4.128440366972478,0.9174311926605505
