game_year,swing_rate_in_zone,chase_rate,approach_differential,plate_apps,below_floor,rank_low_to_high
2015,0.5455,0.1944,0.351,44,True,
2016,0.6353,0.3179,0.3174,324,False,1.0
2017,0.652,0.2189,0.4332,447,False,10.0
2018,0.648,0.2318,0.4162,738,False,8.0
2019,0.6741,0.2917,0.3824,567,False,3.0
2020,0.6746,0.2722,0.4024,259,False,6.0
2021,0.7238,0.2643,0.4595,644,False,11.0
2022,0.7239,0.3313,0.3926,707,False,5.0
2023,0.7416,0.3529,0.3887,689,False,4.0
2024,0.7477,0.3394,0.4084,541,False,7.0
2025,0.7283,0.3106,0.4177,641,False,9.0
2026,0.6879,0.3428,0.3451,602,False,2.0
