breakpoint,pre_pa,post_pa,pre_ba,post_ba,d_ba,pre_obp,post_obp,d_obp,pre_slg,post_slg,d_slg,pre_ops,post_ops,d_ops,pre_woba,post_woba,d_woba,below_floor
2026-06-01,256,346,0.2227,0.2516,0.0289,0.2734,0.3064,0.0329,0.3487,0.3962,0.0475,0.6222,0.7026,0.0804,0.2755,0.3081,0.0327,False
2026-06-15,309,293,0.2188,0.2612,0.0424,0.2686,0.3174,0.0488,0.3299,0.4254,0.0955,0.5985,0.7428,0.1443,0.2662,0.3239,0.0577,False
2026-07-01,371,231,0.237,0.2429,0.0059,0.2857,0.303,0.0173,0.3584,0.4048,0.0464,0.6441,0.7078,0.0637,0.2853,0.3087,0.0234,False
2026-07-08,398,204,0.2413,0.235,-0.0063,0.2864,0.3039,0.0175,0.3646,0.3989,0.0343,0.651,0.7028,0.0518,0.2877,0.3071,0.0194,False
2026-07-16,415,187,0.2358,0.2471,0.0113,0.2843,0.3102,0.0258,0.3549,0.4235,0.0686,0.6393,0.7337,0.0944,0.2831,0.3191,0.0361,False
2026-07-21,433,169,0.2463,0.2208,-0.0255,0.2956,0.284,-0.0116,0.3955,0.3247,-0.0708,0.6911,0.6087,-0.0824,0.3034,0.2705,-0.0329,False
2026-08-01,473,129,0.2477,0.2069,-0.0408,0.296,0.2791,-0.0169,0.4023,0.2759,-0.1264,0.6983,0.5549,-0.1433,0.306,0.2507,-0.0553,False
2026-08-08,505,97,0.2495,0.1839,-0.0656,0.297,0.268,-0.029,0.3987,0.2529,-0.1458,0.6958,0.5209,-0.1748,0.3049,0.2378,-0.0671,False
2026-08-15,529,73,0.2469,0.1818,-0.0651,0.2968,0.2603,-0.0365,0.398,0.2121,-0.1858,0.6947,0.4724,-0.2224,0.3047,0.2173,-0.0874,False
2026-08-22,552,50,0.2456,0.1702,-0.0754,0.2989,0.22,-0.0789,0.3929,0.1915,-0.2014,0.6918,0.4115,-0.2804,0.3035,0.1917,-0.1118,False
