game_year,pitches,swings,swing_rate,swings_d,whiffs,whiff_rate,ooz,chase_rate,in_zone_rate,z_pitches,swing_rate_in_zone,whiff_rate_in_zone,ooz_whiff_rate,in_zone_rate_fix,zone_null_rate,srfp,fpsr
2015,171,68,0.3977,68,14,0.2059,72,0.1944,0.5789,99,0.5455,0.1667,0.3571,0.5789,0.0,0.2045,0.75
2016,1232,584,0.474,584,138,0.2363,626,0.3179,0.4919,606,0.6353,0.1377,0.4271,0.4919,0.0,0.2253,0.6204
2017,1694,747,0.441,747,168,0.2249,827,0.2189,0.5118,865,0.652,0.1613,0.4254,0.5112,0.0012,0.2589,0.6094
2018,2927,1289,0.4404,1289,261,0.2025,1458,0.2318,0.5019,1466,0.648,0.1389,0.3817,0.5014,0.001,0.2642,0.626
2019,2234,1047,0.4687,1047,245,0.234,1200,0.2917,0.4628,1034,0.6741,0.1248,0.4514,0.4628,0.0,0.2694,0.625
2020,1033,484,0.4685,484,95,0.1963,529,0.2722,0.4879,504,0.6746,0.1353,0.3403,0.4879,0.0,0.2692,0.6423
2021,2487,1223,0.4918,1223,281,0.2298,1256,0.2643,0.495,1231,0.7238,0.1538,0.4337,0.495,0.0,0.3452,0.6656
2022,2720,1393,0.5121,1393,366,0.2627,1467,0.3313,0.4607,1253,0.7239,0.1555,0.463,0.4607,0.0,0.354,0.6347
2023,2675,1421,0.5312,1421,420,0.2956,1448,0.3529,0.4587,1227,0.7416,0.178,0.5049,0.4587,0.0,0.3882,0.6465
2024,2043,1098,0.5374,1098,287,0.2614,1052,0.3394,0.4851,991,0.7477,0.1417,0.5098,0.4851,0.0,0.39,0.6636
2025,2407,1238,0.5143,1238,307,0.248,1233,0.3106,0.4877,1174,0.7283,0.1392,0.4909,0.4877,0.0,0.3822,0.6334
2026,2276,1148,0.5044,1148,315,0.2744,1202,0.3428,0.4719,1070,0.6879,0.1508,0.4951,0.471,0.0018,0.3284,0.6153
