game_year,swings,tracked_swings,bat_speed_mu,bat_speed_p90,swing_length_mu,attack_angle_mu,fast_swings,tracking_coverage,fast_swing_rate
2015,68,0,,,,,0,0.0,
2016,584,0,,,,,0,0.0,
2017,747,0,,,,,0,0.0,
2018,1289,0,,,,,0,0.0,
2019,1047,0,,,,,0,0.0,
2020,484,0,,,,,0,0.0,
2021,1223,0,,,,,0,0.0,
2022,1393,0,,,,,0,0.0,
2023,1421,0,,,,,0,0.0,
2024,1098,1001,70.0277,76.1059,7.5182,,155,0.9117,0.1548
2025,1238,1177,69.4753,76.14,7.476,7.5557,193,0.9507,0.164
2026,1148,1103,70.0377,76.4,7.5232,8.229,200,0.9608,0.1813
