game_year,era,src,plate_apps,at_bats,hits,doubles,triples,hrs,xbh,walks,strikeouts,ba,obp,slg,ops,iso,woba,xwoba,babip,krate,bbrate,hr_600,below_floor
2015,WSN,opponents_parquet,44,40,9,1,0,1,2,4,12,0.225,0.2955,0.325,0.6205,0.1,0.2781,0.3431,0.2963,0.2727,0.0909,13.6364,True
2016,WSN,opponents_parquet,324,307,105,14,8,13,35,14,59,0.342,0.3704,0.5668,0.9371,0.2248,0.395,0.4134,0.3882,0.1821,0.0432,24.0741,False
2017,WSN,opponents_parquet,447,412,117,24,6,11,41,30,80,0.284,0.3378,0.4515,0.7893,0.1675,0.3378,0.3489,0.3292,0.179,0.0671,14.7651,False
2018,WSN,opponents_parquet,738,665,180,27,6,19,52,66,132,0.2707,0.341,0.415,0.7561,0.1444,0.3309,0.3517,0.3132,0.1789,0.0894,15.4472,False
2019,WSN,opponents_parquet,567,521,155,37,5,19,61,41,113,0.2975,0.351,0.4971,0.8481,0.1996,0.3558,0.3765,0.3478,0.1993,0.0723,20.1058,False
2020,WSN,opponents_parquet,259,233,78,15,4,12,31,22,36,0.3348,0.3938,0.588,0.9818,0.2532,0.4127,0.3942,0.3529,0.139,0.0849,27.7992,False
2021,WSN,opponents_parquet,644,595,195,34,3,28,65,39,110,0.3277,0.3727,0.5361,0.9088,0.2084,0.3862,0.3942,0.3623,0.1708,0.0606,26.087,False
2022,LAD,opponents_parquet,707,652,194,39,4,21,64,44,131,0.2975,0.3418,0.4663,0.8081,0.1687,0.3496,0.3737,0.3419,0.1853,0.0622,17.8218,False
2023,PHI,phillies_parquet,689,639,170,35,5,26,66,43,150,0.266,0.3179,0.4585,0.7764,0.1925,0.3332,0.3828,0.3103,0.2177,0.0624,22.6415,False
2024,PHI,phillies_parquet,541,507,149,25,0,21,46,27,98,0.2939,0.3364,0.4675,0.8039,0.1736,0.3478,0.3215,0.329,0.1811,0.0499,23.2902,False
2025,PHI,phillies_parquet,641,592,179,31,7,15,53,42,107,0.3024,0.3526,0.4544,0.807,0.152,0.3498,0.3253,0.3475,0.1669,0.0655,14.0406,False
2026,PHI,phillies_parquet,602,556,133,23,1,17,41,39,131,0.2392,0.2924,0.3759,0.6683,0.1367,0.2942,0.2922,0.2822,0.2176,0.0648,16.9435,False
