game_year,bips,fly_ball,ground_ball,line_drive,popup,gb_rate,fb_rate,ld_rate,pu_rate,tracked_bips,mean_la,median_la,mean_ev,hard_hits,hard_hit_rate,barrels,barrel_rate,xba_bip,xwobacon_bip,hard_tracked,tracked_bip,hard_hit_rate_tracked_only
2015,28,5,14,8,1,0.5,0.1786,0.2857,0.0357,28,,,,7,0.25,1,0.0357,,,7,28,0.25
2016,250,50,110,74,16,0.44,0.2,0.296,0.064,229,11.7817,11.0,89.8541,91,0.364,17,0.068,0.3615,0.4134,91,229,0.3974
2017,333,70,174,71,18,0.5225,0.2102,0.2132,0.0541,330,7.0485,6.5,89.0885,130,0.3904,18,0.0541,0.3132,0.3489,130,330,0.3939
2018,534,109,265,129,31,0.4963,0.2041,0.2416,0.0581,525,9.0914,8.0,88.6076,207,0.3876,31,0.0581,0.3217,0.3517,207,525,0.3943
2019,410,88,195,97,30,0.4756,0.2146,0.2366,0.0732,410,9.7024,8.5,90.3132,172,0.4195,28,0.0683,0.3383,0.3765,172,410,0.4195
2020,199,46,89,53,11,0.4472,0.2312,0.2663,0.0553,196,9.5357,11.0,90.5066,81,0.407,19,0.0955,0.3378,0.3942,81,196,0.4133
2021,489,115,223,120,31,0.456,0.2352,0.2454,0.0634,487,11.3717,11.0,89.5762,226,0.4622,36,0.0736,0.3537,0.3942,226,487,0.4641
2022,527,138,229,130,30,0.4345,0.2619,0.2467,0.0569,524,10.355,12.0,88.9218,219,0.4156,40,0.0759,0.3332,0.3737,219,524,0.4179
2023,490,150,197,116,27,0.402,0.3061,0.2367,0.0551,490,13.0184,14.0,89.8606,207,0.4224,41,0.0837,0.334,0.3828,207,490,0.4224
2024,408,108,192,87,21,0.4706,0.2647,0.2132,0.0515,407,11.5283,11.0,89.1383,166,0.4069,28,0.0686,0.3141,0.3687,166,407,0.4079
2025,484,112,234,117,21,0.4835,0.2314,0.2417,0.0434,484,9.1116,9.0,89.3461,204,0.4215,28,0.0579,0.3213,0.3613,204,484,0.4215
2026,428,112,199,87,30,0.465,0.2617,0.2033,0.0701,428,10.8364,13.0,88.1271,168,0.3925,27,0.0631,0.3167,0.3414,168,428,0.3925
