season,metric,parent_published,legacy_recomputed,current_definition,repro_delta,definition_delta,repro_pass
2015,plate_apps,44.0,44.0,44.0,0.0,0.0,True
2015,ba,0.225,0.225,0.225,0.0,0.0,True
2015,obp,0.295,0.29545,0.29545,0.0,0.0,True
2015,slg,0.325,0.325,0.325,0.0,0.0,True
2015,ops,0.62,0.62045,0.62045,0.0,0.0,True
2015,woba,0.278,0.27809,0.27809,0.0,0.0,True
2015,krate,0.273,0.27273,0.27273,0.0,0.0,True
2016,plate_apps,324.0,324.0,324.0,0.0,0.0,True
2016,ba,0.342,0.34202,0.34202,0.0,0.0,True
2016,obp,0.37,0.37037,0.37037,0.0,0.0,True
2016,slg,0.567,0.56678,0.56678,0.0,0.0,True
2016,ops,0.937,0.93715,0.93715,0.0,0.0,True
2016,woba,0.395,0.39503,0.39503,0.0,0.0,True
2016,krate,0.182,0.1821,0.1821,0.0,0.0,True
2017,plate_apps,448.0,448.0,447.0,0.0,-1.0,True
2017,ba,0.283,0.28329,0.28398,0.0,0.00069,True
2017,obp,0.337,0.33705,0.33781,0.0,0.00075,True
2017,slg,0.45,0.45036,0.45146,0.0,0.00109,True
2017,ops,0.787,0.78742,0.78926,0.0,0.00185,True
2017,woba,0.337,0.33704,0.33779,0.0,0.00075,True
2017,krate,0.179,0.17857,0.17897,0.0,0.0004,True
2018,plate_apps,738.0,738.0,738.0,0.0,0.0,True
2018,ba,0.271,0.27068,0.27068,0.0,0.0,True
2018,obp,0.34,0.34011,0.34103,0.0,0.00092,True
2018,slg,0.415,0.41504,0.41504,0.0,0.0,True
2018,ops,0.755,0.75515,0.75607,0.0,0.00092,True
2018,woba,0.33,0.32995,0.33085,0.0,0.0009,True
2018,krate,0.179,0.17886,0.17886,0.0,0.0,True
2019,plate_apps,568.0,568.0,567.0,0.0,-1.0,True
2019,ba,0.297,0.29693,0.2975,0.0,0.00057,True
2019,obp,0.35,0.35035,0.35097,0.0,0.00062,True
2019,slg,0.496,0.49617,0.49712,0.0,0.00095,True
2019,ops,0.847,0.84652,0.84809,0.0,0.00157,True
2019,woba,0.355,0.35521,0.35584,0.0,0.00063,True
2019,krate,0.199,0.19894,0.19929,0.0,0.00035,True
2020,plate_apps,259.0,259.0,259.0,0.0,0.0,True
2020,ba,0.335,0.33476,0.33476,0.0,0.0,True
2020,obp,0.394,0.39382,0.39382,0.0,0.0,True
2020,slg,0.588,0.58798,0.58798,0.0,0.0,True
2020,ops,0.982,0.98181,0.98181,0.0,0.0,True
2020,woba,0.413,0.41268,0.41268,0.0,0.0,True
2020,krate,0.139,0.139,0.139,0.0,0.0,True
2021,plate_apps,645.0,645.0,644.0,0.0,-1.0,True
2021,ba,0.327,0.32718,0.32773,0.0,0.00055,True
2021,obp,0.372,0.37209,0.37267,0.0,0.00058,True
2021,slg,0.535,0.53523,0.53613,0.0,0.0009,True
2021,ops,0.907,0.90733,0.90881,0.0,0.00148,True
2021,woba,0.386,0.38561,0.38621,0.0,0.0006,True
2021,krate,0.171,0.17054,0.17081,0.0,0.00026,True
2022,plate_apps,707.0,707.0,707.0,0.0,0.0,True
2022,ba,0.297,0.29664,0.29755,0.0,0.00091,True
2022,obp,0.341,0.34088,0.34184,0.0,0.00097,True
2022,slg,0.465,0.46483,0.46626,0.0,0.00143,True
2022,ops,0.806,0.80571,0.8081,0.0,0.00239,True
2022,woba,0.349,0.34864,0.34963,0.0,0.00099,True
2022,krate,0.185,0.18529,0.18529,0.0,0.0,True
2023,plate_apps,692.0,692.0,689.0,0.0,-3.0,True
2023,ba,0.265,0.2648,0.26604,0.0,0.00124,True
2023,obp,0.316,0.31647,0.31785,0.0,0.00138,True
2023,slg,0.456,0.45639,0.45853,0.0,0.00214,True
2023,ops,0.773,0.77286,0.77638,0.0,0.00352,True
2023,woba,0.332,0.3318,0.33324,0.0,0.00144,True
2023,krate,0.217,0.21676,0.21771,0.0,0.00094,True
2024,plate_apps,541.0,541.0,541.0,0.0,0.0,True
2024,ba,0.294,0.29389,0.29389,0.0,0.0,True
2024,obp,0.336,0.33641,0.33641,0.0,0.0,True
2024,slg,0.467,0.46746,0.46746,0.0,0.0,True
2024,ops,0.804,0.80387,0.80387,0.0,0.0,True
2024,woba,0.348,0.34782,0.34782,0.0,0.0,True
2024,krate,0.181,0.18115,0.18115,0.0,0.0,True
2025,plate_apps,641.0,641.0,641.0,0.0,0.0,True
2025,ba,0.302,0.30236,0.30236,0.0,0.0,True
2025,obp,0.353,0.35257,0.35257,0.0,0.0,True
2025,slg,0.454,0.45439,0.45439,0.0,0.0,True
2025,ops,0.807,0.80697,0.80697,0.0,0.0,True
2025,woba,0.35,0.3498,0.3498,0.0,0.0,True
2025,krate,0.167,0.16693,0.16693,0.0,0.0,True
2026,plate_apps,433.0,433.0,433.0,0.0,0.0,True
2026,ba,0.246,0.24627,0.24627,0.0,0.0,True
2026,obp,0.296,0.29561,0.29561,0.0,0.0,True
2026,slg,0.396,0.39552,0.39552,0.0,0.0,True
2026,ops,0.691,0.69113,0.69113,0.0,0.0,True
2026,woba,0.303,0.30341,0.30341,0.0,0.0,True
2026,krate,0.224,0.22402,0.22402,0.0,0.0,True
