game_year,pitch_group,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,bips,fly_ball,ground_ball,line_drive,popup,gb_rate,fb_rate,ld_rate,pu_rate,tracked_bips,mean_la,median_la,mean_ev,hard_hits,hard_hit_rate,barrels,barrel_rate,xba_bip,xwobacon_bip,swings,swing_rate,whiffs,whiff_rate,ooz,chase_rate,in_zone_rate,z_pitches,swing_rate_in_zone,whiff_rate_in_zone,ooz_whiff_rate,in_zone_rate_fix,zone_null_rate,srfp,fpsr,total_pulls,pull_airs,pull_air_rate,pull_rate,tracked_swings,bat_speed_mu,swing_length_mu,attack_angle_mu,fast_swing_rate,below_floor,usage
2023,breaking,242,925,223,59,15,15,3,73,1,38,8,4,9,151,0.2646,0.3182,0.4574,0.7756,0.1928,0.3017,0.062,0.3521,0.3324,151.0,43.0,61.0,41.0,6.0,0.404,0.2848,0.2715,0.0397,151.0,10.9139,14.0,86.245,51.0,0.3377,9.0,0.0596,0.3251,0.357,455,0.4919,193.0,0.4242,574.0,0.3624,0.3795,351.0,0.7037,0.2186,0.6683,0.3795,0.0,0.3522,0.6478,79.0,36.0,0.2384,0.5232,0.0,,,,,False,0.3458
2023,fastball,355,1412,332,91,22,22,1,56,0,53,23,1,14,276,0.2741,0.3211,0.4759,0.797,0.2018,0.1577,0.062,0.2939,0.3411,276.0,91.0,101.0,66.0,18.0,0.3659,0.3297,0.2391,0.0652,276.0,15.0471,15.5,92.5667,132.0,0.4783,27.0,0.0978,0.3463,0.4066,775,0.5489,150.0,0.1935,651.0,0.3318,0.539,761.0,0.7346,0.1449,0.3194,0.539,0.0,0.396,0.6485,105.0,43.0,0.1558,0.3804,0.0,,,,,False,0.5279
2023,offspeed,92,338,84,20,6,6,2,21,0,13,4,0,3,63,0.2381,0.3043,0.3929,0.6972,0.1548,0.2283,0.0652,0.2833,0.3054,63.0,16.0,35.0,9.0,3.0,0.5556,0.254,0.1429,0.0476,63.0,9.1746,4.0,86.6714,24.0,0.381,5.0,0.0794,0.3012,0.3406,191,0.5651,77.0,0.4031,223.0,0.3901,0.3402,115.0,0.9043,0.2596,0.5747,0.3402,0.0,0.4746,0.6271,42.0,15.0,0.2381,0.6667,0.0,,,,,False,0.1264
2024,breaking,180,746,171,46,6,6,3,46,0,33,9,0,4,125,0.269,0.3056,0.3918,0.6974,0.1228,0.2556,0.0333,0.3471,0.3049,125.0,25.0,61.0,30.0,9.0,0.488,0.2,0.24,0.072,124.0,9.3548,9.0,85.9629,40.0,0.32,3.0,0.024,0.2892,0.3206,375,0.5027,135.0,0.36,430.0,0.3605,0.4236,316.0,0.6962,0.15,0.6581,0.4236,0.0,0.3857,0.6667,80.0,32.0,0.256,0.64,342.0,68.7532,7.8781,,0.1199,False,0.3651
2024,fastball,303,1029,280,88,19,19,3,38,1,58,14,0,16,242,0.3143,0.363,0.5357,0.8988,0.2214,0.1254,0.0627,0.3172,0.3854,242.0,78.0,103.0,51.0,10.0,0.4256,0.3223,0.2107,0.0413,242.0,14.4091,14.5,90.9314,109.0,0.4504,24.0,0.0992,0.332,0.4037,574,0.5578,94.0,0.1638,452.0,0.2965,0.5607,577.0,0.7626,0.1136,0.3284,0.5607,0.0,0.3958,0.6714,99.0,44.0,0.1818,0.4091,519.0,70.6882,7.1833,,0.1599,False,0.5037
2024,offspeed,56,264,54,15,2,2,0,14,0,12,2,0,1,39,0.2778,0.3036,0.3704,0.6739,0.0926,0.25,0.0357,0.359,0.295,39.0,5.0,26.0,6.0,2.0,0.6667,0.1282,0.1538,0.0513,39.0,1.1282,-1.0,87.8077,16.0,0.4103,1.0,0.0256,0.2773,0.2991,147,0.5568,58.0,0.3946,169.0,0.4024,0.3598,95.0,0.8316,0.2785,0.5294,0.3598,0.0,0.3696,0.6087,26.0,5.0,0.1282,0.6667,139.0,70.6703,7.88,,0.223,False,0.1292
2024,other,2,4,2,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,,,1.0,0.5,0.0,0.0,,,2,0.5,0.0,0.0,1.0,0.0,0.75,3.0,0.6667,0.0,,0.75,0.0,0.5,0.5,1.0,0.0,0.0,0.5,1.0,,,,,True,0.002
2025,breaking,219,850,205,51,12,12,1,50,1,33,9,1,8,155,0.2488,0.2922,0.4195,0.7117,0.1707,0.2283,0.0548,0.2905,0.3072,155.0,37.0,77.0,35.0,6.0,0.4968,0.2387,0.2258,0.0387,155.0,8.0065,9.0,86.5561,54.0,0.3484,10.0,0.0645,0.3082,0.3588,427,0.5024,148.0,0.3466,502.0,0.3446,0.4094,348.0,0.7299,0.1654,0.6127,0.4094,0.0,0.3819,0.5829,90.0,37.0,0.2387,0.5806,410.0,68.5144,7.8361,10.6856,0.1415,False,0.3531
2025,fastball,333,1239,302,105,27,27,3,45,1,74,21,6,4,257,0.3477,0.4054,0.4967,0.9021,0.149,0.1351,0.0811,0.3976,0.3905,257.0,60.0,116.0,69.0,12.0,0.4514,0.2335,0.2685,0.0467,257.0,11.4591,12.0,91.5346,123.0,0.4786,15.0,0.0584,0.3364,0.3747,647,0.5222,115.0,0.1777,538.0,0.2714,0.5658,701.0,0.7147,0.1257,0.3562,0.5658,0.0,0.389,0.671,81.0,32.0,0.1245,0.3152,612.0,69.8008,7.1158,4.5279,0.1634,False,0.5147
2025,offspeed,88,315,84,22,3,3,1,12,0,19,1,0,2,71,0.2619,0.2955,0.3452,0.6407,0.0833,0.1364,0.0341,0.2857,0.2827,71.0,14.0,41.0,13.0,3.0,0.5775,0.1972,0.1831,0.0423,71.0,2.7042,3.0,87.4239,26.0,0.3662,3.0,0.0423,0.2971,0.3186,162,0.5143,44.0,0.2716,192.0,0.3281,0.3905,123.0,0.8049,0.1414,0.4762,0.3905,0.0,0.3448,0.5517,43.0,13.0,0.1831,0.6056,153.0,70.7229,7.9634,11.2821,0.2288,False,0.1309
2025,other,1,3,1,1,0,0,0,0,0,0,0,0,1,1,1.0,1.0,4.0,5.0,3.0,0.0,0.0,,2.037,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,1.0,1.0,0.0,0.0,,,2,0.6667,0.0,0.0,1.0,1.0,0.6667,2.0,0.5,0.0,0.0,0.6667,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,True,0.0012
