window,pitch_group,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,bips,fly_ball,ground_ball,line_drive,popup,gb_rate,fb_rate,ld_rate,pu_rate,tracked_bips,mean_la,median_la,mean_ev,hard_hits,hard_hit_rate,barrels,barrel_rate,xba_bip,xwobacon_bip,swings,swing_rate,whiffs,whiff_rate,ooz,chase_rate,in_zone_rate,z_pitches,swing_rate_in_zone,whiff_rate_in_zone,ooz_whiff_rate,in_zone_rate_fix,zone_null_rate,srfp,fpsr,total_pulls,pull_airs,pull_air_rate,pull_rate,tracked_swings,bat_speed_mu,swing_length_mu,attack_angle_mu,fast_swing_rate,below_floor,usage
W1_early (Mar 26-Jun 30),breaking,124,486,119,22,4,4,1,36,0,14,6,0,2,83,0.1849,0.2177,0.2857,0.5035,0.1008,0.2903,0.0323,0.2469,0.223,83.0,22.0,44.0,10.0,7.0,0.5301,0.2651,0.1205,0.0843,83.0,11.3373,10.0,85.3554,22.0,0.2651,3.0,0.0361,0.2899,0.3024,245,0.5041,91.0,0.3714,280.0,0.3393,0.4239,206.0,0.7282,0.16,0.7053,0.4239,0.0,0.3623,0.6087,46.0,15.0,0.1807,0.5542,237.0,69.1198,7.916,11.4623,0.1139,False,0.3457
W1_early (Mar 26-Jun 30),fastball,210,746,190,53,18,18,1,34,1,37,9,0,7,157,0.2789,0.3429,0.4368,0.7797,0.1579,0.1619,0.0857,0.3067,0.3426,157.0,48.0,67.0,37.0,5.0,0.4268,0.3057,0.2357,0.0318,157.0,11.7389,15.0,91.279,78.0,0.4968,12.0,0.0764,0.3296,0.3654,400,0.5362,75.0,0.1875,341.0,0.3666,0.5429,405.0,0.679,0.1345,0.304,0.5429,0.0,0.3413,0.6683,45.0,22.0,0.1401,0.2866,380.0,70.3584,7.2329,6.0835,0.1921,False,0.5306
W1_early (Mar 26-Jun 30),offspeed,37,174,37,7,0,0,0,14,0,7,0,0,0,23,0.1892,0.1892,0.1892,0.3784,0.0,0.3784,0.0,0.3043,0.1684,23.0,3.0,13.0,6.0,1.0,0.5652,0.1304,0.2609,0.0435,23.0,,,,5.0,0.2174,0.0,0.0,,,82,0.4713,32.0,0.3902,124.0,0.379,0.2874,50.0,0.7,0.2286,0.5106,0.2874,0.0,0.24,0.4,11.0,2.0,0.087,0.4783,82.0,71.4024,8.0537,12.2898,0.2805,True,0.1238
W2_july (Jul 1-31),breaking,34,152,32,9,2,2,0,10,0,5,2,0,2,22,0.2812,0.3235,0.5312,0.8548,0.25,0.2941,0.0588,0.35,0.3669,22.0,7.0,12.0,2.0,1.0,0.5455,0.3182,0.0909,0.0455,22.0,,,,6.0,0.2727,2.0,0.0909,,,67,0.4408,23.0,0.3433,83.0,0.2892,0.4539,69.0,0.6232,0.2093,0.5833,0.4539,0.0,0.2368,0.6579,10.0,4.0,0.1818,0.4545,65.0,70.5092,7.8092,9.9004,0.2462,True,0.3868
W2_july (Jul 1-31),fastball,50,194,44,13,4,4,1,8,1,8,1,1,3,37,0.2955,0.36,0.5682,0.9282,0.2727,0.16,0.08,0.2941,0.3931,37.0,8.0,16.0,12.0,1.0,0.4324,0.2162,0.3243,0.027,37.0,6.3243,15.0,92.9189,22.0,0.5946,5.0,0.1351,0.3706,0.4374,101,0.5206,21.0,0.2079,85.0,0.2471,0.5619,109.0,0.7339,0.175,0.3333,0.5619,0.0,0.25,0.5192,14.0,5.0,0.1351,0.3784,101.0,71.0059,7.1564,4.0749,0.2277,False,0.4936
W2_july (Jul 1-31),offspeed,18,47,18,5,0,0,0,4,0,3,0,0,2,14,0.2778,0.2778,0.6111,0.8889,0.3333,0.2222,0.0,0.25,0.3763,14.0,2.0,6.0,5.0,1.0,0.4286,0.1429,0.3571,0.0714,14.0,,,,6.0,0.4286,1.0,0.0714,,,29,0.617,10.0,0.3448,28.0,0.5714,0.4043,19.0,0.6842,0.0769,0.5625,0.4043,0.0,0.5,0.8333,8.0,7.0,0.5,0.5714,28.0,71.0571,7.7786,9.2583,0.2143,True,0.1196
W3_recent (Aug 1-Sep 2),breaking,59,192,55,11,4,4,0,11,0,9,1,0,1,44,0.2,0.2542,0.2727,0.527,0.0727,0.1864,0.0678,0.2326,0.2393,44.0,13.0,14.0,7.0,10.0,0.3182,0.2955,0.1591,0.2273,44.0,23.0682,25.5,82.2977,11.0,0.25,2.0,0.0455,0.2798,0.2838,99,0.5156,35.0,0.3535,114.0,0.3596,0.4062,78.0,0.7436,0.1552,0.6341,0.4062,0.0,0.34,0.54,19.0,10.0,0.2273,0.4318,91.0,68.8791,7.844,11.1365,0.1209,False,0.4025
W3_recent (Aug 1-Sep 2),fastball,59,248,52,9,6,6,0,11,1,6,3,0,0,42,0.1731,0.2542,0.2308,0.485,0.0577,0.1864,0.1017,0.2143,0.2257,42.0,8.0,22.0,8.0,4.0,0.5238,0.1905,0.1905,0.0952,42.0,8.3333,8.5,88.4857,17.0,0.4048,2.0,0.0476,0.2996,0.3114,108,0.4355,23.0,0.213,127.0,0.2913,0.4879,121.0,0.5868,0.0845,0.4595,0.4879,0.0,0.3333,0.6267,16.0,3.0,0.0714,0.381,102.0,69.1657,7.0324,5.0411,0.1667,False,0.5199
W3_recent (Aug 1-Sep 2),offspeed,10,33,9,4,0,0,1,3,0,3,1,0,0,6,0.4444,0.5,0.5556,1.0556,0.1111,0.3,0.0,0.6667,0.4661,6.0,1.0,5.0,0.0,0.0,0.8333,0.1667,0.0,0.0,6.0,,,,1.0,0.1667,0.0,0.0,,,17,0.5152,5.0,0.2941,20.0,0.3,0.3939,13.0,0.8462,0.2727,0.3333,0.3939,0.0,0.25,0.5,3.0,0.0,0.0,0.5,17.0,,,,,True,0.0692
W3_recent (Aug 1-Sep 2),other,1,4,0,0,1,0,0,0,0,0,0,0,0,0,,1.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,True,0.0084
