game_year,p_throws,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,bips,fly_ball,ground_ball,line_drive,popup,gb_rate,fb_rate,ld_rate,pu_rate,tracked_bips,mean_la,median_la,mean_ev,hard_hits,hard_hit_rate,barrels,barrel_rate,xba_bip,xwobacon_bip,swings,swing_rate,whiffs,whiff_rate,ooz,chase_rate,in_zone_rate,z_pitches,swing_rate_in_zone,whiff_rate_in_zone,ooz_whiff_rate,in_zone_rate_fix,zone_null_rate,srfp,fpsr,total_pulls,pull_airs,pull_air_rate,pull_rate,tracked_swings,bat_speed_mu,swing_length_mu,attack_angle_mu,fast_swing_rate,below_floor
2015,L,9,35,8,3,1,1,0,1,0,3,0,0,0,7,0.375,0.4444,0.375,0.8194,0.0,0.1111,0.1111,0.4286,0.37,7,1,1,5,0,0.1429,0.1429,0.7143,0.0,7,,,,0,0.0,0,0.0,,,16,0.4571,2,0.125,17,0.2353,0.5143,18,0.6667,0.0833,0.25,0.5143,0.0,0.2222,0.5556,1,1,0.1429,0.1429,0,,,,,True
2015,R,35,136,32,6,3,3,0,11,0,4,1,0,1,21,0.1875,0.2571,0.3125,0.5696,0.125,0.3143,0.0857,0.25,0.2545,21,4,13,3,1,0.619,0.1905,0.1429,0.0476,21,,,,7,0.3333,1,0.0476,,,52,0.3824,12,0.2308,55,0.1818,0.5956,81,0.5185,0.1905,0.4,0.5956,0.0,0.2,0.8,12,4,0.1905,0.5714,0,,,,,True
2016,L,65,254,63,20,2,2,0,13,0,17,1,1,1,50,0.3175,0.3385,0.4127,0.7512,0.0952,0.2,0.0308,0.3878,0.3251,50,11,21,15,3,0.42,0.22,0.3,0.06,47,13.2128,10.0,93.2787,20,0.4,2,0.04,0.3738,0.3966,121,0.4764,27,0.2231,132,0.3106,0.4803,122,0.6557,0.1375,0.3902,0.4803,0.0,0.1692,0.5077,20,6,0.12,0.4,0,,,,,False
2016,R,259,978,244,85,12,12,1,46,2,53,13,7,12,200,0.3484,0.3784,0.6066,0.9849,0.2582,0.1776,0.0463,0.3883,0.4126,200,39,89,59,13,0.445,0.195,0.295,0.065,182,11.4121,11.5,88.9698,71,0.355,15,0.075,0.3583,0.4178,463,0.4734,111,0.2397,494,0.3198,0.4949,484,0.6302,0.1377,0.4367,0.4949,0.0,0.2394,0.6486,85,37,0.185,0.425,0,,,,,False
2017,L,103,395,94,23,8,8,1,17,0,16,7,0,0,77,0.2447,0.3107,0.3191,0.6298,0.0745,0.165,0.0777,0.2987,0.2808,77,15,40,15,7,0.5195,0.1948,0.1948,0.0909,76,6.8947,5.0,85.7395,25,0.3247,2,0.026,0.2683,0.2826,168,0.4253,45,0.2679,203,0.2266,0.4861,192,0.6354,0.1885,0.4783,0.4861,0.0,0.2212,0.5673,23,9,0.1169,0.2987,0,,,,,False
2017,R,344,1299,318,94,22,22,3,63,1,60,17,6,11,256,0.2956,0.3459,0.4906,0.8365,0.195,0.1831,0.064,0.3388,0.3549,256,55,134,56,11,0.5234,0.2148,0.2188,0.043,254,7.0945,7.0,90.0906,105,0.4102,16,0.0625,0.3266,0.3687,579,0.4457,123,0.2124,624,0.2163,0.5196,673,0.6568,0.1538,0.4074,0.5189,0.0015,0.2703,0.6221,123,42,0.1641,0.4805,0,,,,,False
2018,L,187,719,167,48,20,20,0,21,0,34,8,3,3,146,0.2874,0.3636,0.4251,0.7888,0.1377,0.1123,0.107,0.3147,0.345,146,30,62,42,12,0.4247,0.2055,0.2877,0.0822,144,12.2153,12.5,88.7882,52,0.3562,9,0.0616,0.3244,0.36,307,0.427,47,0.1531,381,0.2152,0.4701,338,0.6657,0.1067,0.2805,0.4701,0.0,0.2781,0.6364,62,26,0.1781,0.4247,0,,,,,False
2018,R,551,2208,498,132,46,46,5,111,0,94,19,3,16,388,0.2651,0.3333,0.4116,0.745,0.1466,0.2015,0.0835,0.3127,0.326,388,79,203,87,19,0.5232,0.2036,0.2242,0.049,381,7.9108,7.0,88.5394,155,0.3995,22,0.0567,0.3207,0.3485,982,0.4447,214,0.2179,1077,0.2377,0.5122,1128,0.6427,0.149,0.4141,0.5116,0.0014,0.2595,0.6225,169,64,0.1649,0.4356,0,,,,,False
2019,L,126,512,117,37,8,8,0,23,1,26,9,0,2,95,0.3162,0.3571,0.4444,0.8016,0.1282,0.1825,0.0635,0.3763,0.3411,95,21,48,19,7,0.5053,0.2211,0.2,0.0737,95,9.3895,8.0,90.1937,40,0.4211,6,0.0632,0.3228,0.346,244,0.4766,55,0.2254,279,0.2975,0.4551,233,0.691,0.1242,0.4217,0.4551,0.0,0.2143,0.5952,41,11,0.1158,0.4316,0,,,,,False
2019,R,441,1722,404,118,33,33,3,90,1,68,28,5,17,315,0.2921,0.3492,0.5124,0.8616,0.2203,0.2041,0.0748,0.3389,0.3601,315,67,147,78,23,0.4667,0.2127,0.2476,0.073,315,9.7968,9.0,90.3492,132,0.419,22,0.0698,0.343,0.3857,803,0.4663,190,0.2366,921,0.2899,0.4652,801,0.6692,0.125,0.4607,0.4652,0.0,0.2851,0.6335,151,58,0.1841,0.4794,0,,,,,False
