game_year,batter,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,whiff_rate,chase_rate,swing_rate,swing_rate_in_zone,whiff_rate_in_zone,hard_hit_rate,barrel_rate,pull_air_rate,mean_ev,mean_la,pu_rate,gb_rate
2015,400284,282,1060,249,54,22,18,4,35,7,36,12,1,5,221,0.2169,0.2837,0.3333,0.617,0.1165,0.1241,0.078,0.2269,0.266,0.1297,0.2393,0.4,0.587,0.0655,0.2986,0.0226,0.19,87.5866,14.0139,0.095,0.4344
2015,421685,58,188,48,8,1,1,0,18,0,7,1,0,0,39,0.1667,0.1837,0.1875,0.3712,0.0208,0.3103,0.0172,0.2667,0.1655,0.287,0.3372,0.5745,0.7745,0.1772,0.1282,0.0,0.0,77.71,-17.4333,0.0,0.8462
2015,425796,343,1183,326,84,13,13,1,77,3,54,16,1,13,252,0.2577,0.2857,0.4325,0.7182,0.1748,0.2245,0.0379,0.2971,0.3083,0.2523,0.4363,0.563,0.7143,0.1818,0.3333,0.0476,0.2103,87.9884,14.184,0.0873,0.4127
2015,429667,502,1897,467,107,27,25,5,138,3,54,29,1,23,332,0.2291,0.2769,0.4433,0.7201,0.2141,0.2749,0.0538,0.2718,0.3077,0.3185,0.372,0.5461,0.7624,0.2016,0.4518,0.1175,0.244,91.2662,14.9169,0.0181,0.3795
2015,429713,104,352,98,24,6,6,0,23,0,19,5,0,0,75,0.2449,0.2885,0.2959,0.5844,0.051,0.2212,0.0577,0.32,0.261,0.227,0.3195,0.5256,0.7158,0.145,0.44,0.0267,0.1333,91.0014,9.9595,0.0267,0.5067
2015,433217,261,1008,233,68,21,21,4,44,0,36,22,3,7,192,0.2918,0.3605,0.5021,0.8626,0.2103,0.1686,0.0805,0.3352,0.3716,0.2197,0.3028,0.4831,0.6886,0.1723,0.2656,0.0521,0.151,86.813,10.2324,0.0833,0.4688
2015,434563,320,1236,284,60,28,26,4,43,1,44,13,1,2,245,0.2113,0.2902,0.2852,0.5754,0.0739,0.1344,0.0875,0.2417,0.2589,0.1257,0.2116,0.4118,0.5815,0.0694,0.1796,0.0163,0.1061,84.877,9.7908,0.0571,0.4571
2015,460131,61,246,58,15,3,3,0,21,0,10,3,0,2,37,0.2586,0.2951,0.4138,0.7089,0.1552,0.3443,0.0492,0.3714,0.3077,0.325,0.3286,0.4878,0.6981,0.2162,0.3243,0.027,0.0811,89.4568,2.5135,0.0541,0.5405
2015,502126,204,773,189,43,14,14,1,36,0,31,6,1,5,153,0.2275,0.2843,0.3492,0.6335,0.1217,0.1765,0.0686,0.2568,0.2799,0.2159,0.3277,0.5032,0.7036,0.1299,0.281,0.0458,0.1634,87.0227,12.4133,0.098,0.4575
2015,514917,452,1628,405,110,40,39,2,86,1,85,20,4,1,324,0.2716,0.3393,0.3481,0.6874,0.0765,0.1903,0.0885,0.3417,0.3058,0.217,0.2689,0.4699,0.6805,0.1146,0.2685,0.0123,0.0988,85.1606,5.0397,0.0247,0.5895
2015,519184,388,1411,366,109,19,19,1,36,0,89,13,6,1,332,0.2978,0.3342,0.3743,0.7085,0.0765,0.0928,0.049,0.3283,0.3112,0.0967,0.2986,0.4323,0.5797,0.0334,0.1235,0.0,0.1235,82.5,3.0915,0.012,0.5964
2015,519237,299,1138,270,63,24,19,3,71,2,44,9,1,9,201,0.2333,0.301,0.3741,0.6751,0.1407,0.2375,0.0803,0.2812,0.2907,0.2627,0.2734,0.4851,0.7061,0.1929,0.3532,0.0746,0.1194,88.7827,14.1633,0.0945,0.4478
2015,520471,603,2288,559,147,30,29,3,103,4,121,14,5,7,467,0.263,0.302,0.3435,0.6455,0.0805,0.1708,0.0498,0.3091,0.2835,0.1921,0.3955,0.5118,0.6409,0.1164,0.2206,0.0214,0.1756,85.4018,12.8147,0.0792,0.4433
2015,546318,537,2155,495,147,28,28,8,129,1,106,30,3,8,372,0.297,0.344,0.4182,0.7622,0.1212,0.2402,0.0521,0.3872,0.3334,0.2544,0.3523,0.4998,0.672,0.1512,0.3387,0.0323,0.1586,88.3475,7.1292,0.0484,0.4946
2015,571437,161,638,137,33,16,16,5,41,2,13,11,4,5,99,0.2409,0.3375,0.4891,0.8266,0.2482,0.2547,0.0994,0.3011,0.3534,0.2548,0.2145,0.4122,0.6254,0.151,0.4343,0.0303,0.1717,90.9072,11.5876,0.0808,0.4242
2015,572182,98,383,85,15,13,13,0,27,0,7,4,1,3,58,0.1765,0.2857,0.3529,0.6387,0.1765,0.2755,0.1327,0.2182,0.2848,0.2934,0.2764,0.436,0.6087,0.2143,0.3448,0.069,0.1724,89.3707,12.1724,0.0517,0.431
2015,573131,297,1143,268,63,21,21,5,69,3,39,12,0,12,202,0.2351,0.2997,0.4142,0.7138,0.1791,0.2323,0.0707,0.2684,0.3105,0.265,0.2895,0.4821,0.6748,0.1762,0.4257,0.0792,0.2277,90.0149,12.6468,0.0545,0.4653
2015,596748,335,1198,304,85,26,24,4,52,1,48,22,1,14,253,0.2796,0.3433,0.4967,0.84,0.2171,0.1552,0.0776,0.2971,0.3597,0.2395,0.2961,0.4775,0.6884,0.1474,0.3715,0.0593,0.1897,88.8347,9.7742,0.087,0.4783
