metric,turner_2026_season,pctile_season,turner_2026_W3_recent,pctile_W3_as_a_season,pool_median
ops,0.6683,35.4545,0.5549,11.8182,0.7112
woba,0.2942,38.1818,0.2507,12.7273,0.3086
slg,0.3759,39.0909,0.2759,10.4545,0.4016
obp,0.2924,35.0,0.2791,25.0,0.307
ba,0.2392,43.1818,0.2069,20.4545,0.2458
iso,0.1367,42.7273,0.069,10.4545,0.1499
krate,0.2176,39.0909,0.1938,25.9091,0.2353
bbrate,0.0648,45.0,0.0853,65.9091,0.0682
whiff_rate,0.2744,60.4545,0.2812,64.0909,0.2579
chase_rate,0.3428,73.6364,0.3218,62.2727,0.3015
swing_rate_in_zone,0.6879,54.5455,0.6604,38.6364,0.6798
hard_hit_rate,0.3925,60.4545,0.3152,34.0909,0.3639
barrel_rate,0.0631,53.1818,0.0435,35.0,0.0607
mean_ev,88.1271,49.0741,85.6565,24.537,88.141
pu_rate,0.0701,52.2727,0.1522,97.7273,0.067
pull_air_rate,0.1589,37.2727,0.1413,27.2727,0.1816
