pa_idx,game_date,roll_woba,roll_ba,roll_obp,roll_slg,roll_ops,window_pa
100,2026-04-21,0.2898,0.2391,0.3,0.3478,0.6478,100
101,2026-04-21,0.2809,0.2283,0.29,0.337,0.627,100
102,2026-04-21,0.2809,0.2283,0.29,0.337,0.627,100
103,2026-04-22,0.272,0.2174,0.28,0.3261,0.6061,100
104,2026-04-22,0.272,0.2174,0.28,0.3261,0.6061,100
105,2026-04-22,0.2846,0.2283,0.29,0.3478,0.6378,100
106,2026-04-22,0.2846,0.2283,0.29,0.3478,0.6378,100
107,2026-04-23,0.2846,0.2283,0.29,0.3478,0.6378,100
108,2026-04-23,0.2846,0.2283,0.29,0.3478,0.6378,100
109,2026-04-23,0.2846,0.2283,0.29,0.3478,0.6378,100
110,2026-04-23,0.2846,0.2283,0.29,0.3478,0.6378,100
111,2026-04-23,0.2916,0.2308,0.3,0.3516,0.6516,100
112,2026-04-24,0.2846,0.2283,0.29,0.3478,0.6378,100
113,2026-04-24,0.3051,0.2391,0.3,0.3913,0.6913,100
114,2026-04-24,0.3121,0.2418,0.31,0.3956,0.7056,100
115,2026-04-24,0.3121,0.2418,0.31,0.3956,0.7056,100
116,2026-04-24,0.3191,0.2444,0.32,0.4,0.72,100
117,2026-04-25,0.3064,0.2333,0.31,0.3778,0.6878,100
118,2026-04-25,0.3064,0.2333,0.31,0.3778,0.6878,100
119,2026-04-25,0.3153,0.2444,0.32,0.3889,0.7089,100
120,2026-04-25,0.3153,0.2444,0.32,0.3889,0.7089,100
121,2026-04-25,0.3223,0.2472,0.33,0.3933,0.7233,100
122,2026-04-26,0.3134,0.236,0.32,0.382,0.702,100
123,2026-04-26,0.3223,0.2472,0.33,0.3933,0.7233,100
124,2026-04-26,0.3153,0.2444,0.32,0.3889,0.7089,100
125,2026-04-26,0.3153,0.2444,0.32,0.3889,0.7089,100
126,2026-04-28,0.3242,0.2556,0.33,0.4,0.73,100
127,2026-04-28,0.3331,0.2667,0.34,0.4111,0.7511,100
128,2026-04-28,0.3331,0.2667,0.34,0.4111,0.7511,100
129,2026-04-28,0.3205,0.2556,0.33,0.3889,0.7189,100
130,2026-04-28,0.3205,0.2556,0.33,0.3889,0.7189,100
131,2026-04-30,0.3321,0.2556,0.33,0.4222,0.7522,100
132,2026-04-30,0.3321,0.2556,0.33,0.4222,0.7522,100
133,2026-04-30,0.3341,0.2637,0.33,0.4286,0.7586,100
134,2026-04-30,0.3341,0.2637,0.33,0.4286,0.7586,100
135,2026-04-30,0.3214,0.2527,0.32,0.4066,0.7266,100
136,2026-04-30,0.3214,0.2527,0.32,0.4066,0.7266,100
137,2026-04-30,0.3125,0.2418,0.31,0.3956,0.7056,100
138,2026-04-30,0.3125,0.2418,0.31,0.3956,0.7056,100
139,2026-04-30,0.3125,0.2418,0.31,0.3956,0.7056,100
140,2026-05-02,0.2999,0.2308,0.3,0.3736,0.6736,100
141,2026-05-02,0.2999,0.2308,0.3,0.3736,0.6736,100
142,2026-05-02,0.2999,0.2308,0.3,0.3736,0.6736,100
143,2026-05-02,0.2999,0.2308,0.3,0.3736,0.6736,100
144,2026-05-03,0.3125,0.2418,0.31,0.3956,0.7056,100
145,2026-05-03,0.3036,0.2308,0.3,0.3846,0.6846,100
146,2026-05-03,0.3036,0.2308,0.3,0.3846,0.6846,100
147,2026-05-03,0.3036,0.2308,0.3,0.3846,0.6846,100
148,2026-05-03,0.3036,0.2308,0.3,0.3846,0.6846,100
149,2026-05-04,0.3036,0.2308,0.3,0.3846,0.6846,100
150,2026-05-04,0.2947,0.2198,0.29,0.3736,0.6636,100
151,2026-05-04,0.2947,0.2198,0.29,0.3736,0.6636,100
152,2026-05-04,0.2947,0.2198,0.29,0.3736,0.6636,100
153,2026-05-05,0.2947,0.2198,0.29,0.3736,0.6636,100
154,2026-05-05,0.2878,0.2174,0.28,0.3696,0.6496,100
155,2026-05-05,0.2789,0.2065,0.27,0.3587,0.6287,100
156,2026-05-05,0.2915,0.2174,0.28,0.3804,0.6604,100
157,2026-05-05,0.3004,0.2283,0.29,0.3913,0.6813,100
158,2026-05-06,0.3004,0.2283,0.29,0.3913,0.6813,100
159,2026-05-06,0.3004,0.2283,0.29,0.3913,0.6813,100
160,2026-05-06,0.3093,0.2391,0.3,0.4022,0.7022,100
161,2026-05-06,0.3093,0.2391,0.3,0.4022,0.7022,100
162,2026-05-06,0.3093,0.2391,0.3,0.4022,0.7022,100
163,2026-05-07,0.3093,0.2391,0.3,0.4022,0.7022,100
164,2026-05-07,0.3093,0.2391,0.3,0.4022,0.7022,100
165,2026-05-07,0.3093,0.2391,0.3,0.4022,0.7022,100
166,2026-05-08,0.2888,0.2283,0.29,0.3587,0.6487,100
167,2026-05-08,0.2799,0.2174,0.28,0.3478,0.6278,100
168,2026-05-08,0.2799,0.2174,0.28,0.3478,0.6278,100
169,2026-05-08,0.271,0.2065,0.27,0.337,0.607,100
170,2026-05-08,0.271,0.2065,0.27,0.337,0.607,100
171,2026-05-08,0.271,0.2065,0.27,0.337,0.607,100
172,2026-05-09,0.2799,0.2174,0.28,0.3478,0.6278,100
173,2026-05-09,0.2888,0.2283,0.29,0.3587,0.6487,100
174,2026-05-09,0.2977,0.2391,0.3,0.3696,0.6696,100
175,2026-05-09,0.2977,0.2391,0.3,0.3696,0.6696,100
176,2026-05-09,0.2771,0.2283,0.29,0.3261,0.6161,100
177,2026-05-10,0.2771,0.2283,0.29,0.3261,0.6161,100
