check,got,want,pass
frame: single batter id,1,1,True
frame: no duplicate pitch keys,0,0,True
frame: 12 seasons present,12,12,True
frame: 2026 R pitch rows,2276,2276,True
frame: 2026 games,135,135,True
frame: max game_date,2026-09-02,2026-09-02,True
frame: min 2026 game_date,2026-03-26,2026-03-26,True
frame: no spring/exhibition rows,0,0,True
frame: postseason rows excluded from R,0,0,True
frame: 2021 shows two batting teams,2,2,True
sensor boundary: no bat_speed before 2023,0,0,True
sensor boundary: no bat_speed in 2023,0,0,True
sensor boundary: no attack_angle in 2024,0,0,True
xwOBA is per-PA (non-null pitch rows == non-null PA rows),601,601,True
2026 untracked BIP (O-8 exposure),0,0,True
2026 untraced BIP hc_x/hc_y,0,0,True
season 2015 plate_apps,44,44,True
season 2015 at_bats,40,40,True
season 2015 hits,9,9,True
season 2015 hrs,1,1,True
season 2015 strikeouts,12,12,True
season 2015 ba,0.225,0.225,True
season 2015 obp,0.29545454545454547,0.2955,True
season 2015 slg,0.325,0.325,True
season 2015 ops,0.6204545454545455,0.6205,True
season 2015 woba,0.27809090909090906,0.2781,True
season 2015 iso,0.1,0.1,True
season 2015 babip,0.2962962962962963,0.2963,True
season 2015 krate,0.2727272727272727,0.2727,True
season 2015 bbrate,0.09090909090909091,0.0909,True
season 2016 plate_apps,324,324,True
season 2016 at_bats,307,307,True
season 2016 hits,105,105,True
season 2016 hrs,13,13,True
season 2016 strikeouts,59,59,True
season 2016 ba,0.34201954397394135,0.342,True
season 2016 obp,0.37037037037037035,0.3704,True
season 2016 slg,0.5667752442996743,0.5668,True
season 2016 ops,0.9371456146700446,0.9371,True
season 2016 woba,0.3950308641975308,0.395,True
season 2016 iso,0.22475570032573294,0.2248,True
season 2016 babip,0.3881856540084388,0.3882,True
season 2016 krate,0.18209876543209877,0.1821,True
season 2016 bbrate,0.043209876543209874,0.0432,True
season 2017 plate_apps,447,447,True
season 2017 at_bats,412,412,True
season 2017 hits,117,117,True
season 2017 hrs,11,11,True
season 2017 strikeouts,80,80,True
season 2017 ba,0.28398058252427183,0.284,True
season 2017 obp,0.3378076062639821,0.3378,True
season 2017 slg,0.45145631067961167,0.4515,True
season 2017 ops,0.7892639169435938,0.7893,True
season 2017 woba,0.33779418344519013,0.3378,True
season 2017 iso,0.16747572815533984,0.1675,True
season 2017 babip,0.32919254658385094,0.3292,True
season 2017 krate,0.1789709172259508,0.179,True
season 2017 bbrate,0.06711409395973154,0.0671,True
season 2018 plate_apps,738,738,True
season 2018 at_bats,665,665,True
season 2018 hits,180,180,True
season 2018 hrs,19,19,True
season 2018 strikeouts,132,132,True
season 2018 ba,0.2706766917293233,0.2707,True
season 2018 obp,0.34103260869565216,0.341,True
season 2018 slg,0.4150375939849624,0.415,True
season 2018 ops,0.7560702026806145,0.7561,True
season 2018 woba,0.3308505434782609,0.3309,True
season 2018 iso,0.14436090225563913,0.1444,True
season 2018 babip,0.3132295719844358,0.3132,True
season 2018 krate,0.17886178861788618,0.1789,True
season 2018 bbrate,0.08943089430894309,0.0894,True
season 2019 plate_apps,567,567,True
season 2019 at_bats,521,521,True
season 2019 hits,155,155,True
season 2019 hrs,19,19,True
season 2019 strikeouts,113,113,True
season 2019 ba,0.29750479846449135,0.2975,True
season 2019 obp,0.3509700176366843,0.351,True
season 2019 slg,0.4971209213051823,0.4971,True
season 2019 ops,0.8480909389418666,0.8481,True
season 2019 woba,0.35583950617283955,0.3558,True
season 2019 iso,0.19961612284069097,0.1996,True
season 2019 babip,0.34782608695652173,0.3478,True
season 2019 krate,0.19929453262786595,0.1993,True
season 2019 bbrate,0.07231040564373897,0.0723,True
season 2020 plate_apps,259,259,True
season 2020 at_bats,233,233,True
season 2020 hits,78,78,True
season 2020 hrs,12,12,True
season 2020 strikeouts,36,36,True
season 2020 ba,0.33476394849785407,0.3348,True
season 2020 obp,0.3938223938223938,0.3938,True
season 2020 slg,0.5879828326180258,0.588,True
season 2020 ops,0.9818052264404196,0.9818,True
season 2020 woba,0.4126833976833977,0.4127,True
season 2020 iso,0.2532188841201717,0.2532,True
season 2020 babip,0.35294117647058826,0.3529,True
season 2020 krate,0.138996138996139,0.139,True
season 2020 bbrate,0.08494208494208494,0.0849,True
season 2021 plate_apps,644,644,True
season 2021 at_bats,595,595,True
season 2021 hits,195,195,True
season 2021 hrs,28,28,True
season 2021 strikeouts,110,110,True
season 2021 ba,0.3277310924369748,0.3277,True
season 2021 obp,0.37267080745341613,0.3727,True
season 2021 slg,0.5361344537815126,0.5361,True
season 2021 ops,0.9088052612349287,0.9088,True
season 2021 woba,0.3862080745341615,0.3862,True
season 2021 iso,0.2084033613445378,0.2084,True
season 2021 babip,0.36225596529284165,0.3623,True
season 2021 krate,0.17080745341614906,0.1708,True
season 2021 bbrate,0.06055900621118013,0.0606,True
season 2022 plate_apps,707,707,True
season 2022 at_bats,652,652,True
season 2022 hits,194,194,True
season 2022 hrs,21,21,True
season 2022 strikeouts,131,131,True
season 2022 ba,0.29754601226993865,0.2975,True
season 2022 obp,0.34184397163120567,0.3418,True
season 2022 slg,0.4662576687116564,0.4663,True
season 2022 ops,0.808101640342862,0.8081,True
season 2022 woba,0.3496326241134752,0.3496,True
season 2022 iso,0.16871165644171776,0.1687,True
season 2022 babip,0.34189723320158105,0.3419,True
season 2022 krate,0.18528995756718528,0.1853,True
season 2022 bbrate,0.06223479490806223,0.0622,True
season 2023 plate_apps,689,689,True
season 2023 at_bats,639,639,True
season 2023 hits,170,170,True
season 2023 hrs,26,26,True
season 2023 strikeouts,150,150,True
season 2023 ba,0.26604068857589985,0.266,True
season 2023 obp,0.3178519593613933,0.3179,True
season 2023 slg,0.458528951486698,0.4585,True
season 2023 ops,0.7763809108480912,0.7764,True
season 2023 woba,0.333243831640058,0.3332,True
season 2023 iso,0.19248826291079812,0.1925,True
season 2023 babip,0.3103448275862069,0.3103,True
season 2023 krate,0.21770682148040638,0.2177,True
season 2023 bbrate,0.062409288824383166,0.0624,True
season 2024 plate_apps,541,541,True
season 2024 at_bats,507,507,True
season 2024 hits,149,149,True
season 2024 hrs,21,21,True
season 2024 strikeouts,98,98,True
season 2024 ba,0.2938856015779093,0.2939,True
season 2024 obp,0.3364140480591497,0.3364,True
season 2024 slg,0.46745562130177515,0.4675,True
season 2024 ops,0.8038696693609249,0.8039,True
season 2024 woba,0.3478170055452865,0.3478,True
season 2024 iso,0.17357001972386588,0.1736,True
season 2024 babip,0.32904884318766064,0.329,True
season 2024 krate,0.18114602587800369,0.1811,True
season 2024 bbrate,0.04990757855822551,0.0499,True
season 2025 plate_apps,641,641,True
season 2025 at_bats,592,592,True
season 2025 hits,179,179,True
season 2025 hrs,15,15,True
season 2025 strikeouts,107,107,True
season 2025 ba,0.30236486486486486,0.3024,True
season 2025 obp,0.35257410296411856,0.3526,True
season 2025 slg,0.4543918918918919,0.4544,True
season 2025 ops,0.8069659948560104,0.807,True
season 2025 woba,0.34979563182527307,0.3498,True
season 2025 iso,0.15202702702702703,0.152,True
season 2025 babip,0.3474576271186441,0.3475,True
season 2025 krate,0.1669266770670827,0.1669,True
season 2025 bbrate,0.0655226209048362,0.0655,True
season 2026 plate_apps,602,602,True
season 2026 at_bats,556,556,True
season 2026 hits,133,133,True
season 2026 hrs,17,17,True
season 2026 strikeouts,131,131,True
season 2026 ba,0.2392086330935252,0.2392,True
season 2026 obp,0.292358803986711,0.2924,True
season 2026 slg,0.37589928057553956,0.3759,True
season 2026 ops,0.6682580845622506,0.6683,True
season 2026 woba,0.29422129783693846,0.2942,True
season 2026 iso,0.13669064748201437,0.1367,True
season 2026 babip,0.2822384428223844,0.2822,True
season 2026 krate,0.21760797342192692,0.2176,True
season 2026 bbrate,0.06478405315614617,0.0648,True
season 2020 bip,199,199,True
season 2020 mean_ev,90.50663265306125,90.5066,True
season 2020 mean_la,9.535714285714286,9.5357,True
season 2020 hard_hit_rate,0.40703517587939697,0.407,True
season 2020 barrel_rate,0.09547738693467336,0.0955,True
season 2020 pu_rate,0.05527638190954774,0.0553,True
season 2020 xwobacon,0.3942244897959184,0.3942,True
season 2020 swing_rate,0.46853823814133594,0.4685,True
season 2020 whiff_rate,0.1962809917355372,0.1963,True
season 2020 chase_rate,0.2722117202268431,0.2722,True
season 2020 z_swing,0.6746031746031746,0.6746,True
season 2020 z_whiff,0.13529411764705881,0.1353,True
season 2020 in_zone_rate_fix (D-7 corrected),0.4878993223620523,0.4879,True
season 2020 D-7 exposure == zone_null_rate,0.0,0.0,True
season 2020 srfp,0.2692307692307692,0.2692,True
season 2020 fpsr,0.6423076923076924,0.6423,True
season 2021 bip,489,489,True
season 2021 mean_ev,89.57618069815194,89.5762,True
season 2021 mean_la,11.371663244353183,11.3717,True
season 2021 hard_hit_rate,0.4621676891615542,0.4622,True
season 2021 barrel_rate,0.0736196319018405,0.0736,True
season 2021 pu_rate,0.06339468302658487,0.0634,True
season 2021 xwobacon,0.3941622176591376,0.3942,True
season 2021 swing_rate,0.4917571371129875,0.4918,True
season 2021 whiff_rate,0.22976287816843827,0.2298,True
season 2021 chase_rate,0.2643312101910828,0.2643,True
season 2021 z_swing,0.7238017871649066,0.7238,True
season 2021 z_whiff,0.1537598204264871,0.1538,True
season 2021 in_zone_rate_fix (D-7 corrected),0.4949738640932851,0.495,True
season 2021 D-7 exposure == zone_null_rate,0.0,0.0,True
season 2021 srfp,0.34520123839009287,0.3452,True
season 2021 fpsr,0.6656346749226006,0.6656,True
season 2023 bip,490,490,True
season 2023 mean_ev,89.86061224489795,89.8606,True
season 2023 mean_la,13.018367346938776,13.0184,True
season 2023 hard_hit_rate,0.42244897959183675,0.4224,True
season 2023 barrel_rate,0.0836734693877551,0.0837,True
season 2023 pu_rate,0.05510204081632653,0.0551,True
season 2023 xwobacon,0.382804081632653,0.3828,True
season 2023 swing_rate,0.5312149532710281,0.5312,True
season 2023 whiff_rate,0.2955665024630542,0.2956,True
season 2023 chase_rate,0.35290055248618785,0.3529,True
season 2023 z_swing,0.7416462917685411,0.7416,True
season 2023 z_whiff,0.17802197802197803,0.178,True
season 2023 in_zone_rate_fix (D-7 corrected),0.45869158878504673,0.4587,True
season 2023 D-7 exposure == zone_null_rate,0.0,0.0,True
season 2023 srfp,0.38816738816738816,0.3882,True
season 2023 fpsr,0.6464646464646465,0.6465,True
season 2024 bip,408,408,True
season 2024 mean_ev,89.13832923832925,89.1383,True
season 2024 mean_la,11.528255528255528,11.5283,True
season 2024 hard_hit_rate,0.4068627450980392,0.4069,True
season 2024 barrel_rate,0.06862745098039216,0.0686,True
season 2024 pu_rate,0.051470588235294115,0.0515,True
season 2024 xwobacon,0.3686609336609337,0.3687,True
season 2024 swing_rate,0.5374449339207048,0.5374,True
season 2024 whiff_rate,0.26138433515482695,0.2614,True
season 2024 chase_rate,0.33935361216730037,0.3394,True
season 2024 z_swing,0.7477295660948536,0.7477,True
season 2024 z_whiff,0.1417004048582996,0.1417,True
season 2024 in_zone_rate_fix (D-7 corrected),0.4850709740577582,0.4851,True
season 2024 D-7 exposure == zone_null_rate,0.0,0.0,True
season 2024 srfp,0.3900184842883549,0.39,True
season 2024 fpsr,0.6635859519408502,0.6636,True
season 2025 bip,484,484,True
season 2025 mean_ev,89.34607438016529,89.3461,True
season 2025 mean_la,9.111570247933884,9.1116,True
