batter,game_year,bip,popups,pu_rate
425796,2015,55,3,0.0545
429667,2015,71,3,0.0423
434563,2015,44,4,0.0909
457705,2020,40,4,0.1
457705,2021,98,8,0.0816
467793,2018,78,11,0.141
488721,2016,84,4,0.0476
502126,2015,47,3,0.0638
514917,2015,43,0,0.0
514917,2016,71,1,0.0141
514917,2017,54,1,0.0185
514917,2018,60,1,0.0167
514917,2019,101,4,0.0396
516416,2019,159,9,0.0566
516416,2020,51,4,0.0784
516416,2021,134,11,0.0821
516416,2022,96,10,0.1042
519184,2015,58,1,0.0172
519237,2015,69,12,0.1739
519237,2016,94,7,0.0745
519237,2017,45,3,0.0667
520471,2015,90,5,0.0556
520471,2016,87,1,0.0115
520471,2017,106,13,0.1226
543543,2021,67,8,0.1194
544369,2020,44,5,0.1136
544369,2021,69,8,0.1159
544369,2022,46,6,0.1304
546318,2015,94,4,0.0426
546318,2016,104,7,0.0673
546318,2017,111,9,0.0811
546318,2018,93,7,0.0753
546318,2021,104,7,0.0673
546318,2022,41,5,0.122
547180,2019,95,2,0.0211
547180,2021,103,6,0.0583
547180,2022,74,3,0.0405
547180,2023,122,11,0.0902
547180,2024,136,9,0.0662
547180,2025,143,3,0.021
547180,2026,133,7,0.0526
571437,2017,63,5,0.0794
571830,2016,64,6,0.0938
571830,2017,78,12,0.1538
573131,2015,55,2,0.0364
591720,2021,81,5,0.0617
592206,2022,177,17,0.096
592206,2023,148,8,0.0541
592206,2024,194,12,0.0619
592206,2025,175,7,0.04
592663,2019,111,13,0.1171
592663,2021,112,5,0.0446
592663,2022,116,9,0.0776
592663,2023,93,9,0.0968
592663,2024,80,4,0.05
592663,2025,112,6,0.0536
592663,2026,70,4,0.0571
595751,2018,63,0,0.0
596146,2025,106,13,0.1226
596748,2015,65,4,0.0615
596748,2016,140,15,0.1071
596748,2017,108,11,0.1019
596748,2018,108,19,0.1759
596748,2019,97,13,0.134
605125,2015,49,4,0.0816
607208,2023,151,6,0.0397
607208,2024,125,9,0.072
607208,2025,155,6,0.0387
607208,2026,149,18,0.1208
608384,2017,55,2,0.0364
608384,2018,57,3,0.0526
624641,2023,65,9,0.1385
624641,2024,54,5,0.0926
624641,2025,61,2,0.0328
624641,2026,51,5,0.098
656555,2018,97,14,0.1443
656555,2019,83,8,0.0964
656555,2021,71,6,0.0845
656555,2022,104,9,0.0865
656941,2022,94,10,0.1064
656941,2023,77,9,0.1169
656941,2024,101,6,0.0594
656941,2025,116,12,0.1034
656941,2026,102,12,0.1176
663837,2022,89,9,0.1011
664068,2018,107,7,0.0654
664068,2019,81,7,0.0864
664761,2021,65,0,0.0
664761,2022,142,6,0.0423
664761,2023,140,9,0.0643
664761,2024,142,7,0.0493
664761,2025,126,1,0.0079
664761,2026,126,9,0.0714
666969,2026,50,4,0.08
669016,2023,56,2,0.0357
669016,2024,60,4,0.0667
669016,2025,71,2,0.0282
669016,2026,97,6,0.0619
679032,2024,106,7,0.066
679032,2025,44,5,0.1136
681082,2022,72,8,0.1111
681082,2023,114,8,0.0702
681082,2024,106,4,0.0377
681082,2025,106,4,0.0377
681082,2026,115,9,0.0783
702222,2026,86,3,0.0349
805249,2025,45,1,0.0222
