season,population,swings,bunts_excluded,degenerate_under_25mph,bat_speed_tracked,path_tracked,path_coverage
2015,all PHI batters,10982,128,0,0,0,0.0
2015,Trea Turner,0,0,0,0,0,
2016,all PHI batters,11235,150,0,0,0,0.0
2016,Trea Turner,0,0,0,0,0,
2017,all PHI batters,11468,96,0,0,0,0.0
2017,Trea Turner,0,0,0,0,0,
2018,all PHI batters,11344,98,0,0,0,0.0
2018,Trea Turner,0,0,0,0,0,
2019,all PHI batters,11758,73,0,0,0,0.0
2019,Trea Turner,0,0,0,0,0,
2020,all PHI batters,4034,28,0,0,0,0.0
2020,Trea Turner,0,0,0,0,0,
2021,all PHI batters,11413,120,0,0,0,0.0
2021,Trea Turner,0,0,0,0,0,
2022,all PHI batters,11554,45,0,0,0,0.0
2022,Trea Turner,0,0,0,0,0,
2023,all PHI batters,11803,61,0,0,0,0.0
2023,Trea Turner,1421,0,0,0,0,0.0
2024,all PHI batters,11628,55,23,10793,0,0.0
2024,Trea Turner,1098,0,0,1001,0,0.0
2025,all PHI batters,11707,31,39,11424,11424,0.9758
2025,Trea Turner,1238,0,1,1177,1177,0.9507
2026,all PHI batters,9993,32,30,9733,9733,0.974
2026,Trea Turner,1148,0,3,1103,1103,0.9608
