metric,batter,n_2025,n_2026,val_2025,val_2026,delta
swing_path_tilt,547180,1146,1140,35.4448,37.115,1.6702
swing_path_tilt,592663,1029,703,34.1895,32.7372,-1.4523
swing_path_tilt,607208,1176,1100,27.8592,25.5083,-2.3509
swing_path_tilt,624641,522,487,33.7388,33.8928,0.154
swing_path_tilt,656941,1256,1088,30.266,29.3922,-0.8738
swing_path_tilt,664761,851,896,29.7922,29.8298,0.0376
swing_path_tilt,669016,761,969,38.7108,37.2875,-1.4233
swing_path_tilt,681082,974,892,32.4361,30.8255,-1.6106
attack_angle,547180,1146,1140,10.8892,11.3714,0.4822
attack_angle,592663,1029,703,11.9243,11.9699,0.0456
attack_angle,607208,1176,1100,7.5508,8.2809,0.7301
attack_angle,624641,522,487,10.0174,10.744,0.7266
attack_angle,656941,1256,1088,14.434,14.711,0.2769
attack_angle,664761,851,896,4.7788,3.9992,-0.7796
attack_angle,669016,761,969,8.0083,8.5605,0.5521
attack_angle,681082,974,892,6.8956,9.2906,2.395
attack_direction,547180,1146,1140,-1.5101,0.1381,1.6482
attack_direction,592663,1029,703,1.6874,0.0688,-1.6185
attack_direction,607208,1176,1100,-1.3356,-2.7661,-1.4305
attack_direction,624641,522,487,-1.9545,-2.7166,-0.7621
attack_direction,656941,1256,1088,-4.3551,-8.6239,-4.2688
attack_direction,664761,851,896,5.8435,6.4336,0.5901
attack_direction,669016,761,969,1.2155,0.5796,-0.6359
attack_direction,681082,974,892,3.823,0.9073,-2.9157
intercept_side_in,547180,1146,1140,39.3265,38.9971,-0.3294
intercept_side_in,592663,1029,703,37.4414,37.5817,0.1403
intercept_side_in,607208,1176,1100,37.8301,39.1763,1.3462
intercept_side_in,624641,522,487,36.1285,37.0478,0.9193
intercept_side_in,656941,1256,1088,35.1725,34.4745,-0.698
intercept_side_in,664761,851,896,38.4172,37.9701,-0.447
intercept_side_in,669016,761,969,38.8015,39.7749,0.9734
intercept_side_in,681082,974,892,32.9475,33.1598,0.2123
intercept_depth_in,547180,1146,1140,32.625,31.5644,-1.0606
intercept_depth_in,592663,1029,703,28.0935,28.7983,0.7048
intercept_depth_in,607208,1176,1100,28.4587,29.1646,0.7059
intercept_depth_in,624641,522,487,29.0349,30.3779,1.3431
intercept_depth_in,656941,1256,1088,32.8155,34.7356,1.9202
intercept_depth_in,664761,851,896,25.836,24.4167,-1.4193
intercept_depth_in,669016,761,969,26.4935,27.0971,0.6036
intercept_depth_in,681082,974,892,27.1325,31.8558,4.7232
bat_speed,547180,1146,1140,72.5705,72.6549,0.0844
bat_speed,592663,1029,703,70.4937,71.7642,1.2705
bat_speed,607208,1176,1100,69.517,70.1779,0.6609
bat_speed,624641,522,487,70.9697,71.1409,0.1711
bat_speed,656941,1256,1088,74.7159,74.5749,-0.141
bat_speed,664761,851,896,70.3402,69.7817,-0.5585
bat_speed,669016,761,969,69.8589,70.1924,0.3335
bat_speed,681082,974,892,67.9921,68.1618,0.1697
swing_length,547180,1146,1140,7.2889,7.2747,-0.0142
swing_length,592663,1029,703,7.4728,7.3788,-0.094
swing_length,607208,1176,1100,7.4776,7.5301,0.0525
swing_length,624641,522,487,8.0648,8.0977,0.033
swing_length,656941,1256,1088,7.4748,7.4503,-0.0246
swing_length,664761,851,896,7.2142,7.0685,-0.1457
swing_length,669016,761,969,7.0353,7.1689,0.1336
swing_length,681082,974,892,7.1193,7.1652,0.0459
