game_year,pitch_group,is_popup,n,attack_angle,attack_direction,swing_path_tilt,intercept_side_in,intercept_depth_in,bat_speed,swing_length,launch_angle,launch_speed,plate_z,pull_direction,below_floor
2025,breaking,False,137,7.0751,-5.6249,27.8015,38.1651,31.5172,70.5088,7.5759,5.7664,86.0839,2.2453,5.6249,False
2025,breaking,True,6,8.8164,-10.5683,27.9291,33.4229,34.6805,65.6167,7.55,60.5,70.4,2.4417,10.5683,True
2025,fastball,False,218,5.1707,5.3862,28.142,36.5511,24.523,71.6041,7.2711,9.6606,91.0216,2.5134,-5.3862,False
2025,fastball,True,12,10.8293,-5.0316,25.4641,36.0256,30.3556,71.625,7.4917,69.1667,82.9417,2.8408,5.0316,False
2025,offspeed,False,61,8.3909,-5.0627,28.9243,38.5863,30.8143,70.7607,7.6689,1.4918,86.9639,2.1284,5.0627,False
2025,offspeed,True,3,10.4777,-15.1627,27.8148,37.7439,35.424,66.8,8.0,66.0,84.2667,2.3367,15.1627,True
2026,breaking,False,122,8.6458,-3.8973,24.8096,40.3467,30.3468,70.5008,7.5689,7.9918,86.2254,2.2638,3.8973,False
2026,breaking,True,15,9.1565,-3.9509,23.4401,37.3439,31.2543,70.0333,7.38,65.8667,73.2533,2.5104,3.9509,False
2026,fastball,False,212,5.7857,5.4579,25.2886,38.9809,24.5423,71.991,7.3142,7.684,90.6476,2.4387,-5.4579,False
2026,fastball,True,9,11.7757,-9.3967,23.6299,36.0365,32.1836,72.5333,7.5444,69.0,83.9333,2.8298,9.3967,True
2026,offspeed,False,40,7.3553,-3.6027,26.2156,39.8451,29.9363,72.23,7.67,-2.65,85.0075,2.0445,3.6027,False
2026,offspeed,True,2,17.818,-9.1479,22.3367,41.694,32.9672,73.95,7.75,58.0,81.05,2.9277,9.1479,True
