game_year,pitch_group,swings,tracked_swings,attack_angle,attack_angle_med,attack_direction,swing_path_tilt,swing_path_tilt_med,intercept_side_in,intercept_depth_in,bat_speed,swing_length,ideal_aa_swings,tracking_coverage,ideal_aa_rate,pull_direction,below_swing_floor,bip,popups,pu_rate
2023,breaking,455,0,,,,,,,,,,0,0.0,,,True,151,6,0.0397
2023,fastball,775,0,,,,,,,,,,0,0.0,,,True,276,18,0.0652
2023,offspeed,191,0,,,,,,,,,,0,0.0,,,True,63,3,0.0476
2024,breaking,375,0,,,,,,,,,,0,0.0,,,True,125,9,0.072
2024,fastball,574,0,,,,,,,,,,0,0.0,,,True,242,10,0.0413
2024,offspeed,147,0,,,,,,,,,,0,0.0,,,True,39,2,0.0513
2025,breaking,427,409,10.6793,11.6369,-12.3263,28.0874,27.8047,39.3112,35.3641,68.632,7.8416,261,0.9578,0.6381,12.3263,False,155,6,0.0387
2025,fastball,647,612,4.5279,5.6464,8.9916,27.2989,27.3497,36.7635,22.1801,69.8008,7.1158,313,0.9459,0.5114,-8.9916,False,257,12,0.0467
2025,offspeed,162,153,11.2821,12.0614,-13.3697,29.4475,29.3093,38.1933,35.2042,70.7229,7.9634,103,0.9444,0.6732,13.3697,False,71,3,0.0423
2026,breaking,411,390,11.2971,12.1795,-13.8887,25.5861,25.5966,41.0121,36.0562,69.6836,7.9038,271,0.9489,0.6949,13.8887,False,149,18,0.1208
2026,fastball,609,583,5.5531,6.3007,7.0613,25.0236,24.7475,38.1243,23.2388,70.2619,7.1846,318,0.9573,0.5455,-7.0613,False,236,10,0.0424
2026,offspeed,128,127,11.5405,11.7929,-13.7239,27.4943,27.6114,38.3679,35.2046,71.3102,7.9685,90,0.9922,0.7087,13.7239,False,43,2,0.0465
