check,got,want,pass
sensor: no attack_angle in 2023,0,0,True
sensor: no attack_angle in 2024,0,0,True
sensor: no bat_speed in 2023,0,0,True
sensor: bat_speed present in 2024,True,True,True
coverage 2025: swings,1238,1238,True
coverage 2025: tracked,1177,1177,True
coverage 2025: rate,0.9507269789983845,0.9507,True
coverage 2025: bunts excluded,0,0,True
coverage 2026: swings,1148,1148,True
coverage 2026: tracked,1103,1103,True
coverage 2026: rate,0.960801393728223,0.9608,True
coverage 2026: bunts excluded,0,0,True
conventions: all pass,0,0,True
conventions: check count,12,12,True
C1-R side axis corr recomputed,-0.9527105859904589,-0.9527,True
C1-L side axis corr recomputed,-0.8871892938039677,-0.8872,True
C2 depth axis corr recomputed,-0.5565909929020145,-0.5566,True
C4 attack_direction sign corr recomputed,-0.7901156887759452,-0.7901,True
O-15: attack_direction is pull-NEGATIVE (corr < 0),True,True,True
C5 stand-normalised: sign is negative for R,True,True,True
C5 stand-normalised: sign is negative for L,True,True,True
"O-17: hyper_speed == max(launch_speed, 88)",1.0,1.0,True
O-18: every tilt-gate disagreement is a bunt or a sub-25mph swing,True,True,True
BP-1 2025 tracked_swings,1176,1176,True
BP-1 2025 attack_angle,7.550813823253313,7.5508,True
BP-1 2025 attack_direction,-1.3356211267051104,-1.3356,True
BP-1 2025 swing_path_tilt,27.859220071138044,27.8592,True
BP-1 2025 bat_speed,69.51700680272108,69.517,True
BP-1 2025 swing_length,7.47763605442177,7.4776,True
BP-1 2025 intercept_side_in,37.83005500275431,37.8301,True
BP-1 2025 intercept_depth_in,28.458689294509373,28.4587,True
BP-1 2025 pull_direction is the negated column,1.3356211267051104,1.3356,True
BP-1 2025 ideal_aa_rate (5-20 deg),0.576530612244898,0.5765,True
BP-1 2026 tracked_swings,1100,1100,True
BP-1 2026 attack_angle,8.280906538872962,8.2809,True
BP-1 2026 attack_direction,-2.7661413389814196,-2.7661,True
BP-1 2026 swing_path_tilt,25.508302218415267,25.5083,True
BP-1 2026 bat_speed,70.1779090909091,70.1779,True
BP-1 2026 swing_length,7.53009090909091,7.5301,True
BP-1 2026 intercept_side_in,39.17626845889571,39.1763,True
BP-1 2026 intercept_depth_in,29.164633126351426,29.1646,True
BP-1 2026 pull_direction is the negated column,2.7661413389814196,2.7661,True
BP-1 2026 ideal_aa_rate (5-20 deg),0.6172727272727273,0.6173,True
BP-2 2025/fastball tracked,612,612,True
BP-2 2025/fastball attack_angle,4.527892913368222,4.5279,True
BP-2 2025/fastball swing_path_tilt,27.298895668808246,27.2989,True
BP-2 2025/fastball bat_speed,69.80081699346405,69.8008,True
BP-2 2025/fastball intercept_side_in,36.7634842225749,36.7635,True
BP-2 2025/breaking tracked,409,409,True
BP-2 2025/breaking attack_angle,10.679257230726071,10.6793,True
BP-2 2025/breaking swing_path_tilt,28.087401377911682,28.0874,True
BP-2 2025/breaking bat_speed,68.6320293398533,68.632,True
BP-2 2025/breaking intercept_side_in,39.31120539438761,39.3112,True
BP-2 2025/offspeed tracked,153,153,True
BP-2 2025/offspeed attack_angle,11.282112998784683,11.2821,True
BP-2 2025/offspeed swing_path_tilt,29.447488353985356,29.4475,True
BP-2 2025/offspeed bat_speed,70.72287581699347,70.7229,True
BP-2 2025/offspeed intercept_side_in,38.19331207530352,38.1933,True
BP-2 2026/fastball tracked,583,583,True
BP-2 2026/fastball attack_angle,5.553125695923036,5.5531,True
BP-2 2026/fastball swing_path_tilt,25.02363018109114,25.0236,True
BP-2 2026/fastball bat_speed,70.26192109777016,70.2619,True
BP-2 2026/fastball intercept_side_in,38.12425714975942,38.1243,True
BP-2 2026/breaking tracked,390,390,True
BP-2 2026/breaking attack_angle,11.297118534922083,11.2971,True
BP-2 2026/breaking swing_path_tilt,25.586101886310885,25.5861,True
BP-2 2026/breaking bat_speed,69.68358974358975,69.6836,True
BP-2 2026/breaking intercept_side_in,41.012135563914626,41.0121,True
BP-2 2026/offspeed tracked,127,127,True
BP-2 2026/offspeed attack_angle,11.540540814311145,11.5405,True
BP-2 2026/offspeed swing_path_tilt,27.494301645822176,27.4943,True
BP-2 2026/offspeed bat_speed,71.31023622047245,71.3102,True
BP-2 2026/offspeed intercept_side_in,38.36787808306169,38.3679,True
PU-2 2023/fastball bip,276,276,True
