game_year,zone,n_bip,pull_n,oppo_n,straight_n,pull_rate,oppo_rate,straight_rate
2023,all,490,226,157,107,0.46122448979591835,0.32040816326530613,0.21836734693877552
2024,all,408,206,111,91,0.5049019607843137,0.27205882352941174,0.22303921568627452
2025,all,484,215,152,117,0.44421487603305787,0.3140495867768595,0.24173553719008264
2026,all,450,180,158,112,0.4,0.3511111111111111,0.24888888888888888
2023,in_zone,391,185,117,89,0.4731457800511509,0.29923273657289,0.22762148337595908
2024,in_zone,338,177,86,75,0.5236686390532544,0.25443786982248523,0.22189349112426035
2025,in_zone,413,181,134,98,0.43825665859564167,0.324455205811138,0.23728813559322035
2026,in_zone,379,152,133,94,0.40105540897097625,0.35092348284960423,0.24802110817941952
2023,outside,99,41,40,18,0.41414141414141414,0.40404040404040403,0.18181818181818182
2024,outside,70,29,25,16,0.4142857142857143,0.35714285714285715,0.22857142857142856
2025,outside,71,34,18,19,0.4788732394366197,0.2535211267605634,0.2676056338028169
2026,outside,71,28,25,18,0.39436619718309857,0.352112676056338,0.2535211267605634
