game_year,game_date,game_pk,at_bat_number,pitch_number,p_throws,stand,pitch_type,zone,hc_x,hc_y,loc_x,loc_y,type,events,bb_type,hit_direction,ooz,sort_rank
2023,2023-09-30,716393,38,1,L,R,CU,14.0,131.7,181.04,15.67281387999997,43.00041133000005,X,field_out,ground_ball,Oppo,True,2
2023,2023-09-30,716393,2,6,L,R,CH,14.0,99.49,154.46,-64.71274903000003,109.33534651000001,X,single,ground_ball,Pull,True,0
2023,2023-09-28,716409,43,1,R,R,SI,6.0,182.13,111.49,141.52950241,216.57432938000005,X,single,line_drive,Oppo,False,2
2023,2023-09-28,716409,24,8,R,R,SL,6.0,99.44,164.61,-64.83753258000002,84.00428586,X,field_out,ground_ball,Pull,False,0
2023,2023-09-28,716409,5,5,R,R,FF,5.0,81.14,48.9,-110.50831188000001,372.77837727,X,double,fly_ball,Pull,False,0
2023,2023-09-28,716409,65,3,R,R,FC,2.0,41.42,120.48,-209.63636400000001,194.13824709000002,X,double,line_drive,Pull,False,0
2023,2023-09-26,716432,39,1,R,R,FC,5.0,167.0,87.33,103.77000018000001,276.86974074000005,X,single,line_drive,Oppo,False,2
2023,2023-09-26,716432,24,2,R,R,SI,4.0,146.94,173.94,53.70683991999999,60.71967543000004,X,field_out,popup,Oppo,False,2
2023,2023-09-26,716432,5,6,R,R,SI,4.0,107.99,135.87,-43.49954553000002,155.72987040000004,X,field_out,ground_ball,Pull,False,0
2023,2023-09-26,716432,57,4,L,R,CH,6.0,116.28,148.57,-22.810432940000002,124.03484870000005,X,field_out,ground_ball,Straightaway,False,1
2023,2023-09-24,716454,20,6,R,R,CH,9.0,108.8,40.49,-41.478052020000014,393.76697038000003,X,field_out,fly_ball,Straightaway,False,1
2023,2023-09-24,716454,53,4,L,R,CH,8.0,100.12,164.93,-63.140476299999996,83.20567114000002,X,grounded_into_double_play,ground_ball,Pull,False,0
2023,2023-09-24,716454,5,7,R,R,SL,4.0,140.56,84.92,37.78445894000001,282.88430785,X,field_out,fly_ball,Straightaway,False,1
2023,2023-09-24,716454,36,7,R,R,SI,4.0,39.27,118.17,-215.00205665000004,199.90324710000004,X,double,line_drive,Pull,False,0
2023,2023-09-23,716466,40,1,L,R,CH,14.0,129.06,221.05,9.084242440000002,-56.85138538000001,X,fielders_choice,ground_ball,Pull,True,0
2023,2023-09-23,716466,6,1,L,R,SI,5.0,105.77,74.09,-49.03993515000002,309.91242478000004,X,field_out,fly_ball,Straightaway,False,1
2023,2023-09-23,716466,59,5,R,R,SL,14.0,147.43,143.05,54.92971871000002,137.81095262,X,field_out,line_drive,Oppo,True,2
2023,2023-09-22,716481,43,6,R,R,CH,9.0,144.28,146.33,47.06835506,129.62515174,X,field_out,ground_ball,Oppo,False,2
2023,2023-09-22,716481,23,4,R,R,CH,5.0,163.87,74.27,95.95854995000002,309.4632040000001,X,field_out,fly_ball,Oppo,False,2
2023,2023-09-22,716481,55,4,R,R,SL,14.0,112.28,169.24,-32.793116940000004,72.44932913000001,X,force_out,ground_ball,Pull,True,0
2023,2023-09-22,716481,73,2,L,R,CH,9.0,110.25,161.6,-37.85932907000001,91.51625557000004,X,field_out,ground_ball,Pull,False,0
2023,2023-09-21,716490,25,5,L,R,SI,7.0,99.61,164.86,-64.41326851000001,83.38036810999999,X,field_out,ground_ball,Pull,False,0
2023,2023-09-21,716490,55,5,R,R,SI,11.0,143.66,168.29,45.52103903999999,74.82021658000005,X,field_out,ground_ball,Oppo,True,2
2023,2023-09-20,716509,17,3,R,R,CH,4.0,92.76,162.42,-81.50861486,89.46980535000006,X,field_out,ground_ball,Pull,False,0
2023,2023-09-20,716509,53,4,L,R,SI,9.0,101.9,166.94,-58.698181919999996,78.18937243000003,X,field_out,ground_ball,Pull,False,0
2023,2023-09-20,716509,74,1,L,R,CH,14.0,108.16,172.87,-43.075281460000014,63.39004340000002,X,grounded_into_double_play,ground_ball,Pull,True,0
2023,2023-09-20,716509,35,2,R,R,FC,6.0,158.62,140.7,82.85627720000001,143.67577947000007,X,field_out,popup,Oppo,False,2
2023,2023-09-19,716521,47,4,R,R,SL,6.0,105.82,166.22,-48.91515160000002,79.98625555000004,X,force_out,ground_ball,Pull,False,0
2023,2023-09-19,716521,24,3,R,R,SL,5.0,109.45,148.04,-39.85586587,125.35755433000006,X,field_out,ground_ball,Pull,False,0
2023,2023-09-18,716532,34,2,R,R,SI,9.0,117.51,195.54,-19.740757609999992,6.813181830000046,X,single,ground_ball,Pull,False,0
2023,2023-09-18,716532,18,7,R,R,KC,8.0,123.07,197.62,-5.864826850000021,1.6221861500000143,X,field_out,ground_ball,Pull,False,0
2023,2023-09-18,716532,46,2,R,R,SL,4.0,124.9,182.12,-1.29774891999999,40.305086650000014,X,field_out,popup,Straightaway,False,1
2023,2023-09-18,716532,2,1,R,R,SI,4.0,107.33,99.1,-45.146688390000016,247.49569307000007,X,single,ground_ball,Straightaway,False,1
2023,2023-09-17,716541,38,3,R,R,SL,4.0,149.77,78.14,60.76958885000003,299.80495723000007,X,field_out,line_drive,Straightaway,False,1
2023,2023-09-17,716541,68,4,L,R,CH,8.0,111.67,168.7,-34.31547625,73.79699147000007,X,field_out,ground_ball,Pull,False,0
2023,2023-09-17,716541,2,2,R,R,CU,14.0,124.86,191.69,-1.3975757600000058,16.421515180000032,X,single,ground_ball,Straightaway,True,1
2023,2023-09-17,716541,56,1,R,R,FF,9.0,117.81,192.87,-18.99205631,13.476623400000015,X,single,ground_ball,Pull,False,0
2023,2023-09-16,716557,39,3,R,R,FF,11.0,168.05,133.38,106.39045473000003,161.94409119000005,X,field_out,popup,Oppo,True,2
2023,2023-09-16,716557,19,3,R,R,SL,5.0,94.94,82.0,-76.06805208000002,290.17166717000003,X,field_out,fly_ball,Pull,False,0
2023,2023-09-16,716557,2,5,R,R,CU,5.0,45.68,119.36,-199.00480554000004,196.93339861000004,X,double,ground_ball,Pull,False,0
2023,2023-09-16,716557,55,1,R,R,FF,9.0,142.13,147.85,41.70266240999999,125.83173182000004,X,field_out,ground_ball,Oppo,False,2
2023,2023-09-15,716572,40,4,L,R,CU,2.0,107.27,163.11,-45.29642865000002,87.74779236,X,grounded_into_double_play,ground_ball,Pull,False,0
2023,2023-09-15,716572,20,6,L,R,FF,1.0,87.96,101.17,-93.48783566000003,242.32965410000003,X,field_out,fly_ball,Pull,False,0
2023,2023-09-15,716572,2,6,L,R,FF,11.0,109.65,64.32,-39.356731669999995,334.29513045000004,X,single,line_drive,Straightaway,True,1
2023,2023-09-13,716603,45,2,R,R,FF,5.0,186.07,85.38,151.36244614999998,281.73629919000007,X,field_out,fly_ball,Oppo,False,2
2023,2023-09-13,716603,24,2,R,R,SL,9.0,80.12,72.39,-113.0538963,314.1550654800001,X,field_out,line_drive,Pull,False,0
2023,2023-09-13,716603,7,7,R,R,FF,8.0,185.69,90.7,150.41409117,268.45932947000006,X,field_out,line_drive,Oppo,False,2
2023,2023-09-12,716618,28,3,L,R,CH,9.0,93.44,100.59,-79.81155858000001,243.77714328000005,X,single,line_drive,Pull,False,0
2023,2023-09-12,716618,62,1,R,R,SI,6.0,128.82,85.84,8.485281399999979,280.58829053000005,X,single,ground_ball,Straightaway,False,1
2023,2023-09-12,716618,79,8,R,R,FF,5.0,60.0,49.11,-163.26679682000002,372.2542863600001,X,home_run,fly_ball,Pull,False,0
2023,2023-09-12,716618,6,3,L,R,SI,14.0,140.88,153.73,38.58307365999999,111.15718634000007,X,field_out,ground_ball,Oppo,True,2
2023,2023-09-11,716590,55,3,R,R,CU,14.0,149.36,159.39,59.746363740000035,97.03168848000007,X,field_out,ground_ball,Oppo,True,2
2023,2023-09-11,716590,19,3,R,R,KC,7.0,105.67,155.49,-49.289502250000005,106.76480538000001,X,force_out,ground_ball,Pull,False,0
2023,2023-09-11,717664,23,1,R,R,FF,9.0,193.61,78.06,170.17980549000004,300.00461091000005,X,field_out,fly_ball,Oppo,False,2
2023,2023-09-11,717664,79,3,R,R,SI,4.0,154.61,149.15,72.84863649000003,122.58735952000002,X,field_error,ground_ball,Oppo,False,2
2023,2023-09-11,716590,7,5,R,R,SI,8.0,110.75,89.84,-36.61149357000001,270.60560653000005,X,single,ground_ball,Straightaway,False,1
2023,2023-09-11,717664,63,1,L,R,FF,2.0,60.63,40.4,-161.69452409,393.99158077000004,X,home_run,fly_ball,Pull,False,0
2023,2023-09-11,716590,37,3,R,R,FC,9.0,85.8,80.92,-98.87848502000001,292.86699185000003,X,double,line_drive,Pull,False,0
2023,2023-09-10,716643,21,5,R,R,FF,1.0,155.29,87.83,74.54569276999999,275.62190524000005,X,field_out,fly_ball,Oppo,False,2
2023,2023-09-10,716643,57,5,R,R,FC,12.0,158.38,141.52,82.25731615999999,141.62932925,X,single,ground_ball,Oppo,True,2
