game_year,hit_direction,n,hits,tb,ba_bip,slg_bip
2023,Oppo,157,46,64.0,0.2929936305732484,0.40764331210191085
2023,Pull,226,87,175.0,0.38495575221238937,0.7743362831858407
2023,Straightaway,107,37,54.0,0.34579439252336447,0.5046728971962616
2024,Oppo,111,36,43.0,0.32432432432432434,0.38738738738738737
2024,Pull,206,76,151.0,0.36893203883495146,0.7330097087378641
2024,Straightaway,91,37,43.0,0.4065934065934066,0.4725274725274725
2025,Oppo,152,51,76.0,0.3355263157894737,0.5
2025,Pull,215,83,131.0,0.386046511627907,0.6093023255813953
2025,Straightaway,117,45,62.0,0.38461538461538464,0.5299145299145299
2026,Oppo,158,43,63.0,0.2721518987341772,0.3987341772151899
2026,Pull,180,58,114.0,0.32222222222222224,0.6333333333333333
2026,Straightaway,112,40,50.0,0.35714285714285715,0.44642857142857145
