zone,game_year,hit_direction,n,hits,tb,ba_bip,slg_bip
in_zone,2023,Oppo,117,35,49.0,0.29914529914529914,0.4188034188034188
in_zone,2023,Pull,185,79,163.0,0.42702702702702705,0.8810810810810811
in_zone,2023,Straightaway,89,29,46.0,0.3258426966292135,0.5168539325842697
in_zone,2024,Oppo,86,27,34.0,0.313953488372093,0.3953488372093023
in_zone,2024,Pull,177,68,139.0,0.384180790960452,0.7853107344632768
in_zone,2024,Straightaway,75,30,36.0,0.4,0.48
in_zone,2025,Oppo,134,45,70.0,0.3358208955223881,0.5223880597014925
in_zone,2025,Pull,181,71,114.0,0.39226519337016574,0.6298342541436464
in_zone,2025,Straightaway,98,42,59.0,0.42857142857142855,0.6020408163265306
in_zone,2026,Oppo,133,37,57.0,0.2781954887218045,0.42857142857142855
in_zone,2026,Pull,152,49,96.0,0.3223684210526316,0.631578947368421
in_zone,2026,Straightaway,94,32,42.0,0.3404255319148936,0.44680851063829785
