player_name,game_year,games,pitches,plate_apps,woba,ops,hard_hit_rate,barrel_rate,runs_created,runs_created_per_600,bips,barrels,hard_hits,df_color,is_subject
"Arraez, Luis",2026,33,542,137,0.309,0.709,0.15079365079365079,0.024,16,70.07299270072993,126.0,3,19.0,Context,False
"Bader, Harrison",2025,48,712,194,0.358,0.824,0.4065040650406504,0.081,16,49.48453608247423,123.0,10,50.0,Context,False
"Bohm, Alec",2023,145,2252,611,0.329,0.762,0.41702127659574467,0.057,99,97.21767594108019,470.0,27,196.0,Context,False
"Bohm, Alec",2024,143,2122,605,0.335,0.776,0.45569620253164556,0.068,98,97.19008264462809,474.0,32,216.0,Context,False
"Bohm, Alec",2025,120,1801,504,0.322,0.741,0.4639175257731959,0.062,61,72.61904761904762,388.0,24,180.0,Context,False
"Bohm, Alec",2026,137,2081,565,0.305,0.691,0.43155452436194897,0.06,82,87.07964601769912,431.0,26,186.0,Context,False
"Castellanos, Nick",2023,157,2427,672,0.333,0.784,0.4317673378076063,0.103,110,98.21428571428571,447.0,46,193.0,Context,False
"Castellanos, Nick",2024,162,2344,659,0.32,0.737,0.3816631130063966,0.081,87,79.21092564491653,469.0,38,179.0,Context,False
"Castellanos, Nick",2025,146,2166,590,0.3,0.693,0.34523809523809523,0.076,76,77.28813559322033,420.0,32,145.0,Context,False
"Cave, Jake",2023,61,813,204,0.269,0.616,0.3484848484848485,0.076,22,64.70588235294117,132.0,10,46.0,Context,False
"Clemens, Kody",2023,47,609,149,0.279,0.639,0.40404040404040403,0.061,14,56.375838926174495,99.0,6,40.0,Context,False
"Clemens, Kody",2024,42,468,120,0.301,0.706,0.4235294117647059,0.071,18,90.0,85.0,6,36.0,Context,False
"Crawford, Justin",2026,130,1536,420,0.289,0.653,0.36477987421383645,0.013,40,57.14285714285714,318.0,4,116.0,Context,False
"Dahl, David",2024,19,266,63,0.268,0.628,0.21052631578947367,0.079,10,95.23809523809523,38.0,3,8.0,Context,False
"De La Cruz, Bryan",2026,22,242,63,0.379,0.881,0.37777777777777777,0.044,12,114.28571428571428,45.0,2,17.0,Context,False
"García, Adolis",2026,67,1082,259,0.268,0.599,0.48,0.093,21,48.64864864864865,150.0,14,72.0,Context,False
"Hall, Darick",2023,18,205,56,0.193,0.437,0.3888888888888889,0.028,3,32.14285714285714,36.0,1,14.0,Context,False
"Harper, Bryce",2023,126,2021,538,0.384,0.891,0.4678362573099415,0.152,74,82.5278810408922,342.0,52,160.0,Context,False
"Harper, Bryce",2024,145,2469,620,0.38,0.887,0.4819277108433735,0.106,92,89.03225806451613,415.0,44,200.0,Context,False
"Harper, Bryce",2025,132,2172,574,0.361,0.837,0.4751958224543081,0.123,79,82.57839721254356,383.0,47,182.0,Context,False
"Harper, Bryce",2026,145,2494,623,0.381,0.879,0.4496124031007752,0.109,83,79.93579454253612,387.0,42,174.0,Context,False
"Harrison, Josh",2023,39,392,114,0.248,0.554,0.25882352941176473,0.024,11,57.89473684210526,85.0,2,22.0,Context,False
"Hays, Austin",2024,22,269,80,0.291,0.672,0.3050847457627119,0.051,6,45.0,59.0,3,18.0,Context,False
"Hill, Derek",2026,40,432,113,0.337,0.787,0.3142857142857143,0.1,20,106.19469026548673,70.0,7,22.0,Context,False
"Kemp, Otto",2025,62,818,218,0.308,0.709,0.44696969696969696,0.121,28,77.06422018348624,132.0,16,59.0,Context,False
"Kepler, Max",2025,126,1826,472,0.299,0.684,0.44680851063829785,0.116,53,67.37288135593221,329.0,38,147.0,Context,False
