game_year,game_date,game_pk,at_bat_number,pitch_number,batter,player_name,p_throws,stand,pitch_type,pitch_name,zone,plate_x,plate_z,sz_top,sz_bot,hc_x,hc_y,type,events,description,des,bb_type,launch_speed,launch_angle,launch_speed_angle,hit_distance_sc,home_team,away_team,inning,inning_topbot,game_type,bat_score,post_bat_score,balls,strikes,Season,wBB,wHBP,w1B,w2B,w3B,wHR,loc_x,loc_y,hit_direction,ooz,sort_rank,pitch_uid
2023,2023-09-30,716393,38,1,607208,"Turner, Trea",L,R,CU,Curveball,14.0,0.01,1.51,3.45,1.69,131.7,181.04,X,field_out,hit_into_play,"Trea Turner grounds out softly, pitcher Jose Quintana to first baseman Mark Vientos.",ground_ball,52.2,-57.0,1.0,1.0,NYM,PHI,4,Top,R,4,4,0,0,2023,0.696,0.726,0.883,1.244,1.569,2.004,15.67281387999997,43.00041133000005,Oppo,True,2,716393-38-1
2023,2023-09-30,716393,2,6,607208,"Turner, Trea",L,R,CH,Changeup,14.0,0.59,1.26,3.45,1.69,99.49,154.46,X,single,hit_into_play,Trea Turner singles on a ground ball to shortstop Francisco Lindor.,ground_ball,79.3,5.0,2.0,81.0,NYM,PHI,1,Top,R,0,0,2,2,2023,0.696,0.726,0.883,1.244,1.569,2.004,-64.71274903000003,109.33534651000001,Pull,True,0,716393-2-6
2023,2023-09-28,716409,43,1,607208,"Turner, Trea",R,R,SI,Sinker,6.0,0.74,2.32,3.45,1.69,182.13,111.49,X,single,hit_into_play,Trea Turner singles on a line drive to right fielder Miguel Andujar.   Kyle Schwarber to 2nd.,line_drive,105.4,7.0,4.0,158.0,PHI,PIT,5,Bot,R,1,1,0,0,2023,0.696,0.726,0.883,1.244,1.569,2.004,141.52950241,216.57432938000005,Oppo,False,2,716409-43-1
2023,2023-09-28,716409,24,8,607208,"Turner, Trea",R,R,SL,Slider,6.0,0.33,2.26,3.45,1.69,99.44,164.61,X,field_out,hit_into_play,"Trea Turner grounds out, third baseman Jared Triolo to first baseman Alfonso Rivas.",ground_ball,100.8,-12.0,2.0,11.0,PHI,PIT,3,Bot,R,1,1,2,2,2023,0.696,0.726,0.883,1.244,1.569,2.004,-64.83753258000002,84.00428586,Pull,False,0,716409-24-8
2023,2023-09-28,716409,5,5,607208,"Turner, Trea",R,R,FF,4-Seam Fastball,5.0,0.13,2.83,3.45,1.69,81.14,48.9,X,double,hit_into_play,Trea Turner doubles (34) on a sharp fly ball to center fielder Jack Suwinski.,fly_ball,102.4,30.0,6.0,386.0,PHI,PIT,1,Bot,R,1,1,3,1,2023,0.696,0.726,0.883,1.244,1.569,2.004,-110.50831188000001,372.77837727,Pull,False,0,716409-5-5
2023,2023-09-28,716409,65,3,607208,"Turner, Trea",R,R,FC,Cutter,2.0,0.11,3.39,3.45,1.69,41.42,120.48,X,double,hit_into_play,Trea Turner doubles (35) on a line drive to left fielder Joshua Palacios.,line_drive,99.1,13.0,4.0,204.0,PHI,PIT,8,Bot,R,1,1,1,1,2023,0.696,0.726,0.883,1.244,1.569,2.004,-209.63636400000001,194.13824709000002,Pull,False,0,716409-65-3
2023,2023-09-26,716432,39,1,607208,"Turner, Trea",R,R,FC,Cutter,5.0,-0.23,2.61,3.44,1.69,167.0,87.33,X,single,hit_into_play,Trea Turner singles on a line drive to right fielder Joshua Palacios.   Kyle Schwarber to 3rd.,line_drive,93.0,15.0,4.0,235.0,PHI,PIT,6,Bot,R,1,1,0,0,2023,0.696,0.726,0.883,1.244,1.569,2.004,103.77000018000001,276.86974074000005,Oppo,False,2,716432-39-1
2023,2023-09-26,716432,24,2,607208,"Turner, Trea",R,R,SI,Sinker,4.0,-0.39,2.52,3.44,1.69,146.94,173.94,X,field_out,hit_into_play,Trea Turner pops out softly to first baseman Jared Triolo.,popup,59.1,68.0,1.0,88.0,PHI,PIT,4,Bot,R,0,0,1,0,2023,0.696,0.726,0.883,1.244,1.569,2.004,53.70683991999999,60.71967543000004,Oppo,False,2,716432-24-2
2023,2023-09-26,716432,5,6,607208,"Turner, Trea",R,R,SI,Sinker,4.0,-0.45,2.65,3.44,1.69,107.99,135.87,X,field_out,hit_into_play,"Trea Turner grounds out, shortstop Liover Peguero to first baseman Jared Triolo.",ground_ball,99.3,0.0,4.0,49.0,PHI,PIT,1,Bot,R,0,0,3,2,2023,0.696,0.726,0.883,1.244,1.569,2.004,-43.49954553000002,155.72987040000004,Pull,False,0,716432-5-6
2023,2023-09-26,716432,57,4,607208,"Turner, Trea",L,R,CH,Changeup,6.0,0.57,2.55,3.44,1.69,116.28,148.57,X,field_out,hit_into_play,"Trea Turner grounds out, shortstop Liover Peguero to first baseman Jared Triolo.",ground_ball,60.3,-25.0,2.0,6.0,PHI,PIT,8,Bot,R,2,2,1,2,2023,0.696,0.726,0.883,1.244,1.569,2.004,-22.810432940000002,124.03484870000005,Straightaway,False,1,716432-57-4
