pitch_uid,game_year,game_date,plate_x,plate_z,zone,pitch_type,p_throws,type,is_bip,events,description
716393-38-1,2023,2023-09-30,0.01,1.51,14.0,CU,L,X,True,field_out,hit_into_play
716393-20-7,2023,2023-09-30,0.03,1.37,14.0,CU,L,S,False,strikeout,swinging_strike
716393-20-6,2023,2023-09-30,0.09,0.03,14.0,CH,L,B,False,,blocked_ball
716393-20-5,2023,2023-09-30,-0.62,2.65,4.0,FF,L,S,False,,foul
716393-20-4,2023,2023-09-30,-0.28,0.95,13.0,CH,L,B,False,,ball
716393-20-3,2023,2023-09-30,1.42,1.17,14.0,CU,L,B,False,,ball
716393-20-2,2023,2023-09-30,0.45,1.18,14.0,CU,L,S,False,,swinging_strike
716393-20-1,2023,2023-09-30,0.66,0.95,14.0,CH,L,S,False,,swinging_strike
716393-62-5,2023,2023-09-30,-1.8,4.19,11.0,FS,R,B,False,hit_by_pitch,hit_by_pitch
716393-62-4,2023,2023-09-30,-1.5,2.37,13.0,SI,R,S,False,,foul
716393-62-3,2023,2023-09-30,0.44,1.56,14.0,SL,R,S,False,,swinging_strike
716393-62-2,2023,2023-09-30,0.0,1.29,13.0,SI,R,B,False,,ball
716393-62-1,2023,2023-09-30,-0.47,1.11,13.0,SI,R,B,False,,ball
716393-2-6,2023,2023-09-30,0.59,1.26,14.0,CH,L,X,True,single,hit_into_play
716393-2-5,2023,2023-09-30,0.91,1.15,14.0,CH,L,B,False,,ball
716393-2-4,2023,2023-09-30,-0.55,3.51,1.0,FF,L,S,False,,foul
716393-2-3,2023,2023-09-30,1.4,-0.05,14.0,CU,L,B,False,,ball
716393-2-2,2023,2023-09-30,0.35,0.62,14.0,CH,L,S,False,,swinging_strike
716393-2-1,2023,2023-09-30,-0.68,0.75,13.0,CU,L,S,False,,swinging_strike
716409-43-1,2023,2023-09-28,0.74,2.32,6.0,SI,R,X,True,single,hit_into_play
716409-24-8,2023,2023-09-28,0.33,2.26,6.0,SL,R,X,True,field_out,hit_into_play
716409-24-7,2023,2023-09-28,1.33,0.91,14.0,SL,R,B,False,,ball
716409-24-6,2023,2023-09-28,0.03,3.44,2.0,FF,R,S,False,,foul
716409-24-5,2023,2023-09-28,0.53,1.22,14.0,SL,R,S,False,,foul
716409-24-4,2023,2023-09-28,0.24,2.91,2.0,SL,R,S,False,,foul
716409-24-3,2023,2023-09-28,-0.7,4.6,11.0,FF,R,B,False,,ball
716409-24-2,2023,2023-09-28,-0.84,3.41,11.0,SI,R,S,False,,foul
716409-24-1,2023,2023-09-28,-0.47,2.03,7.0,SI,R,S,False,,called_strike
716409-5-5,2023,2023-09-28,0.13,2.83,5.0,FF,R,X,True,double,hit_into_play
716409-5-4,2023,2023-09-28,-1.77,3.22,11.0,SI,R,B,False,,ball
716409-5-3,2023,2023-09-28,0.65,3.46,3.0,FF,R,B,False,,ball
716409-5-2,2023,2023-09-28,0.97,2.13,14.0,SI,R,B,False,,ball
716409-5-1,2023,2023-09-28,0.91,2.75,12.0,SI,R,S,False,,called_strike
716409-65-3,2023,2023-09-28,0.11,3.39,2.0,FC,R,X,True,double,hit_into_play
716409-65-2,2023,2023-09-28,-0.01,2.79,5.0,FF,R,S,False,,foul
716409-65-1,2023,2023-09-28,-0.81,4.36,11.0,FC,R,B,False,,ball
716432-39-1,2023,2023-09-26,-0.23,2.61,5.0,FC,R,X,True,single,hit_into_play
716432-24-2,2023,2023-09-26,-0.39,2.52,4.0,SI,R,X,True,field_out,hit_into_play
